Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
,Passing,Rushing,Receiving,,,,,,,,,,,,,,,,
Player,Tm,Date,Pos,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,Own Pct.
Jahan Dotson,PHI,2025-02-09,WR,0,0,0,0,0,0,0,,0,3,2,42,21.0,0,4.20,3%
JuJu Smith-Schuster,KAN,2025-02-09,WR,0,0,0,0,0,0,0,,0,2,2,16,8.0,0,1.60,3%
Marquise Brown,KAN,2025-02-09,WR,0,0,0,0,0,0,0,,0,6,2,15,7.5,0,1.50,32%
Kenneth Gainwell,PHI,2025-02-09,RB,0,0,0,0,0,6,10,1.7,0,0,0,0,,0,1.00,7%
Samaje Perine,KAN,2025-02-09,RB,0,0,0,0,0,1,8,8.0,0,1,0,0,,0,0.80,3%
Noah Gray,KAN,2025-02-09,TE,0,0,0,0,0,0,0,,0,1,1,2,2.0,0,0.20,17%
Nikko Remigio,KAN,2025-02-09,WR,0,0,0,0,0,0,0,,0,0,0,0,,0,,0%
Isaiah Rodgers,PHI,2025-02-09,CB,0,0,0,0,0,0,0,,0,0,0,0,,0,,0%
Milton Williams,PHI,2025-02-09,"DT,",0,0,0,0,0,0,0,,0,0,0,0,,0,,0%
Justin Reid,KAN,2025-02-09,S,0,0,0,0,0,0,0,,0,0,0,0,,0,,21%
Kenny Pickett,PHI,2025-02-09,QB,0,1,0,0,0,3,-4,-1.3,0,0,0,0,,0,,4%
Johnny Wilson,PHI,2025-02-09,WR,0,0,0,0,0,0,0,,0,1,0,0,,0,,0%
Mike Pennel,KAN,2025-02-09,DT,0,0,0,0,0,0,0,,0,0,0,0,,0,,0%
Charles Omenihu,KAN,2025-02-09,DE,0,0,0,0,0,0,0,,0,0,0,0,,0,,0%
Moro Ojomo,PHI,2025-02-09,"DT,",0,0,0,0,0,0,0,,0,0,0,0,,0,,0%
