Year,Lg,First Overall Pick,Pos,Tm,College
2024,NFL,Caleb Williams,QB,Chicago Bears,USC
2023,NFL,Bryce Young,QB,Carolina Panthers,Alabama
2022,NFL,Travon Walker,DE,Jacksonville Jaguars,Georgia
2021,NFL,Trevor Lawrence,QB,Jacksonville Jaguars,Clemson
2020,NFL,Joe Burrow,QB,Cincinnati Bengals,LSU
2019,NFL,Kyler Murray,QB,Arizona Cardinals,Oklahoma
2018,NFL,Baker Mayfield,QB,Cleveland Browns,Oklahoma
2017,NFL,Myles Garrett,DE,Cleveland Browns,Texas A&M
2016,NFL,Jared Goff,QB,Los Angeles Rams,California
2015,NFL,Jameis Winston,QB,Tampa Bay Buccaneers,Florida St.
2014,NFL,Jadeveon Clowney,DE,Houston Texans,South Carolina
2013,NFL,Eric Fisher,T,Kansas City Chiefs,Central Michigan
2012,NFL,Andrew Luck,QB,Indianapolis Colts,Stanford
2011,NFL,Cam Newton,QB,Carolina Panthers,Auburn
2010,NFL,Sam Bradford,QB,St. Louis Rams,Oklahoma
2009,NFL,Matthew Stafford,QB,Detroit Lions,Georgia
2008,NFL,Jake Long,T,Miami Dolphins,Michigan
2007,NFL,JaMarcus Russell,QB,Oakland Raiders,LSU
2006,NFL,Mario Williams,DE,Houston Texans,North Carolina St.
2005,NFL,Alex Smith,QB,San Francisco 49ers,Utah
2004,NFL,Eli Manning,QB,San Diego Chargers,Mississippi
2003,NFL,Carson Palmer,QB,Cincinnati Bengals,USC
2002,NFL,David Carr,QB,Houston Texans,Fresno St.
2001,NFL,Michael Vick,QB,Atlanta Falcons,Virginia Tech
2000,NFL,Courtney Brown,DE,Cleveland Browns,Penn St.
Year,Lg,First Overall Pick,Pos,Tm,College
1999,NFL,Tim Couch,QB,Cleveland Browns,Kentucky
1998,NFL,Peyton Manning,QB,Indianapolis Colts,Tennessee
1997,NFL,Orlando Pace,T,St. Louis Rams,Ohio St.
1996,NFL,Keyshawn Johnson,WR,New York Jets,USC
1995,NFL,Ki-Jana Carter,RB,Cincinnati Bengals,Penn St.
1994,NFL,Dan Wilkinson,DT,Cincinnati Bengals,Ohio St.
1993,NFL,Drew Bledsoe,QB,New England Patriots,Washington St.
1992,NFL,Steve Emtman,DE,Indianapolis Colts,Washington
1991,NFL,Russell Maryland,DT,Dallas Cowboys,Miami (FL)
