Name,Teams,From,To,Positions
Kwesi Adofo-Mensah,Vikings,2022,2024,General Manager
Jody Allen,Seahawks,2019,2024,Chair
Trent Baalke,"Jaguars, 49ers",2010,2024,"General Manager, VP of Player Personnel"
Chris Ballard,Colts,2017,2024,General Manager
Brandon Beane,Bills,2017,2024,General Manager
Gayle Benson,Saints,2018,2024,Owner/Chairman of the Board
Andrew Berry,Browns,2020,2024,General Manager/Executive VP of Football Operations
Michael Bidwill,Cardinals,2020,2024,Principal Owner
Steve Bisciotti,Ravens,2004,2024,Principal Owner
Arthur Blank,Falcons,2002,2024,Principal Owner
Mike Brown,Bengals,1991,2024,"Principal Owner/President, Principal Owner/President/General Manager"
Ran Carthon,Titans,2023,2024,"Executive VP/General Manager, General Manager"
Nick Caserio,Texans,2021,2024,General Manager
Mark Davis,Raiders,2011,2024,"Owner, Principal Owner"
Eric DeCosta,Ravens,2019,2024,General Manager/Executive VP
Joe Douglas,Jets,2019,2024,General Manager
Terry Fontenot,Falcons,2021,2024,General Manager
Sheila Ford Hamp,Lions,2020,2024,Principal Owner
Bryan Glazer,Buccaneers,2014,2024,"Co-Chairman, Owner"
Roger Goodell,,2006,2024,Commissioner
Chris Grier,Dolphins,2016,2024,General Manager
Brian Gutekunst,Packers,2018,2024,General Manager
Josh Harris,Commanders,2023,2024,Principal Owner
Dee Haslam,Browns,2012,2024,Principal Owner
Jimmy Haslam III,Browns,2012,2024,Principal Owner
Name,Teams,From,To,Positions
Brad Holmes,Lions,2021,2024,General Manager/Executive VP
Joe Hortiz,Chargers,2024,2024,General Manager
Clark Hunt,Chiefs,2007,2024,Chairman/CEO
James Irsay,Colts,1984,2024,"Principal Owner/CEO, Vice President/General Manager"
Woody Johnson,Jets,2000,2024,Chairman/CEO
Jerry Jones+,Cowboys,1989,2024,Owner/President/General Manager
Omar Khan,Steelers,2022,2024,General Manager
Shahid Khan,Jaguars,2012,2024,Principal Owner
Robert Kraft,Patriots,1994,2024,Chairman/CEO
