Rk,Player,Indct,From,To,G,W,L,T,G plyf,W plyf,L plyf,Chmp
1,Don Coryell,2023,1973,1986,195,111,83,1,9,3,6,0
2,Dick Vermeil,2022,1976,2005,229,120,109,0,11,6,5,1
3,Tom Flores,2021,1979,1994,184,97,87,0,11,8,3,2
4,Bill Cowher,2020,1989,2006,240,149,90,1,21,12,9,1
5,Jimmy Johnson,2020,1989,1999,144,80,64,0,13,9,4,2
6,Tony Dungy,2016,1984,2008,208,139,69,0,19,9,10,1
7,Bill Parcells,2013,1981,2006,303,172,130,1,19,11,8,2
8,John Madden,2006,1969,1978,142,103,32,7,16,9,7,1
9,Hank Stram,2003,1960,1977,238,131,97,10,8,5,3,2
10,George Allen,2002,1964,1977,168,116,47,5,9,2,7,0
11,Marv Levy,2001,1978,1997,255,143,112,0,19,11,8,0
12,Don Shula,1997,1961,1995,490,328,156,6,36,19,17,2
13,Joe Gibbs,1996,1978,2007,248,154,94,0,24,17,7,3
14,Bud Grant,1994,1967,1985,259,158,96,5,22,10,12,0
15,Bill Walsh,1993,1976,1988,152,92,59,1,14,10,4,3
16,Chuck Noll,1993,1969,1991,342,193,148,1,24,16,8,4
17,Tom Landry,1990,1954,1988,418,250,162,6,36,20,16,2
18,Sid Gillman,1983,1955,1977,228,122,99,7,6,1,5,1
19,Weeb Ewbank,1978,1954,1973,266,130,129,7,5,4,1,3
20,Ray Flaherty,1976,1936,1949,122,80,37,5,6,2,4,2
21,Vince Lombardi,1971,1954,1969,136,96,34,6,10,9,1,5
22,Greasy Neale,1969,1941,1950,111,63,43,5,4,3,1,2
23,Paul Brown,1967,1946,1975,326,213,104,9,17,9,8,7
24,Steve Owen,1966,1930,1953,270,153,100,17,10,2,8,2
25,Guy Chamberlin,1965,1922,1927,81,58,16,7,0,0,0,4
26,Jimmy Conzelman,1964,1921,1948,167,87,63,17,2,1,1,2
27,Curly Lambeau,1963,1921,1953,380,226,132,22,5,3,2,6
28,George Halas,1963,1920,1967,497,318,148,31,9,6,3,6
