Tm,From,To
Arizona Cardinals,1936,2024
Atlanta Falcons,1966,2024
Baltimore Ravens,1996,2024
Buffalo Bills,1960,2024
Carolina Panthers,1995,2024
Chicago Bears,1936,2024
Cincinnati Bengals,1968,2024
Cleveland Browns,1950,2024
Dallas Cowboys,1961,2024
Denver Broncos,1960,2024
Detroit Lions,1936,2024
Green Bay Packers,1936,2024
Houston Texans,2002,2024
Indianapolis Colts,1953,2024
Jacksonville Jaguars,1995,2024
Kansas City Chiefs,1960,2024
Las Vegas Raiders,1960,2024
Los Angeles Chargers,1960,2024
Los Angeles Rams,1937,2024
Miami Dolphins,1966,2024
Minnesota Vikings,1961,2024
New England Patriots,1960,2024
New Orleans Saints,1967,2024
New York Giants,1936,2024
New York Jets,1960,2024
Philadelphia Eagles,1936,2024
Pittsburgh Steelers,1936,2024
San Francisco 49ers,1950,2024
Seattle Seahawks,1976,2024
Tampa Bay Buccaneers,1976,2024
Tennessee Titans,1960,2024
Washington Commanders,1936,2024
Defunct Franchises,,
Baltimore Colts,1950,1950
Boston Yanks,1944,1948
Brooklyn Tigers,1936,1944
Dallas Texans,1952,1952
New York Yanks,1949,1951
