Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23
,,,Tot Yds & TO,,,Passing,Rushing,,,,,,,,,,,,,,,
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,1stPy
1,1969,10,21.2,302.0,61.6,4.9,2.7,1.0,16.7,14.3,28.8,179.5,1.4,1.7,5.7,8.9,30.4,122.4,0.9,4.0,6.4,1.3
2,1968,10,22.2,303.5,62.9,4.8,2.6,1.0,16.0,13.7,28.8,177.9,1.4,1.6,5.7,8.5,31.7,125.6,1.0,4.0,6.2,1.3
3,1967,9,22.7,298.5,62.8,4.8,2.7,0.9,16.3,14.7,30.8,183.0,1.5,1.8,5.5,9.0,29.4,115.5,0.9,3.9,6.0,1.3
4,1966,9,22.5,313.2,62.5,5.0,2.6,0.9,16.6,14.6,31.6,197.1,1.6,1.7,5.9,9.2,29.0,116.1,0.9,4.0,6.0,1.4
5,1965,8,21.5,297.2,63.3,4.7,2.8,1.0,16.4,14.8,32.6,188.5,1.5,1.8,5.4,9.0,28.6,108.7,0.8,3.8,6.0,1.4
6,1964,8,23.2,322.3,63.9,5.0,3.2,1.0,17.5,16.4,33.5,212.1,1.7,2.1,5.9,10.5,27.8,110.2,0.9,4.0,5.8,1.1
7,1963,8,23.1,312.5,61.8,5.1,3.0,1.1,17.2,15.4,31.6,199.4,1.7,1.9,5.8,9.7,27.4,113.1,1.0,4.1,6.3,1.3
8,1962,8,23.1,316.6,62.5,5.1,3.3,1.1,16.7,14.7,30.9,190.3,1.6,2.2,5.7,9.0,29.3,126.3,1.0,4.3,6.4,1.3
9,1961,8,24.5,309.7,63.7,4.9,3.3,1.2,16.9,15.2,32.4,195.1,1.6,2.1,5.6,9.2,28.7,114.5,1.2,4.0,6.3,1.4
10,1960,8,24.2,323.4,65.7,4.9,3.2,1.3,18.1,16.0,33.0,198.4,1.7,2.0,5.6,9.8,30.3,125.0,1.2,4.1,6.7,1.6
