Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23
,,,Tot Yds & TO,,,Passing,Rushing,,,,,,,,,,,,,,,
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,1stPy
1,1969,10,296.1,4227.3,862.9,4.9,37.7,14.4,233.1,200.6,403.2,2513.1,19.4,23.3,5.7,125.0,425.4,1714.2,11.9,4.0,89.8,18.3
2,1968,10,310.2,4248.6,880.8,4.8,36.3,13.6,224.4,191.6,403.7,2490.0,18.9,22.7,5.7,119.4,443.5,1758.6,13.6,4.0,87.0,18.0
3,1967,9,317.4,4178.6,878.7,4.8,37.3,12.1,228.3,205.1,430.9,2561.6,21.1,25.2,5.5,126.7,412.2,1617.0,13.2,3.9,83.4,18.2
4,1966,9,315.2,4385.1,875.2,5.0,36.4,12.3,232.3,204.7,442.4,2759.2,22.1,24.1,5.9,128.3,405.3,1625.9,12.7,4.0,84.0,20.0
5,1965,8,300.4,4161.1,886.3,4.7,39.5,14.1,230.0,206.6,456.5,2639.5,20.4,25.4,5.4,126.1,400.4,1521.6,11.8,3.8,84.4,19.5
6,1964,8,325.4,4511.8,895.0,5.0,44.1,14.3,244.4,229.8,468.8,2968.9,23.8,29.9,5.9,146.8,389.1,1542.9,13.3,4.0,81.9,15.8
7,1963,8,324.0,4374.6,864.6,5.1,42.3,15.8,240.9,215.3,442.4,2791.8,24.0,26.5,5.8,135.5,383.3,1582.9,13.6,4.1,87.8,17.6
8,1962,8,323.6,4432.3,874.4,5.1,45.6,15.4,234.1,205.5,432.0,2663.6,22.0,30.3,5.7,126.6,410.6,1768.6,14.4,4.3,89.9,17.6
9,1961,8,342.4,4335.6,891.1,4.9,45.5,16.5,236.9,212.4,453.8,2732.0,22.8,29.0,5.6,128.9,402.3,1603.6,16.5,4.0,88.3,19.8
10,1960,8,338.3,4527.6,919.5,4.9,45.3,17.9,253.8,224.1,462.4,2777.3,23.3,27.4,5.6,137.0,423.9,1750.4,16.9,4.1,94.3,22.5
