Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23
,,,Tot Yds & TO,,,Passing,Rushing,,,,,,,,,,,,,,,
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,1stPy
1,1969,10,2961,42273,8629,4.9,377,144,2331,2006,4032,25131,194,233,5.7,1250,4254,17142,119,4.0,898,183
2,1968,10,3102,42486,8808,4.8,363,136,2244,1916,4037,24900,189,227,5.7,1194,4435,17586,136,4.0,870,180
3,1967,9,2857,37607,7908,4.8,336,109,2055,1846,3878,23054,190,227,5.5,1140,3710,14553,119,3.9,751,164
4,1966,9,2837,39466,7877,5.0,328,111,2091,1842,3982,24833,199,217,5.9,1155,3648,14633,114,4.0,756,180
5,1965,8,2403,33289,7090,4.7,316,113,1840,1653,3652,21116,163,203,5.4,1009,3203,12173,94,3.8,675,156
6,1964,8,2603,36094,7160,5.0,353,114,1955,1838,3750,23751,190,239,5.9,1174,3113,12343,106,4.0,655,126
7,1963,8,2592,34997,6917,5.1,338,126,1927,1722,3539,22334,192,212,5.8,1084,3066,12663,109,4.1,702,141
8,1962,8,2589,35458,6995,5.1,365,123,1873,1644,3456,21309,176,242,5.7,1013,3285,14149,115,4.3,719,141
9,1961,8,2739,34685,7129,4.9,364,132,1895,1699,3630,21856,182,232,5.6,1031,3218,12829,132,4.0,706,158
10,1960,8,2706,36221,7356,4.9,362,143,2030,1793,3699,22218,186,219,5.6,1096,3391,14003,135,4.1,754,180
