Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
,,,Top Performers,,Playoffs,,,,,,,,,,,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Arizona Cardinals,1920,2024,593,812,41,.422,Fitzgerald,Hart,Anderson,Fitzgerald,Arians,11,7,10,0.412,2,0,1,8
Chicago Cardinals,1920,1943,99,141,21,.413,,,,,,0,0,0,,1,0,0,1
Chi/Pit Cards/Steelers,1944,1944,0,10,0,.000,,,,,,0,0,0,,0,0,0,0
Chicago Cardinals,1945,1959,66,107,4,.382,,,,,,2,1,1,,1,0,0,2
St. Louis Cardinals,1960,1987,186,202,14,.480,,,,,,3,0,3,,0,0,0,2
Phoenix Cardinals,1988,1993,32,64,0,.333,,,,,,0,0,0,,0,0,0,0
Arizona Cardinals,1994,2024,210,288,2,.422,,,,,,6,6,6,,0,0,1,3
Atlanta Falcons,1966,2024,398,512,6,.438,Ryan,Ryan,Riggs,Jones,Smith,14,10,14,0.417,0,0,2,7
Baltimore Ravens,1996,2024,268,199,1,.574,Lewis,Flacco,Lewis,Mason,Harbaugh,16,18,14,0.563,2,2,2,7
Buffalo Bills,1960,2024,486,505,8,.490,Smith,Kelly,Thomas,Reed,Levy,24,21,22,0.488,2,0,4,15
Carolina Panthers,1995,2024,219,264,1,.454,Newton,Newton,Stewart,Smith,Rivera,8,9,8,0.529,0,0,2,6
Chicago Bears,1920,2024,798,646,42,.553,Payton,Cutler,Payton,Morris,Halas,27,17,20,0.459,9,1,2,24
Decatur Staleys,1920,1920,10,1,2,.909,,,,,,0,0,0,,0,0,0,0
Chicago Staleys,1921,1921,9,1,1,.900,,,,,,0,0,0,,1,0,0,1
Chicago Bears,1922,2024,779,644,39,.547,,,,,,27,17,20,,8,1,2,23
Cincinnati Bengals,1968,2024,403,479,5,.457,Munoz,Anderson,Dillon,Johnson,Lewis,16,10,16,0.385,0,0,3,12
Cleveland Browns,1946,2024,562,548,14,.506,Matthews,Sipe,Brown,Newsome,Brown,30,17,22,0.436,8,0,0,23
Dallas Cowboys,1960,2024,569,423,6,.574,Smith,Romo,Smith,Witten,Landry,36,36,31,0.537,5,5,8,26
Denver Broncos,1960,2024,518,472,10,.523,Elway,Elway,Davis,Smith,Shanahan,23,23,20,0.535,3,3,8,15
Detroit Lions,1930,2024,606,709,34,.461,Sanders,Stafford,Sanders,Johnson,Fontes,19,9,15,0.375,4,0,0,9
Portsmouth Spartans,1930,1933,28,16,7,.636,,,,,,0,0,0,,0,0,0,0
Detroit Lions,1934,2024,578,693,27,.455,,,,,,19,9,15,,4,0,0,10
Green Bay Packers,1921,2024,810,604,38,.572,Rodgers,Favre,Green,Driver,Lambeau,37,37,27,0.578,13,4,5,31
Houston Texans,2002,2024,162,209,1,.437,Watt,Schaub,Foster,Johnson,Kubiak,8,6,8,0.429,0,0,0,7
Indianapolis Colts,1953,2024,564,510,8,.525,Manning,Manning,James,Harrison,Dungy,29,23,25,0.479,4,2,4,21
,,,Top Performers,,Playoffs,,,,,,,,,,,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Baltimore Colts,1953,1983,222,194,7,.534,,,,,,10,8,7,,3,1,2,10
Indianapolis Colts,1984,2024,342,316,1,.520,,,,,,19,15,18,,1,1,2,11
Jacksonville Jaguars,1995,2024,202,282,0,.417,Smith,Brunell,Taylor,Smith,Coughlin,8,8,8,0.500,0,0,0,4
Kansas City Chiefs,1960,2024,547,441,12,.553,Shields,Mahomes,Charles,Kelce,Reid,27,26,22,0.542,5,4,7,17
Dallas Texans,1960,1962,25,17,0,.595,,,,,,1,1,0,,1,0,0,1
Kansas City Chiefs,1963,2024,522,424,12,.552,,,,,,26,25,22,,4,4,7,17
Las Vegas Raiders,1960,2024,509,480,11,.515,Otto,Carr,Allen,Brown,Madden,23,25,20,0.556,3,3,5,16
Oakland Raiders,1960,1981,195,110,11,.638,,,,,,11,15,9,,2,2,3,9
Los Angeles Raiders,1982,1994,118,82,0,.590,,,,,,7,6,6,,1,1,1,4
Oakland Raiders,1995,2019,160,240,0,.400,,,,,,4,4,4,,0,0,1,3
Las Vegas Raiders,2020,2024,36,48,0,.429,,,,,,1,0,1,,,0,,0
Los Angeles Chargers,1960,2024,494,495,11,.499,Rivers,Rivers,Tomlinson,Gates,Gillman,21,12,20,0.375,1,0,1,15
Los Angeles Chargers,1960,1960,10,4,0,.714,,,,,,1,0,1,,0,0,0,1
San Diego Chargers,1961,2016,416,427,11,.493,,,,,,17,11,16,,1,0,1,14
Los Angeles Chargers,2017,2024,68,64,0,.515,,,,,,3,1,3,,0,0,,0
Los Angeles Rams,1937,2024,624,606,21,.507,Olsen,Everett,Jackson,Bruce,McVay,33,27,29,0.482,4,2,5,21
Cleveland Rams,1937,1945,34,50,2,.405,,,,,,1,1,0,,1,0,0,1
Los Angeles Rams,1946,1994,364,299,18,.549,,,,,,21,12,20,,1,0,1,14
St. Louis Rams,1995,2015,142,193,1,.424,,,,,,5,6,4,,1,1,2,3
Los Angeles Rams,2016,2024,84,64,0,.568,,,,,,6,8,5,,1,1,2,4
Miami Dolphins,1966,2024,504,408,4,.553,Marino,Marino,Csonka,Duper,Shula,25,20,23,0.465,2,2,5,14
Minnesota Vikings,1961,2024,537,438,11,.551,Eller,Tarkenton,Peterson,Carter,Grant,32,21,32,0.396,0,0,4,21
New England Patriots,1960,2024,545,446,9,.550,Brady,Brady,Cunningham,Morgan,Belichick,28,37,22,0.627,6,6,11,22
Boston Patriots,1960,1970,65,80,9,.448,,,,,,1,1,1,,0,0,0,1
New England Patriots,1971,2024,480,366,0,.567,,,,,,27,36,21,,6,6,11,21
,,,Top Performers,,Playoffs,,,,,,,,,,,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
New Orleans Saints,1967,2024,417,480,5,.465,Brees,Brees,Kamara,Colston,Payton,14,10,13,0.435,1,1,1,9
New York Giants,1925,2024,724,663,34,.522,Taylor,Manning,Barber,Toomer,Owen,33,25,26,0.490,8,4,5,25
New York Jets,1960,2024,433,559,8,.437,Maynard,Namath,Martin,Maynard,Ewbank,14,12,13,0.480,1,1,1,4
New York Titans,1960,1962,19,23,0,.452,,,,,,0,0,0,,0,0,0,0
New York Jets,1963,2024,414,536,8,.436,,,,,,14,12,13,,1,1,1,4
Philadelphia Eagles,1933,2024,638,639,27,.500,Kelce,McNabb,McCoy,Carmichael,Reid,31,29,26,0.527,5,2,5,16
Philadelphia Eagles,1933,1942,23,82,4,.219,,,,,,0,0,0,,0,0,0,0
Phi/Pit Eagles/Steelers,1943,1943,5,4,1,.556,,,,,,0,0,0,,0,0,0,0
Philadelphia Eagles,1944,2024,610,553,22,.524,,,,,,31,29,26,,5,2,5,17
Pittsburgh Steelers,1933,2024,681,585,22,.538,Roethlisberger,Roethlisberger,Harris,Ward,Noll,35,36,29,0.554,6,6,8,25
Pittsburgh Pirates,1933,1939,22,55,3,.286,,,,,,0,0,0,,0,0,0,0
Pittsburgh Steelers,1940,1942,10,20,3,.333,,,,,,0,0,0,,0,0,0,0
Phi/Pit Eagles/Steelers*,1943,1943,5,4,1,.556,,,,,,0,0,0,,,,,0
Chi/Pit Cards/Steelers*,1944,1944,0,10,0,.000,,,,,,0,0,0,,,,,0
Pittsburgh Steelers,1945,2024,649,510,16,.560,,,,,,35,36,29,,6,6,8,25
San Francisco 49ers,1946,2024,630,526,16,.545,Rice,Montana,Gore,Rice,Seifert,30,39,25,0.609,5,5,8,23
Seattle Seahawks,1976,2024,402,373,1,.519,Wilson,Wilson,Alexander,Largent,Carroll,20,17,19,0.472,1,1,3,11
Tampa Bay Buccaneers,1976,2024,318,457,1,.410,Brooks,Winston,Wilder,Evans,Gruden,15,12,13,0.480,2,2,2,9
Tennessee Titans,1960,2024,479,515,6,.482,Matthews,Moon,George,Givins,Fisher,25,17,23,0.425,2,0,1,11
Houston Oilers,1960,1996,251,291,6,.463,,,,,,15,9,13,,2,0,0,6
Tennessee Oilers,1997,1998,16,16,0,.500,,,,,,0,0,0,,0,0,0,0
Tennessee Titans,1999,2024,212,208,0,.505,,,,,,10,8,10,,0,0,1,5
Washington Commanders,1932,2024,641,648,29,.497,Green,Theismann,Riggins,Monk,Gibbs,26,25,21,0.543,5,3,5,16
Boston Braves,1932,1932,4,4,2,.500,,,,,,0,0,0,,0,0,0,0
Boston Redskins,1933,1936,20,24,3,.455,,,,,,1,0,1,,0,0,0,1
Washington Redskins,1937,2019,579,575,23,.502,,,,,,23,23,18,,5,3,5,14
Washington Football Team,2020,2021,14,19,0,.424,,,,,,1,0,1,,,0,,1
Washington Commanders,2022,2024,24,26,1,.480,,,,,,1,2,1,,,,,0
