Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
,,,Top Performers,,Playoffs,,,,,,,,,,,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Akron Indians,1920,1926,27,26,11,.509,,,,,Tobin,0,0,0,,1,0,0,1
Akron Pros,1920,1925,26,22,8,.542,,,,,,0,0,0,,1,0,0,1
Akron Indians,1926,1926,1,4,3,.200,,,,,,0,0,0,,0,0,0,0
Baltimore Colts,1947,1950,11,40,1,.216,,Tittle,Mertes,Davis,Isbell,1,0,1,0.000,0,0,0,1
Boston Bulldogs,1925,1929,31,24,2,.564,,,,,Rauch,0,0,0,,0,0,0,0
Pottsville Maroons,1925,1928,27,20,2,.574,,,,,,0,0,0,,0,0,0,0
Boston Bulldogs,1929,1929,4,4,0,.500,,,,,,0,0,0,,0,0,0,0
Boston Yanks,1944,1948,14,38,3,.269,,Governali,Grigas,Currivan,Kopf,0,0,0,,0,0,0,0
Boston Yanks,1944,1944,2,8,0,.200,,,,,,0,0,0,,0,0,0,0
Bos/Bkn Yanks/Tigers,1945,1945,3,6,1,.333,,,,,,0,0,0,,0,0,0,0
Boston Yanks,1946,1948,9,24,2,.273,,,,,,0,0,0,,0,0,0,0
Brooklyn Dodgers,1946,1948,8,32,2,.200,,Dobbs,Colmer,Judd,Battles,0,0,0,,0,0,0,0
Brooklyn Lions,1926,1926,3,8,0,.273,,,,,Berryman,0,0,0,,0,0,0,0
Brooklyn Tigers,1930,1944,60,100,9,.375,,Parker,Manders,Schwartz,Sutherland,0,0,0,,0,0,0,0
Brooklyn Dodgers,1930,1943,60,90,9,.400,,,,,,0,0,0,,0,0,0,0
Brooklyn Tigers,1944,1944,0,10,0,.000,,,,,,0,0,0,,0,0,0,0
Buffalo Bills,1946,1949,23,26,5,.469,,Ratterman,Mutryn,Baldwin,Dawson,2,1,2,0.333,0,0,0,1
Buffalo Bisons,1946,1946,3,10,1,.231,,,,,,0,0,0,,0,0,0,0
Buffalo Bills,1947,1949,20,16,4,.556,,,,,,2,1,2,,0,0,0,1
Buffalo Bisons,1920,1929,40,37,12,.519,,,,,Hughitt,0,0,0,,0,0,0,0
Buffalo All-Americans,1920,1923,28,10,7,.737,,,,,,0,0,0,,0,0,0,0
Buffalo Bisons,1924,1925,7,11,2,.389,,,,,,0,0,0,,0,0,0,0
Buffalo Rangers,1926,1926,4,4,2,.500,,,,,,0,0,0,,0,0,0,0
Buffalo Bisons,1927,1929,1,12,1,.077,,,,,,0,0,0,,0,0,0,0
Canton Bulldogs,1920,1926,38,19,11,.667,,,,,Chamberlin,0,0,0,,2,0,0,2
,,,Top Performers,,Playoffs,,,,,,,,,,,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Chicago Hornets,1946,1949,11,40,3,.216,,Hoernschemeyer,Hoernschemeyer,Ramsey,Flaherty,0,0,0,,0,0,0,0
Chicago Rockets,1946,1948,7,32,3,.179,,,,,,0,0,0,,0,0,0,0
Chicago Hornets,1949,1949,4,8,0,.333,,,,,,0,0,0,,0,0,0,0
Chicago Tigers,1920,1920,2,5,1,.286,,,,,Falcon,0,0,0,,0,0,0,0
Cincinnati Celts,1921,1921,1,3,0,.250,,,,,Doherty,0,0,0,,0,0,0,0
Cincinnati Reds,1933,1934,3,14,1,.176,,Pope,Corzine,Clark,Palm,0,0,0,,0,0,0,0
Cleveland Bulldogs,1923,1927,23,14,6,.622,,,,,Andrews,0,0,0,,1,0,0,1
Cleveland Indians,1923,1923,3,1,3,.750,,,,,,0,0,0,,,,,0
Cleveland Bulldogs,1924,1927,20,13,3,.606,,,,,,0,0,0,,1,0,0,1
Cleveland Indians,1931,1931,2,8,0,.200,,,,,Cornsweet,0,0,0,,0,0,0,0
Cleveland Indians,1920,1921,5,9,2,.357,,,,,Thorpe,0,0,0,,0,0,0,0
Cleveland Tigers,1920,1920,2,4,2,.333,,,,,,0,0,0,,0,0,0,0
Cleveland Indians,1921,1921,3,5,0,.375,,,,,,0,0,0,,0,0,0,0
Columbus Tigers,1920,1926,13,45,3,.224,,,,,Weaver,0,0,0,,0,0,0,0
Columbus Panhandles,1920,1922,3,22,2,.120,,,,,,0,0,0,,0,0,0,0
Columbus Tigers,1923,1926,10,23,1,.303,,,,,,0,0,0,,0,0,0,0
Dallas Texans,1952,1952,1,11,0,.083,,Tripucka,Taliaferro,Wilkins,Phelan,0,0,0,,0,0,0,0
Dayton Triangles,1920,1929,18,51,8,.261,,,,,Talbot,0,0,0,,0,0,0,0
Detroit Heralds,1920,1920,2,3,3,.400,,,,,Marshall,0,0,0,,0,0,0,0
Detroit Panthers,1925,1926,12,8,4,.600,,,,,Conzelman,0,0,0,,0,0,0,0
Detroit Tigers,1921,1921,1,5,1,.167,,,,,Marshall,0,0,0,,0,0,0,0
Detroit Wolverines,1928,1928,7,2,1,.778,,,,,Andrews,0,0,0,,0,0,0,0
Duluth Eskimos,1923,1927,16,20,3,.444,,,,,Scanlon,0,0,0,,0,0,0,0
Duluth Kelleys,1923,1925,9,7,0,.563,,,,,,0,0,0,,0,0,0,0
Duluth Eskimos,1926,1927,7,13,3,.350,,,,,,0,0,0,,0,0,0,0
,,,Top Performers,,Playoffs,,,,,,,,,,,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Evansville Crimson Giants,1921,1922,3,5,0,.375,,,,,Fausch,0,0,0,,0,0,0,0
Frankford Yellow Jackets,1924,1931,70,45,15,.609,,,,,Chamberlin,0,0,0,,1,0,0,1
Hammond Pros,1920,1926,7,28,4,.200,,,,,Hess,0,0,0,,0,0,0,0
Hartford Blues,1926,1926,3,7,0,.300,,,,,Keogh,0,0,0,,0,0,0,0
Kansas City Cowboys,1924,1926,12,15,1,.444,,,,,Andrews,0,0,0,,0,0,0,0
Kansas City Blues,1924,1924,2,7,0,.222,,,,,,0,0,0,,0,0,0,0
Kansas City Cowboys,1925,1926,10,8,1,.556,,,,,,0,0,0,,0,0,0,0
Kenosha Maroons,1924,1924,0,4,1,.000,,,,,,0,0,0,,0,0,0,0
Los Angeles Buccaneers,1926,1926,6,3,1,.667,,,,,Imlay,0,0,0,,0,0,0,0
Los Angeles Dons,1946,1949,25,27,2,.481,,Dobbs,Kimbrough,Ford,DeGroot,0,0,0,,0,0,0,0
Louisville Colonels,1921,1926,1,12,0,.077,,,,,Wiggs,0,0,0,,0,0,0,0
Louisville Brecks,1921,1923,1,8,0,.111,,,,,,0,0,0,,0,0,0,0
Louisville Colonels,1926,1926,0,4,0,.000,,,,,,0,0,0,,0,0,0,0
Miami Seahawks,1946,1946,3,11,0,.214,,Pugh,Nelson,Davis,Pool,0,0,0,,0,0,0,0
Milwaukee Badgers,1922,1926,16,27,6,.372,,,,,Conzelman,0,0,0,,0,0,0,0
Minneapolis Red Jackets,1921,1930,6,33,3,.154,,,,,Mehre,0,0,0,,0,0,0,0
Minneapolis Marines,1921,1924,4,17,2,.190,,,,,,0,0,0,,0,0,0,0
Minneapolis Red Jackets,1929,1930,2,16,1,.111,,,,,,0,0,0,,0,0,0,0
Muncie Flyers,1920,1921,0,3,0,.000,,,,,,0,0,0,,0,0,0,0
New York Brickley Giants,1921,1921,0,2,0,.000,,,,,,0,0,0,,0,0,0,0
New York Yankees,1946,1949,35,17,2,.673,,Sanders,Sanders,Alford,Flaherty,3,0,3,0.000,0,0,0,2
New York Yankees,1927,1928,11,16,2,.407,,,,,Scott,0,0,0,,0,0,0,0
New York Yanks,1949,1951,9,24,3,.273,,Ratterman,Toth,Edwards,Strader,0,0,0,,0,0,0,0
New York Bulldogs,1949,1949,1,10,1,.091,,,,,,0,0,0,,0,0,0,0
New York Yanks,1950,1951,8,14,2,.364,,,,,,0,0,0,,0,0,0,0
,,,Top Performers,,Playoffs,,,,,,,,,,,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Newark Tornadoes,1929,1930,4,15,5,.211,,,,,Depler,0,0,0,,0,0,0,0
Orange Tornadoes,1929,1929,3,5,4,.375,,,,,,0,0,0,,0,0,0,0
Newark Tornadoes,1930,1930,1,10,1,.091,,,,,,0,0,0,,0,0,0,0
Oorang Indians,1922,1923,4,16,0,.200,,,,,Thorpe,0,0,0,,0,0,0,0
Providence Steam Roller,1925,1931,41,32,11,.562,,,,,Conzelman,0,0,0,,1,0,0,1
Racine Tornadoes,1922,1926,15,15,6,.500,,,,,Ruetz,0,0,0,,0,0,0,0
Racine Legion,1922,1924,14,11,6,.560,,,,,,0,0,0,,0,0,0,0
Racine Tornadoes,1926,1926,1,4,0,.200,,,,,,0,0,0,,0,0,0,0
Rochester Jeffersons,1920,1925,8,27,4,.229,,,,,Forsyth,0,0,0,,0,0,0,0
Rock Island Independents,1920,1925,26,14,12,.650,,,,,Ursella,0,0,0,,0,0,0,0
St. Louis All-Stars,1923,1923,1,4,2,.200,,,,,Kraehe,0,0,0,,0,0,0,0
St. Louis Gunners,1934,1934,1,2,0,.333,,Rapp,Johnston,Moss,Walsh,0,0,0,,0,0,0,0
Staten Island Stapletons,1929,1932,14,22,9,.389,,Wycoff,Campiglio,Hinton,Wycoff,0,0,0,,0,0,0,0
Toledo Maroons,1922,1923,8,5,4,.615,,,,,Falcon,0,0,0,,0,0,0,0
Tonawanda Kardex,1921,1921,0,1,0,.000,,,,,,0,0,0,,0,0,0,0
Washington Senators,1921,1921,1,2,0,.333,,,,,Hegarty,0,0,0,,0,0,0,0
