Year,Lg,
2024,NFL,"Super Bowl LIX: Philadelphia Eagles (NFC,14-3) defeated Kansas City Chiefs (AFC,15-2), Score: 40-22"
2023,NFL,"Super Bowl LVIII: Kansas City Chiefs (AFC,11-6) defeated San Francisco 49ers (NFC,12-5), Score: 25-22"
2022,NFL,"Super Bowl LVII: Kansas City Chiefs (AFC,14-3) defeated Philadelphia Eagles (NFC,14-3), Score: 38-35"
2021,NFL,"Super Bowl LVI: Los Angeles Rams (NFC,12-5) defeated Cincinnati Bengals (AFC,10-7), Score: 23-20"
2020,NFL,"Super Bowl LV: Tampa Bay Buccaneers (NFC,11-5) defeated Kansas City Chiefs (AFC,14-2), Score: 31-9"
2019,NFL,"Super Bowl LIV: Kansas City Chiefs (AFC,12-4) defeated San Francisco 49ers (NFC,13-3), Score: 31-20"
2018,NFL,"Super Bowl LIII: New England Patriots (AFC,11-5) defeated Los Angeles Rams (NFC,13-3), Score: 13-3"
2017,NFL,"Super Bowl LII: Philadelphia Eagles (NFC,13-3) defeated New England Patriots (AFC,13-3), Score: 41-33"
2016,NFL,"Super Bowl LI: New England Patriots (AFC,14-2) defeated Atlanta Falcons (NFC,11-5), Score: 34-28"
2015,NFL,"Super Bowl 50: Denver Broncos (AFC,12-4) defeated Carolina Panthers (NFC,15-1), Score: 24-10"
2014,NFL,"Super Bowl XLIX: New England Patriots (AFC,12-4) defeated Seattle Seahawks (NFC,12-4), Score: 28-24"
2013,NFL,"Super Bowl XLVIII: Seattle Seahawks (NFC,13-3) defeated Denver Broncos (AFC,13-3), Score: 43-8"
2012,NFL,"Super Bowl XLVII: Baltimore Ravens (AFC,10-6) defeated San Francisco 49ers (NFC,11-4-1), Score: 34-31"
2011,NFL,"Super Bowl XLVI: New York Giants (NFC,9-7) defeated New England Patriots (AFC,13-3), Score: 21-17"
2010,NFL,"Super Bowl XLV: Green Bay Packers (NFC,10-6) defeated Pittsburgh Steelers (AFC,12-4), Score: 31-25"
2009,NFL,"Super Bowl XLIV: New Orleans Saints (NFC,13-3) defeated Indianapolis Colts (AFC,14-2), Score: 31-17"
2008,NFL,"Super Bowl XLIII: Pittsburgh Steelers (AFC,12-4) defeated Arizona Cardinals (NFC,9-7), Score: 27-23"
2007,NFL,"Super Bowl XLII: New York Giants (NFC,10-6) defeated New England Patriots (AFC,16-0), Score: 17-14"
2006,NFL,"Super Bowl XLI: Indianapolis Colts (AFC,12-4) defeated Chicago Bears (NFC,13-3), Score: 29-17"
2005,NFL,"Super Bowl XL: Pittsburgh Steelers (AFC,11-5) defeated Seattle Seahawks (NFC,13-3), Score: 21-10"
2004,NFL,"Super Bowl XXXIX: New England Patriots (AFC,14-2) defeated Philadelphia Eagles (NFC,13-3), Score: 24-21"
2003,NFL,"Super Bowl XXXVIII: New England Patriots (AFC,14-2) defeated Carolina Panthers (NFC,11-5), Score: 32-29"
2002,NFL,"Super Bowl XXXVII: Tampa Bay Buccaneers (NFC,12-4) defeated Oakland Raiders (AFC,11-5), Score: 48-21"
2001,NFL,"Super Bowl XXXVI: New England Patriots (AFC,11-5) defeated St. Louis Rams (NFC,14-2), Score: 20-17"
2000,NFL,"Super Bowl XXXV: Baltimore Ravens (AFC,12-4) defeated New York Giants (NFC,12-4), Score: 34-7"
Year,Lg,
1999,NFL,"Super Bowl XXXIV: St. Louis Rams (NFC,13-3) defeated Tennessee Titans (AFC,13-3), Score: 23-16"
1998,NFL,"Super Bowl XXXIII: Denver Broncos (AFC,14-2) defeated Atlanta Falcons (NFC,14-2), Score: 34-19"
1997,NFL,"Super Bowl XXXII: Denver Broncos (AFC,12-4) defeated Green Bay Packers (NFC,13-3), Score: 31-24"
1996,NFL,"Super Bowl XXXI: Green Bay Packers (NFC,13-3) defeated New England Patriots (AFC,11-5), Score: 35-21"
