Rank,Player,TD,Years,Tm
1,Jerry Rice+,208,1985-2004,3TM
2,Emmitt Smith+,175,1990-2004,2TM
3,LaDainian Tomlinson+,162,2001-2011,2TM
4,Randy Moss+,157,1998-2012,5TM
5,Terrell Owens+,156,1996-2010,5TM
6,Marcus Allen+,145,1982-1997,2TM
7,Marshall Faulk+,136,1994-2005,2TM
8,Cris Carter+,131,1987-2002,3TM
9,Marvin Harrison+,128,1996-2008,clt
10,Jim Brown+,126,1957-1965,cle
,Adrian Peterson,126,2007-2021,7TM
12,Walter Payton+,125,1975-1987,chi
13,Larry Fitzgerald,121,2004-2020,crd
14,Antonio Gates+,116,2003-2018,sdg
,John Riggins+,116,1971-1985,2TM
16,Lenny Moore+,113,1956-1967,clt
17,Shaun Alexander,112,2000-2008,2TM
18,Tony Gonzalez+,111,1997-2013,2TM
,Derrick Henry,111,2016-2024,2TM
20,Barry Sanders+,109,1989-1998,det
21,Mike Evans,106,2014-2024,tam
22,Tim Brown+,105,1988-2004,2TM
23,Davante Adams,103,2014-2024,3TM
,Don Hutson+,103,1935-1945,gnb
25,Steve Largent+,101,1976-1989,sea
Rank,Player,TD,Years,Tm
26,Frank Gore,100,2005-2020,5TM
,Franco Harris+,100,1972-1984,2TM
,Curtis Martin+,100,1995-2005,2TM
29,Eric Dickerson+,96,1983-1993,4TM
30,Tyreek Hill,95,2016-2024,2TM
31,Jerome Bettis+,94,1993-2005,2TM
,Priest Holmes,94,1997-2007,2TM
,Marshawn Lynch,94,2007-2019,3TM
34,Rob Gronkowski,93,2010-2021,2TM
,Jim Taylor+,93,1958-1967,2TM
36,Isaac Bruce+,91,1994-2009,2TM
,Tony Dorsett+,91,1977-1988,2TM
,Edgerrin James+,91,1999-2009,3TM
,Bobby Mitchell+,91,1958-1968,2TM
,Ricky Watters,91,1992-2001,3TM
41,Leroy Kelly+,90,1964-1973,cle
,Charley Taylor+,90,1964-1977,was
43,Corey Dillon,89,1997-2006,2TM
,Jimmy Graham,89,2010-2023,4TM
,LeSean McCoy,89,2009-2020,4TM
,Steve Smith Sr.,89,2001-2016,2TM
47,Antonio Brown,88,2010-2021,3TM
,Ezekiel Elliott,88,2016-2024,2TM
,Irving Fryar,88,1984-2000,4TM
,Don Maynard+,88,1958-1973,3TM
Rank,Player,TD,Years,Tm
,Andre Reed+,88,1985-2000,2TM
,Thurman Thomas+,88,1988-2000,2TM
53,Lance Alworth+,87,1962-1972,2TM
54,Ottis Anderson,86,1979-1992,2TM
,Alvin Kamara,86,2017-2024,nor
,Hines Ward,86,1998-2011,pit
,Paul Warfield+,86,1964-1977,2TM
58,Mark Clayton,85,1983-1993,2TM
,Tommy McDonald+,85,1957-1968,5TM
60,Calvin Johnson+,84,2007-2015,det
,Joe Perry+,84,1948-1963,2TM
,Andre Rison,84,1989-2000,7TM
,Herschel Walker,84,1986-1997,4TM
64,Anquan Boldin,83,2003-2016,4TM
,Joey Galloway,83,1995-2010,5TM
,DeAndre Hopkins,83,2013-2024,4TM
,Brandon Marshall,83,2006-2018,6TM
68,Pete Johnson,82,1977-1984,3TM
,Art Powell,82,1959-1968,5TM
,Reggie Wayne,82,2001-2014,clt
71,Maurice Jones-Drew,81,2006-2014,2TM
,Christian McCaffrey,81,2017-2024,2TM
73,Travis Kelce,80,2013-2024,kan
,Clinton Portis,80,2002-2010,2TM
75,Terry Allen,79,1991-2001,5TM
Rank,Player,TD,Years,Tm
,James Brooks,79,1981-1992,4TM
,Harold Carmichael+,79,1971-1984,2TM
,Todd Gurley,79,2015-2020,2TM
79,Eddie George,78,1996-2004,2TM
,Frank Gifford+,78,1952-1964,nyg
,Steven Jackson,78,2004-2015,3TM
82,Fred Biletnikoff+,77,1965-1978,rai
,Dez Bryant,77,2010-2020,2TM
,Steve Van Buren+,77,1944-1951,phi
85,Bill Brown,76,1961-1974,2TM
,Chuck Foreman,76,1973-1980,2TM
,Bob Hayes+,76,1965-1975,2TM
,Harold Jackson,76,1968-1983,5TM
,James Lofton+,76,1978-1993,5TM
,Cam Newton,76,2011-2021,2TM
,O.J. Simpson+,76,1969-1979,2TM
92,Matt Forte,75,2008-2017,2TM
,Mark Ingram,75,2011-2022,3TM
,Nat Moore,75,1974-1986,mia
95,Earl Campbell+,74,1978-1985,2TM
,John David Crow,74,1958-1968,2TM
,Ahman Green,74,1998-2009,3TM
,Torry Holt,74,1999-2009,2TM
,Joe Mixon,74,2017-2024,2TM
,Chuck Muncie,74,1976-1984,2TM
Rank,Player,TD,Years,Tm
,Fred Taylor,74,1998-2010,2TM
,Ricky Williams,74,1999-2011,3TM
,Jason Witten,74,2003-2020,2TM
104,Roger Craig,73,1983-1993,3TM
,Austin Ekeler,73,2017-2024,2TM
,Ollie Matson+,73,1952-1966,4TM
