Rank,Player,TD,Year,Tm
1,LaDainian Tomlinson+ (27),31,2006,SDG
2,Shaun Alexander (28),28,2005,SEA
3,Priest Holmes (29),27,2003,KAN
4,Marshall Faulk+ (27),26,2000,STL
5,Emmitt Smith+ (26),25,1995,DAL
6,Priest Holmes (28),24,2002,KAN
,John Riggins+ (34),24,1983,WAS
8,Terrell Davis+ (25),23,1998,DEN
,Randy Moss+ (30),23,2007,NWE
,Jerry Rice+ (24),23,1987,SFO
,O.J. Simpson+ (28),23,1975,BUF
12,Chuck Foreman (24),22,1975,MIN
,Gale Sayers+ (22),22,1965,CHI
,Emmitt Smith+ (25),22,1994,DAL
15,Terry Allen (28),21,1996,WAS
,Jim Brown+ (29),21,1965,CLE
,Marshall Faulk+ (28),21,2001,STL
,Todd Gurley (24),21,2018,LAR
,Larry Johnson (25),21,2005,KAN
,Alvin Kamara (25),21,2020,NOR
,Christian McCaffrey (27),21,2023,SFO
,Joe Morris (24),21,1985,NYG
,Raheem Mostert (31),21,2023,MIA
24,Shaun Alexander (27),20,2004,SEA
,Eric Dickerson+ (23),20,1983,RAM
Rank,Player,TD,Year,Tm
,Austin Ekeler (26),20,2021,LAC
,Jahmyr Gibbs (22),20,2024,DET
,Ahman Green (26),20,2003,GNB
,David Johnson (24),20,2016,ARI
,Leroy Kelly+ (26),20,1968,CLE
,LeSean McCoy (23),20,2011,PHI
,Lenny Moore+ (30),20,1964,BAL
,Jonathan Taylor (22),20,2021,IND
,LaDainian Tomlinson+ (26),20,2005,SDG
,DeAngelo Williams (25),20,2008,CAR
36,Earl Campbell+ (24),19,1979,HOU
,Jamaal Charles (26),19,2013,KAN
,Todd Gurley (23),19,2017,LAR
,Abner Haynes (24),19,1962,DTX
,Larry Johnson (26),19,2006,KAN
,Aaron Jones (24),19,2019,GNB
,Christian McCaffrey (23),19,2019,CAR
,Chuck Muncie (28),19,1981,SDG
,Spec Sanders (29),19,1947,NYY
,Emmitt Smith+ (23),19,1992,DAL
,Jim Taylor+ (26),19,1962,GNB
47,Davante Adams (27),18,2020,GNB
,Shaun Alexander (25),18,2002,SEA
,Marcus Allen+ (24),18,1984,RAI
,Greg Bell (26),18,1988,RAM
Rank,Player,TD,Year,Tm
,LeGarrette Blount (29),18,2016,NWE
,Jim Brown+ (22),18,1958,CLE
,Jim Brown+ (26),18,1962,CLE
,Mark Clayton (23),18,1984,MIA
,James Conner (26),18,2021,ARI
,James Cook (24),18,2024,BUF
,Austin Ekeler (27),18,2022,LAC
,Arian Foster (24),18,2010,HOU
,Bill Groman (25),18,1961,HOU
,Rob Gronkowski (22),18,2011,NWE
,Derrick Henry (25),18,2019,TEN
,Derrick Henry (30),18,2024,BAL
,Dalton Hilliard (25),18,1989,NOR
,Edgerrin James+ (22),18,2000,IND
,Alvin Kamara (23),18,2018,NOR
,Adrian Peterson (24),18,2009,MIN
,George Rogers (27),18,1986,WAS
,Sterling Sharpe+ (29),18,1994,GNB
,LaDainian Tomlinson+ (25),18,2004,SDG
,LaDainian Tomlinson+ (28),18,2007,SDG
,Steve Van Buren+ (24),18,1945,PHI
72,Cris Carter+ (29),17,1995,MIN
,Ja'Marr Chase (24),17,2024,CIN
,Dalvin Cook (25),17,2020,MIN
,John David Crow (27),17,1962,STL
Rank,Player,TD,Year,Tm
,Stephen Davis (25),17,1999,WAS
,Arian Foster (26),17,2012,HOU
,Derrick Henry (26),17,2020,TEN
,Tyreek Hill (26),17,2020,KAN
,Elroy Hirsch+ (28),17,1951,RAM
,Don Hutson+ (29),17,1942,GNB
,Edgerrin James+ (21),17,1999,IND
,Marshawn Lynch (28),17,2014,SEA
,Curtis Martin+ (23),17,1996,NWE
,Randy Moss+ (21),17,1998,MIN
,Randy Moss+ (26),17,2003,MIN
,Carl Pickens (25),17,1995,CIN
,Clinton Portis (21),17,2002,DEN
,Jerry Rice+ (26),17,1989,SFO
,Jerry Rice+ (32),17,1995,SFO
,Gene Roberts (26),17,1949,NYG
,Barry Sanders+ (23),17,1991,DET
,Fred Taylor (22),17,1998,JAX
,LaDainian Tomlinson+ (24),17,2003,SDG
,Michael Turner (26),17,2008,ATL
,Wendell Tyler (26),17,1981,RAM
,Jamaal Williams (27),17,2022,DET
,Ricky Williams (25),17,2002,MIA
99,Karim Abdul-Jabbar (23),16,1997,MIA
,Shaun Alexander (24),16,2001,SEA
Rank,Player,TD,Year,Tm
,Shaun Alexander (26),16,2003,SEA
,Jamal Anderson (25),16,1998,ATL
,Pete Banaszak (31),16,1975,OAK
,Marion Barber III (23),16,2006,DAL
,Bill Brown (26),16,1964,MIN
,Dez Bryant (25),16,2014,DAL
,Maurice Jones-Drew (21),16,2006,JAX
,Maurice Jones-Drew (24),16,2009,JAX
,Braylon Edwards (24),16,2007,CLE
,Ezekiel Elliott (21),16,2016,DAL
,Eddie George (26),16,2000,TEN
,Jimmy Graham (26),16,2013,NOR
,Steven Jackson (23),16,2006,STL
,Josh Jacobs (26),16,2024,GNB
,Calvin Johnson+ (25),16,2011,DET
,Chris Johnson (23),16,2009,TEN
,Pete Johnson (27),16,1981,CIN
,Leroy Kelly+ (24),16,1966,CLE
,Cooper Kupp (28),16,2021,LAR
,Deuce McAllister (23),16,2002,NOR
,Joe Mixon (25),16,2021,CIN
,Muhsin Muhammad (31),16,2004,CAR
,Chet Mutryn (27),16,1948,BUF
,Terrell Owens+ (27),16,2001,SFO
,Willie Parker (25),16,2006,PIT
Rank,Player,TD,Year,Tm
,Walter Payton+ (24),16,1977,CHI
,Walter Payton+ (26),16,1979,CHI
,Art Powell (26),16,1963,OAK
,Dan Reeves (22),16,1966,DAL
,Jerry Rice+ (23),16,1986,SFO
,Jerry Rice+ (30),16,1993,SFO
,Barry Sanders+ (22),16,1990,DET
,Billy Sims (24),16,1980,DET
,Lamar Smith (29),16,2000,MIA
,Jim Taylor+ (25),16,1961,GNB
,Chris Warren (27),16,1995,SEA
,Kyren Williams (24),16,2024,LAR
138,Joseph Addai (24),15,2007,IND
,Josh Allen (27),15,2023,BUF
,Marcus Allen+ (33),15,1993,KAN
,Terry Allen (24),15,1992,MIN
,Lance Alworth+ (24),15,1964,SDG
,Mike Anderson (26),15,2000,DEN
,Neal Anderson (25),15,1989,CHI
,Tiki Barber (29),15,2004,NYG
,Saquon Barkley (21),15,2018,NYG
,Saquon Barkley (27),15,2024,PHI
,Greg Bell (27),15,1989,RAM
,Dwayne Bowe (25),15,2010,KAN
,Cloyce Box (29),15,1952,DET
Rank,Player,TD,Year,Tm
,Antonio Brown (30),15,2018,PIT
,Jim Brown+ (27),15,1963,CLE
,Billy Cannon (24),15,1961,HOU
,Roger Craig (25),15,1985,SFO
,Terrell Davis+ (23),15,1996,DEN
,Terrell Davis+ (24),15,1997,DEN
,Eric Dickerson+ (28),15,1988,IND
,Derrick Fenner (23),15,1990,SEA
,Chuck Foreman (23),15,1974,MIN
,Cleveland Gary (24),15,1990,RAM
,Cookie Gilchrist (27),15,1962,BUF
,Damien Harris (24),15,2021,NWE
,Marvin Harrison+ (29),15,2001,IND
,Marvin Harrison+ (32),15,2004,IND
,Priest Holmes (30),15,2004,KAN
,Paul Hornung+ (24),15,1960,GNB
,Jalen Hurts (25),15,2023,PHI
,Mark Ingram (29),15,2019,BAL
,Brandon Jacobs (26),15,2008,NYG
,Pete Johnson (25),15,1979,CIN
,Thomas Jones (30),15,2008,NYJ
,Mal Kutner (27),15,1948,CRD
,Louis Lipps (23),15,1985,PIT
,Curtis Martin+ (22),15,1995,NWE
,Lydell Mitchell (26),15,1975,BAL
Rank,Player,TD,Year,Tm
,Lenny Moore+ (27),15,1961,BAL
,Joe Morris (25),15,1986,NYG
,Randy Moss+ (23),15,2000,MIN
,Jordy Nelson (26),15,2011,GNB
,Terrell Owens+ (24),15,1998,SFO
,Terrell Owens+ (33),15,2007,DAL
,Sonny Randle (24),15,1960,STL
,Jerry Rice+ (31),15,1994,SFO
,Ray Rice (24),15,2011,BAL
,Andre Rison (26),15,1993,ATL
,Bijan Robinson (22),15,2024,ATL
