Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
QB,Lamar Jackson,BAL,27,6,17,17,316,474,4172,41,4,139,915,4,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
QB,Jared Goff,DET,30,8,17,17,390,539,4629,37,12,35,56,0,1,7,1,0,0.0,0,FW: 1st Tm All-Conf.
QB,Josh Allen,BUF,28,6,17,17,307,483,3731,28,6,102,531,12,0,7,1,0,0.0,0,AP: 2nd Tm
QB,Joe Burrow,CIN,28,4,17,17,460,652,4918,43,9,42,201,2,0,0,0,0,0.0,0,PFF: 2nd Tm
RB,Saquon Barkley,PHI,27,6,16,16,0,0,0,0,0,345,2005,13,33,278,2,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
RB,Derrick Henry,BAL,30,8,17,17,0,0,0,0,0,325,1921,16,19,193,2,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
RB,Jahmyr Gibbs,DET,22,1,17,4,0,0,0,0,0,250,1412,16,52,517,4,0,0.0,0,FW: 1st Tm All-Conf.
FB,Kyle Juszczyk,SFO,33,11,17,15,0,0,0,0,0,5,26,1,19,200,2,0,0.0,0,"AP: 2nd Tm, NFLPA: 1st Tm"
FB,Patrick Ricard,BAL,30,7,17,6,0,0,0,0,0,0,0,0,3,22,1,0,0.0,0,AP: 1st Tm
WR,Justin Jefferson,MIN,25,4,17,17,1,1,22,0,0,1,3,0,103,1533,10,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
WR,Ja'Marr Chase,CIN,24,3,17,16,0,0,0,0,0,3,32,0,127,1708,17,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
