Year,Lg,Pos,Player,Tm,Voting
2024,NFL,CB,Patrick Surtain II,Denver Broncos,Voting
2023,NFL,DE,Myles Garrett,Cleveland Browns,Voting
2022,NFL,DE,Nick Bosa,San Francisco 49ers,Voting
2021,NFL,OLB,T.J. Watt,Pittsburgh Steelers,Voting
2020,NFL,DT,Aaron Donald,Los Angeles Rams,Voting
2019,NFL,CB,Stephon Gilmore,New England Patriots,Voting
2018,NFL,DT,Aaron Donald,Los Angeles Rams,Voting
2017,NFL,DT,Aaron Donald,Los Angeles Rams,Voting
2016,NFL,OLB,Khalil Mack,Oakland Raiders,Voting
2015,NFL,DE,J.J. Watt,Houston Texans,Voting
2014,NFL,DE,J.J. Watt,Houston Texans,Voting
2013,NFL,ILB,Luke Kuechly,Carolina Panthers,Voting
2012,NFL,DE,J.J. Watt,Houston Texans,Voting
2011,NFL,LOLB,Terrell Suggs,Baltimore Ravens,Voting
2010,NFL,SS,Troy Polamalu,Pittsburgh Steelers,Voting
2009,NFL,LCB,Charles Woodson,Green Bay Packers,Voting
2008,NFL,ROLB,James Harrison,Pittsburgh Steelers,Voting
2007,NFL,DB,Bob Sanders,Indianapolis Colts,Voting
2006,NFL,RDE,Jason Taylor,Miami Dolphins,Voting
2005,NFL,MLB,Brian Urlacher,Chicago Bears,Voting
2004,NFL,FS,Ed Reed,Baltimore Ravens,Voting
2003,NFL,MLB,Ray Lewis,Baltimore Ravens,Voting
2002,NFL,RLB,Derrick Brooks,Tampa Bay Buccaneers,Voting
2001,NFL,LDE,Michael Strahan,New York Giants,Voting
2000,NFL,MLB,Ray Lewis,Baltimore Ravens,Voting
Year,Lg,Pos,Player,Tm,Voting
1999,NFL,RDT,Warren Sapp,Tampa Bay Buccaneers,Voting
1998,NFL,LDE,Reggie White,Green Bay Packers,Voting
1997,NFL,RDT,Dana Stubblefield,San Francisco 49ers,Voting
1996,NFL,RDE,Bruce Smith,Buffalo Bills,Voting
1995,NFL,LOLB,Bryce Paup,Buffalo Bills,Voting
1994,NFL,RCB,Deion Sanders,San Francisco 49ers,Voting
1993,NFL,DB,Rod Woodson,Pittsburgh Steelers,Voting
1992,NFL,RDT,Cortez Kennedy,Seattle Seahawks,Voting
1991,NFL,ROLB,Pat Swilling,New Orleans Saints,Voting
1990,NFL,RDE,Bruce Smith,Buffalo Bills,Voting
1989,NFL,RDT,Keith Millard,Minnesota Vikings,Voting
1988,NFL,MLB,Mike Singletary,Chicago Bears,Voting
1987,NFL,LDE,Reggie White,Philadelphia Eagles,Voting
1986,NFL,ROLB,Lawrence Taylor,New York Giants,Voting
1985,NFL,MLB,Mike Singletary,Chicago Bears,Voting
1984,NFL,SS,Kenny Easley,Seattle Seahawks,Voting
1983,NFL,LDE,Doug Betters,Miami Dolphins,Voting
1982,NFL,ROLB,Lawrence Taylor,New York Giants,Voting
1981,NFL,ROLB,Lawrence Taylor,New York Giants,Voting
1980,NFL,LCB,Lester Hayes,Oakland Raiders,Voting
1979,NFL,RDE,Lee Roy Selmon,Tampa Bay Buccaneers,Voting
1978,NFL,RILB,Randy Gradishar,Denver Broncos,Voting
1977,NFL,RDE,Harvey Martin,Dallas Cowboys,Voting
1976,NFL,MLB,Jack Lambert,Pittsburgh Steelers,Voting
1975,NFL,RCB,Mel Blount,Pittsburgh Steelers,Voting
1974,NFL,LDT,Joe Greene,Pittsburgh Steelers,Voting
1973,NFL,SS,Dick Anderson,Miami Dolphins,Voting
1972,NFL,LDT,Joe Greene,Pittsburgh Steelers,Voting
1971,NFL,RDT,Alan Page,Minnesota Vikings,Voting
