Year,Lg,Pos,Player,Tm,Voting
2024,NFL,OLB,Jared Verse,Los Angeles Rams,Voting
2023,NFL,DE,Will Anderson,Houston Texans,Voting
2022,NFL,CB,Sauce Gardner,New York Jets,Voting
2021,NFL,OLB,Micah Parsons,Dallas Cowboys,Voting
2020,NFL,DL,Chase Young,Washington Football Team,Voting
2019,NFL,DE,Nick Bosa,San Francisco 49ers,Voting
2018,NFL,OLB,Shaquille Leonard,Indianapolis Colts,Voting
2017,NFL,CB,Marshon Lattimore,New Orleans Saints,Voting
2016,NFL,DE,Joey Bosa,San Diego Chargers,Voting
2015,NFL,CB,Marcus Peters,Kansas City Chiefs,Voting
2014,NFL,DT,Aaron Donald,St. Louis Rams,Voting
2013,NFL,DT,Sheldon Richardson,New York Jets,Voting
2012,NFL,ILB,Luke Kuechly,Carolina Panthers,Voting
2011,NFL,OLB,Von Miller,Denver Broncos,Voting
2010,NFL,LDT,Ndamukong Suh,Detroit Lions,Voting
2009,NFL,LLB,Brian Cushing,Houston Texans,Voting
2008,NFL,LILB,Jerod Mayo,New England Patriots,Voting
2007,NFL,RILB,Patrick Willis,San Francisco 49ers,Voting
2006,NFL,MLB,DeMeco Ryans,Houston Texans,Voting
2005,NFL,OLB,Shawne Merriman,San Diego Chargers,Voting
2004,NFL,MLB,Jonathan Vilma,New York Jets,Voting
2003,NFL,LOLB,Terrell Suggs,Baltimore Ravens,Voting
2002,NFL,LDE,Julius Peppers,Carolina Panthers,Voting
2001,NFL,RILB,Kendrell Bell,Pittsburgh Steelers,Voting
2000,NFL,MLB,Brian Urlacher,Chicago Bears,Voting
Year,Lg,Pos,Player,Tm,Voting
1999,NFL,LDE,Jevon Kearse,Tennessee Titans,Voting
1998,NFL,LCB,Charles Woodson,Oakland Raiders,Voting
1997,NFL,LLB,Peter Boulware,Baltimore Ravens,Voting
1996,NFL,RDE,Simeon Rice,Arizona Cardinals,Voting
1995,NFL,RDE,Hugh Douglas,New York Jets,Voting
1994,NFL,LDT,Tim Bowens,Miami Dolphins,Voting
1993,NFL,RDT,Dana Stubblefield,San Francisco 49ers,Voting
1992,NFL,LCB,Dale Carter,Kansas City Chiefs,Voting
1991,NFL,LOLB,Mike Croel,Denver Broncos,Voting
1990,NFL,FS,Mark Carrier,Chicago Bears,Voting
1989,NFL,ROLB,Derrick Thomas,Kansas City Chiefs,Voting
1988,NFL,FS,Erik McMillan,New York Jets,Voting
1987,NFL,LILB,Shane Conlan,Buffalo Bills,Voting
1986,NFL,RDE,Leslie O'Neal,San Diego Chargers,Voting
1985,NFL,ROLB,Duane Bickett,Indianapolis Colts,Voting
1984,NFL,NT,Bill Maas,Kansas City Chiefs,Voting
1983,NFL,ROLB,Vernon Maxwell,Baltimore Colts,Voting
1982,NFL,LOLB,Chip Banks,Cleveland Browns,Voting
1981,NFL,ROLB,Lawrence Taylor,New York Giants,Voting
1980,NFL,LOLB,Al Richardson,Atlanta Falcons,Voting
1980,NFL,RILB,Buddy Curry,Atlanta Falcons,Voting
1979,NFL,LILB,Jim Haslett,Buffalo Bills,Voting
1978,NFL,RDE,Al Baker,Detroit Lions,Voting
1977,NFL,LILB,A.J. Duhe,Miami Dolphins,Voting
1976,NFL,RCB,Mike Haynes,New England Patriots,Voting
Year,Lg,Pos,Player,Tm,Voting
1975,NFL,ROLB,Robert Brazile,Houston Oilers,Voting
1974,NFL,MLB,Jack Lambert,Pittsburgh Steelers,Voting
1973,NFL,RDT,Wally Chambers,Chicago Bears,Voting
1972,NFL,LCB,Willie Buchanon,Green Bay Packers,Voting
1971,NFL,RLB,Isiah Robertson,Los Angeles Rams,Voting
1970,NFL,RCB,Bruce Taylor,San Francisco 49ers,Voting
1969,NFL,LDT,Joe Greene,Pittsburgh Steelers,Voting
1968,NFL,LDE,Claude Humphrey,Atlanta Falcons,Voting
1967,NFL,LCB,Lem Barney,Detroit Lions,Voting
