Year,Lg,Pos,Player,Tm,Voting
2024,NFL,QB,Josh Allen,Buffalo Bills,Voting
2023,NFL,QB,Lamar Jackson,Baltimore Ravens,Voting
2022,NFL,QB,Patrick Mahomes,Kansas City Chiefs,Voting
2021,NFL,QB,Aaron Rodgers,Green Bay Packers,Voting
2020,NFL,QB,Aaron Rodgers,Green Bay Packers,Voting
2019,NFL,QB,Lamar Jackson,Baltimore Ravens,Voting
2018,NFL,QB,Patrick Mahomes,Kansas City Chiefs,Voting
2017,NFL,QB,Tom Brady,New England Patriots,Voting
2016,NFL,QB,Matt Ryan,Atlanta Falcons,Voting
2015,NFL,QB,Cam Newton,Carolina Panthers,Voting
2014,NFL,QB,Aaron Rodgers,Green Bay Packers,Voting
2013,NFL,QB,Peyton Manning,Denver Broncos,Voting
2012,NFL,RB,Adrian Peterson,Minnesota Vikings,Voting
2011,NFL,QB,Aaron Rodgers,Green Bay Packers,Voting
2010,NFL,QB,Tom Brady,New England Patriots,Voting
2009,NFL,QB,Peyton Manning,Indianapolis Colts,Voting
2008,NFL,QB,Peyton Manning,Indianapolis Colts,Voting
2007,NFL,QB,Tom Brady,New England Patriots,Voting
2006,NFL,RB,LaDainian Tomlinson,San Diego Chargers,Voting
2005,NFL,RB,Shaun Alexander,Seattle Seahawks,Voting
2004,NFL,QB,Peyton Manning,Indianapolis Colts,Voting
2003,NFL,QB,Steve McNair,Tennessee Titans,Voting
2003,NFL,QB,Peyton Manning,Indianapolis Colts,Voting
2002,NFL,QB,Rich Gannon,Oakland Raiders,Voting
2001,NFL,QB,Kurt Warner,St. Louis Rams,Voting
Year,Lg,Pos,Player,Tm,Voting
2000,NFL,RB,Marshall Faulk,St. Louis Rams,Voting
1999,NFL,QB,Kurt Warner,St. Louis Rams,Voting
1998,NFL,RB,Terrell Davis,Denver Broncos,Voting
1997,NFL,RB,Barry Sanders,Detroit Lions,Voting
1997,NFL,QB,Brett Favre,Green Bay Packers,Voting
1996,NFL,QB,Brett Favre,Green Bay Packers,Voting
1995,NFL,QB,Brett Favre,Green Bay Packers,Voting
1994,NFL,QB,Steve Young,San Francisco 49ers,Voting
1993,NFL,RB,Emmitt Smith,Dallas Cowboys,Voting
1992,NFL,QB,Steve Young,San Francisco 49ers,Voting
1991,NFL,RB,Thurman Thomas,Buffalo Bills,Voting
1990,NFL,QB,Joe Montana,San Francisco 49ers,Voting
1989,NFL,QB,Joe Montana,San Francisco 49ers,Voting
1988,NFL,QB,Boomer Esiason,Cincinnati Bengals,Voting
1987,NFL,QB,John Elway,Denver Broncos,Voting
1986,NFL,ROLB,Lawrence Taylor,New York Giants,Voting
1985,NFL,RB,Marcus Allen,Los Angeles Raiders,Voting
1984,NFL,QB,Dan Marino,Miami Dolphins,Voting
1983,NFL,QB,Joe Theismann,Washington Redskins,Voting
1982,NFL,K,Mark Moseley,Washington Redskins,Voting
1981,NFL,QB,Ken Anderson,Cincinnati Bengals,Voting
1980,NFL,QB,Brian Sipe,Cleveland Browns,Voting
1979,NFL,RB,Earl Campbell,Houston Oilers,Voting
1978,NFL,QB,Terry Bradshaw,Pittsburgh Steelers,Voting
1977,NFL,RB,Walter Payton,Chicago Bears,Voting
Year,Lg,Pos,Player,Tm,Voting
1976,NFL,QB,Bert Jones,Baltimore Colts,Voting
1975,NFL,QB,Fran Tarkenton,Minnesota Vikings,Voting
1974,NFL,QB,Ken Stabler,Oakland Raiders,Voting
1973,NFL,RB,O.J. Simpson,Buffalo Bills,Voting
1972,NFL,RB,Larry Brown,Washington Redskins,Voting
1971,NFL,RDT,Alan Page,Minnesota Vikings,Voting
1970,NFL,QB,John Brodie,San Francisco 49ers,Voting
1969,NFL,QB,Roman Gabriel,Los Angeles Rams,Voting
1968,NFL,QB,Earl Morrall,Baltimore Colts,Voting
1967,NFL,QB,Johnny Unitas,Baltimore Colts,Voting
1966,NFL,QB,Bart Starr,Green Bay Packers,Voting
1965,NFL,FB,Jim Brown,Cleveland Browns,Voting
1964,NFL,QB,Johnny Unitas,Baltimore Colts,Voting
1963,NFL,QB,Y.A. Tittle,New York Giants,Voting
1962,NFL,FB,Jim Taylor,Green Bay Packers,Voting
1961,NFL,HB,Paul Hornung,Green Bay Packers,Voting
1959,NFL,QB,Johnny Unitas,Baltimore Colts,Voting
1958,NFL,FB,Jim Brown,Cleveland Browns,Voting
1957,NFL,FB,Jim Brown,Cleveland Browns,Voting
