Year,Lg,Pos,Player,Tm,Voting
2024,NFL,RB,Saquon Barkley,Philadelphia Eagles,Voting
2023,NFL,RB,Christian McCaffrey,San Francisco 49ers,Voting
2022,NFL,WR,Justin Jefferson,Minnesota Vikings,Voting
2021,NFL,WR,Cooper Kupp,Los Angeles Rams,Voting
2020,NFL,RB,Derrick Henry,Tennessee Titans,Voting
2019,NFL,WR,Michael Thomas,New Orleans Saints,Voting
2018,NFL,QB,Patrick Mahomes,Kansas City Chiefs,Voting
2017,NFL,RB,Todd Gurley,Los Angeles Rams,Voting
2016,NFL,QB,Matt Ryan,Atlanta Falcons,Voting
2015,NFL,QB,Cam Newton,Carolina Panthers,Voting
2014,NFL,RB,DeMarco Murray,Dallas Cowboys,Voting
2013,NFL,QB,Peyton Manning,Denver Broncos,Voting
2012,NFL,RB,Adrian Peterson,Minnesota Vikings,Voting
2011,NFL,QB,Drew Brees,New Orleans Saints,Voting
2010,NFL,QB,Tom Brady,New England Patriots,Voting
2009,NFL,RB,Chris Johnson,Tennessee Titans,Voting
2008,NFL,QB,Drew Brees,New Orleans Saints,Voting
2007,NFL,QB,Tom Brady,New England Patriots,Voting
2006,NFL,RB,LaDainian Tomlinson,San Diego Chargers,Voting
2005,NFL,RB,Shaun Alexander,Seattle Seahawks,Voting
2004,NFL,QB,Peyton Manning,Indianapolis Colts,Voting
2003,NFL,RB,Jamal Lewis,Baltimore Ravens,Voting
2002,NFL,RB,Priest Holmes,Kansas City Chiefs,Voting
2001,NFL,RB,Marshall Faulk,St. Louis Rams,Voting
2000,NFL,RB,Marshall Faulk,St. Louis Rams,Voting
Year,Lg,Pos,Player,Tm,Voting
1999,NFL,RB,Marshall Faulk,St. Louis Rams,Voting
1998,NFL,RB,Terrell Davis,Denver Broncos,Voting
1997,NFL,RB,Barry Sanders,Detroit Lions,Voting
1996,NFL,RB,Terrell Davis,Denver Broncos,Voting
1995,NFL,QB,Brett Favre,Green Bay Packers,Voting
1994,NFL,RB,Barry Sanders,Detroit Lions,Voting
1993,NFL,WR,Jerry Rice,San Francisco 49ers,Voting
1992,NFL,QB,Steve Young,San Francisco 49ers,Voting
1991,NFL,RB,Thurman Thomas,Buffalo Bills,Voting
1990,NFL,QB,Warren Moon,Houston Oilers,Voting
1989,NFL,QB,Joe Montana,San Francisco 49ers,Voting
1988,NFL,RB,Roger Craig,San Francisco 49ers,Voting
1987,NFL,WR,Jerry Rice,San Francisco 49ers,Voting
1986,NFL,RB,Eric Dickerson,Los Angeles Rams,Voting
1985,NFL,RB,Marcus Allen,Los Angeles Raiders,Voting
1984,NFL,QB,Dan Marino,Miami Dolphins,Voting
1983,NFL,QB,Joe Theismann,Washington Redskins,Voting
1982,NFL,QB,Dan Fouts,San Diego Chargers,Voting
1981,NFL,QB,Ken Anderson,Cincinnati Bengals,Voting
1980,NFL,RB,Earl Campbell,Houston Oilers,Voting
1979,NFL,RB,Earl Campbell,Houston Oilers,Voting
1978,NFL,RB,Earl Campbell,Houston Oilers,Voting
1977,NFL,RB,Walter Payton,Chicago Bears,Voting
1976,NFL,QB,Bert Jones,Baltimore Colts,Voting
1975,NFL,QB,Fran Tarkenton,Minnesota Vikings,Voting
1974,NFL,QB,Ken Stabler,Oakland Raiders,Voting
1973,NFL,RB,O.J. Simpson,Buffalo Bills,Voting
1972,NFL,RB,Larry Brown,Washington Redskins,Voting
