Year,Lg,Pos,Player,Tm,Voting
2024,NFL,QB,Jayden Daniels,Washington Commanders,Voting
2023,NFL,QB,C.J. Stroud,Houston Texans,Voting
2022,NFL,WR,Garrett Wilson,New York Jets,Voting
2021,NFL,WR,Ja'Marr Chase,Cincinnati Bengals,Voting
2020,NFL,QB,Justin Herbert,Los Angeles Chargers,Voting
2019,NFL,QB,Kyler Murray,Arizona Cardinals,Voting
2018,NFL,RB,Saquon Barkley,New York Giants,Voting
2017,NFL,RB,Alvin Kamara,New Orleans Saints,Voting
2016,NFL,QB,Dak Prescott,Dallas Cowboys,Voting
2015,NFL,RB,Todd Gurley,St. Louis Rams,Voting
2014,NFL,WR,Odell Beckham Jr.,New York Giants,Voting
2013,NFL,RB,Eddie Lacy,Green Bay Packers,Voting
2012,NFL,QB,Robert Griffin III,Washington Redskins,Voting
2011,NFL,QB,Cam Newton,Carolina Panthers,Voting
2010,NFL,QB,Sam Bradford,St. Louis Rams,Voting
2009,NFL,WR,Percy Harvin,Minnesota Vikings,Voting
2008,NFL,QB,Matt Ryan,Atlanta Falcons,Voting
2007,NFL,RB,Adrian Peterson,Minnesota Vikings,Voting
2006,NFL,QB,Vince Young,Tennessee Titans,Voting
2005,NFL,RB,Cadillac Williams,Tampa Bay Buccaneers,Voting
2004,NFL,QB,Ben Roethlisberger,Pittsburgh Steelers,Voting
2003,NFL,WR,Anquan Boldin,Arizona Cardinals,Voting
2002,NFL,RB,Clinton Portis,Denver Broncos,Voting
2001,NFL,RB,Anthony Thomas,Chicago Bears,Voting
2000,NFL,RB,Mike Anderson,Denver Broncos,Voting
Year,Lg,Pos,Player,Tm,Voting
1999,NFL,RB,Edgerrin James,Indianapolis Colts,Voting
1998,NFL,WR,Randy Moss,Minnesota Vikings,Voting
1997,NFL,RB,Warrick Dunn,Tampa Bay Buccaneers,Voting
1996,NFL,RB,Eddie George,Houston Oilers,Voting
1995,NFL,RB,Curtis Martin,New England Patriots,Voting
1994,NFL,RB,Marshall Faulk,Indianapolis Colts,Voting
1993,NFL,RB,Jerome Bettis,Los Angeles Rams,Voting
1992,NFL,WR,Carl Pickens,Cincinnati Bengals,Voting
1991,NFL,RB,Leonard Russell,New England Patriots,Voting
1990,NFL,RB,Emmitt Smith,Dallas Cowboys,Voting
1989,NFL,RB,Barry Sanders,Detroit Lions,Voting
1988,NFL,RB,John Stephens,New England Patriots,Voting
1987,NFL,RB,Troy Stradford,Miami Dolphins,Voting
1986,NFL,RB,Rueben Mayes,New Orleans Saints,Voting
1985,NFL,WR,Eddie Brown,Cincinnati Bengals,Voting
1984,NFL,WR,Louis Lipps,Pittsburgh Steelers,Voting
1983,NFL,RB,Eric Dickerson,Los Angeles Rams,Voting
1982,NFL,RB,Marcus Allen,Los Angeles Raiders,Voting
1981,NFL,RB,George Rogers,New Orleans Saints,Voting
1980,NFL,RB,Billy Sims,Detroit Lions,Voting
1979,NFL,RB,Ottis Anderson,St. Louis Cardinals,Voting
1978,NFL,RB,Earl Campbell,Houston Oilers,Voting
1977,NFL,RB,Tony Dorsett,Dallas Cowboys,Voting
1976,NFL,WR,Sammy White,Minnesota Vikings,Voting
1975,NFL,RB,Mike Thomas,Washington Redskins,Voting
Year,Lg,Pos,Player,Tm,Voting
1974,NFL,RB,Don Woods,San Diego Chargers,Voting
1973,NFL,RB,Chuck Foreman,Minnesota Vikings,Voting
1972,NFL,FB,Franco Harris,Pittsburgh Steelers,Voting
1971,NFL,FB,John Brockington,Green Bay Packers,Voting
1970,NFL,QB,Dennis Shaw,Buffalo Bills,Voting
1969,NFL,RB,Calvin Hill,Dallas Cowboys,Voting
1968,NFL,WR,Earl McCullouch,Detroit Lions,Voting
1967,NFL,RB,Mel Farr,Detroit Lions,Voting
