Rank,Player,AV,Years,Tm
1,Aaron Rodgers,243,2005-2024,2TM
2,Russell Wilson,188,2012-2024,3TM
3,Matthew Stafford,180,2009-2024,2TM
4,Bobby Wagner,173,2012-2024,3TM
5,Calais Campbell,163,2008-2024,5TM
6,Cameron Jordan,145,2011-2024,nor
7,Jason Peters,139,2004-2023,5TM
8,Cameron Heyward,138,2011-2024,pit
9,Trent Williams,134,2010-2024,2TM
10,Joe Flacco,132,2008-2024,5TM
,Von Miller,132,2011-2024,3TM
12,Demario Davis,131,2012-2024,3TM
,Patrick Peterson,131,2011-2023,3TM
14,Khalil Mack,128,2014-2024,3TM
,Zack Martin,128,2014-2024,dal
,Duane Brown,128,2008-2023,3TM
17,Kirk Cousins,126,2012-2024,3TM
,Julio Jones,126,2011-2023,4TM
19,Patrick Mahomes,123,2017-2024,kan
20,Derek Carr,119,2014-2024,2TM
,Lavonte David,119,2012-2024,tam
,Tyron Smith,119,2011-2024,2TM
23,Andy Dalton,118,2011-2024,5TM
24,Tyreek Hill,116,2016-2024,2TM
,Travis Kelce,116,2013-2024,kan
Rank,Player,AV,Years,Tm
26,Ryan Tannehill,114,2012-2023,2TM
,Lamar Jackson,114,2018-2024,rav
28,Jared Goff,113,2016-2024,2TM
29,Josh Allen,112,2018-2024,buf
,Dak Prescott,112,2016-2024,dal
31,Davante Adams,111,2014-2024,3TM
32,Lane Johnson,108,2013-2024,phi
33,DeAndre Hopkins,106,2013-2024,4TM
34,T.J. Watt,105,2017-2024,pit
35,Myles Garrett,104,2017-2024,cle
,Chris Jones,104,2016-2024,kan
37,Stefon Diggs,103,2015-2024,3TM
38,Mike Evans,102,2014-2024,tam
39,David Bakhtiari,101,2013-2023,gnb
40,Keenan Allen,97,2013-2024,2TM
41,Chandler Jones,95,2012-2022,3TM
,C.J. Mosley,95,2014-2024,2TM
,Jalen Ramsey,95,2016-2024,3TM
44,Stephon Gilmore,94,2012-2024,6TM
,Justin Houston,94,2011-2023,5TM
,Jason Pierre-Paul,94,2010-2023,5TM
47,Jake Matthews,93,2014-2024,atl
48,Linval Joseph,91,2010-2024,6TM
,Harrison Smith,91,2012-2024,min
50,Joe Thuney,90,2016-2024,2TM
,Fred Warner,90,2018-2024,sfo
,Kevin Zeitler,90,2012-2024,5TM
