Rank,Player,AV,Year,Tm
1,LaDainian Tomlinson+ (27),26,2006,SDG
2,Marshall Faulk+ (26),25,1999,STL
,Lamar Jackson (22),25,2019,BAL
,O.J. Simpson+ (28),25,1975,BUF
5,Rolland Lawrence (26),24,1977,ATL
,Alan Page+ (25),24,1970,MIN
7,Lem Barney+ (23),23,1969,DET
,Tom Brady (30),23,2007,NWE
,Derrick Brooks+ (29),23,2002,TAM
,Jim Brown+ (28),23,1964,CLE
,Aaron Donald (29),23,2020,LAR
,Carl Eller+ (27),23,1969,MIN
,Priest Holmes (28),23,2002,KAN
,Ray Lewis+ (25),23,2000,BAL
,Wilber Marshall (24),23,1986,CHI
,Randall McDaniel+ (30),23,1995,MIN
,Lydell Mitchell (27),23,1976,BAL
,Alan Page+ (24),23,1969,MIN
,Aaron Rodgers (27),23,2011,GNB
,Deion Sanders+ (29),23,1996,DAL
,Pat Swilling (26),23,1991,NOR
,Lawrence Taylor+ (26),23,1985,NYG
,J.J. Watt (25),23,2014,HOU
24,Herb Adderley+ (23),22,1962,GNB
,Jim Brown+ (27),22,1963,CLE
Rank,Player,AV,Year,Tm
,Wes Chandler (26),22,1982,SDG
,Terrell Davis+ (25),22,1998,DEN
,Marshall Faulk+ (27),22,2000,STL
,Marshall Faulk+ (28),22,2001,STL
,Stephon Gilmore (28),22,2019,NWE
,Patrick Mahomes (22),22,2018,KAN
,Orlando Pace+ (24),22,2000,STL
,Patrick Peterson (21),22,2011,ARI
,Darrelle Revis+ (24),22,2009,NYJ
,Aaron Rodgers (30),22,2014,GNB
,Samari Rolle (24),22,2000,TEN
,Steve Young+ (30),22,1992,SFO
,Steve Young+ (31),22,1993,SFO
,Steve Young+ (32),22,1994,SFO
40,Otis Armstrong (23),21,1974,DEN
,Tiki Barber (30),21,2005,NYG
,George Blanda+ (33),21,1961,HOU
,Bobby Boyd (30),21,1968,BAL
,Tom Brady (34),21,2011,NWE
,Jim Brown+ (24),21,1960,CLE
,Jim Brown+ (29),21,1965,CLE
,Rob Burnett (33),21,2000,BAL
,Dan Fouts+ (31),21,1982,SDG
,Ted Hendricks+ (23),21,1971,BAL
,Charley Hennigan (26),21,1961,HOU
Rank,Player,AV,Year,Tm
,Lamar Jackson (27),21,2024,BAL
,Edgerrin James+ (21),21,1999,IND
,Edgerrin James+ (26),21,2004,IND
,Bert Jones (25),21,1976,BAL
,Carl Lee (27),21,1988,MIN
,Peyton Manning+ (28),21,2004,IND
,Dan Marino+ (22),21,1984,MIA
,Cam Newton (26),21,2015,CAR
,Alan Page+ (26),21,1971,MIN
,Jerry Rice+ (31),21,1994,SFO
,Simeon Rice (28),21,2002,TAM
,Matt Ryan (31),21,2016,ATL
,Warren Sapp+ (29),21,2002,TAM
,Richard Sherman (25),21,2013,SEA
,Bruce Smith+ (33),21,1996,BUF
,Emmitt Smith+ (23),21,1992,DAL
,Brian Urlacher+ (23),21,2001,CHI
,J.J. Watt (26),21,2015,HOU
69,Josh Allen (26),20,2022,BUF
,Josh Allen (28),20,2024,BUF
,Dick Anderson (27),20,1973,MIA
,Doug Atkins+ (33),20,1963,CHI
,Doug Betters (27),20,1983,MIA
,Tom Brady (40),20,2017,NWE
,Drew Brees (32),20,2011,NOR
Rank,Player,AV,Year,Tm
,Derrick Brooks+ (26),20,1999,TAM
,Larry Brown (22),20,1970,WAS
,Larry Brown (24),20,1972,WAS
,Willie Brown+ (32),20,1973,OAK
,Daunte Culpepper (23),20,2000,MIN
,Daunte Culpepper (27),20,2004,MIN
,Randall Cunningham (27),20,1990,PHI
,Jayden Daniels (23),20,2024,WAS
,Willie Davis+ (28),20,1962,GNB
,Richard Dent+ (24),20,1985,CHI
,Carl Eller+ (28),20,1970,MIN
,Jahri Evans (28),20,2011,NOR
,Cortland Finnegan (24),20,2008,TEN
,Joe Fortunato (33),20,1963,CHI
,Arian Foster (24),20,2010,HOU
,Rich Gannon (34),20,2000,OAK
,Jeff Garcia (30),20,2000,SFO
,Myles Garrett (27),20,2023,CLE
,Mark Gastineau (25),20,1982,NYJ
,Randall Godfrey (27),20,2000,TEN
,Ahman Green (26),20,2003,GNB
,Marvin Harrison+ (27),20,1999,IND
,Abner Haynes (24),20,1962,DTX
,Priest Holmes (29),20,2003,KAN
,Jalen Hurts (24),20,2022,PHI
Rank,Player,AV,Year,Tm
,LeRoy Irvin (28),20,1986,RAM
,Steven Jackson (23),20,2006,STL
,Edgerrin James+ (22),20,2000,IND
,Pepper Johnson (26),20,1990,NYG
,Ron Johnson (24),20,1972,NYG
,Joe Klecko+ (31),20,1985,NYJ
,CeeDee Lamb (24),20,2023,DAL
,Jack Lambert+ (24),20,1976,PIT
,Yale Lary+ (31),20,1962,DET
,Ray Lewis+ (24),20,1999,BAL
,Ray Lewis+ (33),20,2008,BAL
,Matt Light (29),20,2007,NWE
,Peyton Manning+ (30),20,2006,IND
,Karl Mecklenburg (29),20,1989,DEN
,Lydell Mitchell (28),20,1977,BAL
,Anthony Munoz+ (27),20,1985,CIN
,Ed Newman (33),20,1984,MIA
,Carl Nicks (26),20,2011,NOR
,Walter Payton+ (24),20,1977,CHI
,Jerry Rice+ (30),20,1993,SFO
,Barry Sanders+ (26),20,1994,DET
,Jeff Saturday (30),20,2005,IND
