Year,Player,AV,Tm
2024,Lamar Jackson (27),21,BAL
2023,CeeDee Lamb (24),20,DAL
2023,Myles Garrett (27),20,CLE
2022,Josh Allen (26),20,BUF
2022,Jalen Hurts (24),20,PHI
2021,Josh Allen (25),19,BUF
2020,Aaron Donald (29),23,LAR
2019,Lamar Jackson (22),25,BAL
2018,Patrick Mahomes (22),22,KAN
2017,Tom Brady (40),20,NWE
2016,Matt Ryan (31),21,ATL
2015,Cam Newton (26),21,CAR
2015,J.J. Watt (26),21,HOU
2014,J.J. Watt (25),23,HOU
2013,Richard Sherman (25),21,SEA
2012,Richard Sherman (24),20,SEA
2011,Aaron Rodgers (27),23,GNB
2010,Arian Foster (24),20,HOU
2009,Darrelle Revis+ (24),22,NYJ
2008,Ray Lewis+ (33),20,BAL
2008,Cortland Finnegan (24),20,TEN
2007,Tom Brady (30),23,NWE
2006,LaDainian Tomlinson+ (27),26,SDG
2005,Tiki Barber (30),21,NYG
2004,Peyton Manning+ (28),21,IND
Year,Player,AV,Tm
2004,Edgerrin James+ (26),21,IND
2003,Priest Holmes (29),20,KAN
2003,Ahman Green (26),20,GNB
2002,Priest Holmes (28),23,KAN
2002,Derrick Brooks+ (29),23,TAM
2001,Marshall Faulk+ (28),22,STL
2000,Ray Lewis+ (25),23,BAL
1999,Marshall Faulk+ (26),25,STL
1998,Terrell Davis+ (25),22,DEN
1997,Michael Strahan+ (25),19,NYG
1997,Terrell Davis+ (24),19,DEN
1997,Barry Sanders+ (29),19,DET
1996,Deion Sanders+ (29),23,DAL
1995,Randall McDaniel+ (30),23,MIN
1994,Steve Young+ (32),22,SFO
1993,Steve Young+ (31),22,SFO
1992,Steve Young+ (30),22,SFO
1991,Pat Swilling (26),23,NOR
1990,Rod Woodson+ (25),20,PIT
1990,Randall Cunningham (27),20,PHI
1990,Pepper Johnson (26),20,NYG
1989,Karl Mecklenburg (29),20,DEN
1988,Carl Lee (27),21,MIN
1987,Andre Tippett+ (27),18,NWE
1986,Wilber Marshall (24),23,CHI
Year,Player,AV,Tm
1985,Lawrence Taylor+ (26),23,NYG
1984,Dan Marino+ (22),21,MIA
1983,Doug Betters (27),20,MIA
1982,Wes Chandler (26),22,SDG
1981,Dan Fouts+ (30),19,SDG
1980,Lester Hayes (25),18,OAK
1980,Herbert Scott (27),18,DAL
1979,Wilbert Montgomery (24),18,PHI
1978,Jim Zorn (25),17,SEA
1978,Roger Staubach+ (36),17,DAL
1978,Tony Dorsett+ (24),17,DAL
1977,Rolland Lawrence (26),24,ATL
1976,Lydell Mitchell (27),23,BAL
1975,O.J. Simpson+ (28),25,BUF
1974,Otis Armstrong (23),21,DEN
1973,Willie Brown+ (32),20,OAK
1973,Dick Anderson (27),20,MIA
1972,Ron Johnson (24),20,NYG
1972,Larry Brown (24),20,WAS
1971,Ted Hendricks+ (23),21,BAL
1971,Alan Page+ (26),21,MIN
1970,Alan Page+ (25),24,MIN
1969,Alan Page+ (24),23,MIN
1969,Lem Barney+ (23),23,DET
1969,Carl Eller+ (27),23,MIN
Year,Player,AV,Tm
1969,Bobby Bell+ (29),17,KAN
1968,Bobby Boyd (30),21,BAL
1968,Don Maynard+ (33),17,NYJ
1967,Fran Tarkenton+ (27),19,NYG
1967,Johnny Unitas+ (34),19,BAL
1967,Miller Farr (24),16,HOU
1967,Mike Garrett (23),16,KAN
1967,Joe Namath+ (24),16,NYJ
1967,Don Maynard+ (32),16,NYJ
1966,Otis Taylor (24),20,KAN
1966,Leroy Kelly+ (24),18,CLE
1965,Jim Brown+ (29),21,CLE
1965,Dave Grayson (26),18,OAK
1964,Jim Brown+ (28),23,CLE
1964,Tom Sestak (28),17,BUF
1963,Jim Brown+ (27),22,CLE
1963,Clem Daniels (26),16,OAK
1963,Lance Alworth+ (23),16,SDG
1962,Herb Adderley+ (23),22,GNB
1962,Abner Haynes (24),20,DTX
1961,George Blanda+ (33),21,HOU
1961,Charley Hennigan (26),21,HOU
1961,Jim Brown+ (25),19,CLE
1960,Jim Brown+ (24),21,CLE
1960,Mark Johnston (22),18,HOU
