Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14
,,,Playoffs,,,,,,,,,,
Rk,Coach,Tm,Vote Pts,1st Place,Share,G,W,L,T,G plyf,W plyf,L plyf,Playoff Result
1,Kevin O'Connell,Minnesota Vikings,361.0,25,72.2%,17,14,3,0,1,0,1,Lost WC
2,Dan Campbell,Detroit Lions,283.0,19,56.6%,17,15,2,0,1,0,1,Lost Div
3,Andy Reid,Kansas City Chiefs,119.0,4,23.8%,17,15,2,0,3,2,1,Lost SB
4,Dan Quinn,Washington Commanders,85.0,1,17%,17,12,5,0,3,2,1,Lost Conf
5,Sean Payton,Denver Broncos,71.0,1,14.2%,17,10,7,0,1,0,1,Lost WC
6,Jim Harbaugh,Los Angeles Chargers,59.0,0,11.8%,17,11,6,0,1,0,1,Lost WC
7,Sean McDermott,Buffalo Bills,32.0,0,6.4%,17,13,4,0,3,2,1,Lost Conf
8,Mike Tomlin,Pittsburgh Steelers,16.0,0,3.2%,17,10,7,0,1,0,1,Lost WC
9,Sean McVay,Los Angeles Rams,9.0,0,1.8%,17,10,7,0,2,1,1,Lost Div
10,Matt LaFleur,Green Bay Packers,7.0,0,1.4%,17,11,6,0,1,0,1,Lost WC
11,Todd Bowles,Tampa Bay Buccaneers,3.0,0,0.6%,17,10,7,0,1,0,1,Lost WC
12,Nick Sirianni,Philadelphia Eagles,3.0,0,0.6%,17,14,3,0,4,4,0,Won SB
13,John Harbaugh,Baltimore Ravens,2.0,0,0.4%,17,12,5,0,2,1,1,Lost Div
