Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15
,Games,Tackles,,Def Interceptions,,,,,,,,,,
Rk,Pos,Player,Tm,Vote Pts,1st Place,Share,G,GS,Solo,Ast,Sk,Int,Yds,TD
1,CB,Patrick Surtain II,Denver Broncos,330.0,26,66%,16,16,34,11,0.0,4,132,1
2,DE,Trey Hendrickson,Cincinnati Bengals,205.0,11,41%,17,17,33,13,17.5,0,0,0
3,DE,Myles Garrett,Cleveland Browns,162.0,5,32.4%,17,17,40,7,14.0,0,0,0
4,LB,T.J. Watt,Pittsburgh Steelers,114.0,3,22.8%,17,17,40,21,11.5,0,0,0
5,LB,Zack Baun,Philadelphia Eagles,63.0,2,12.6%,16,16,93,58,3.5,1,0,0
6,S,Kerby Joseph,Detroit Lions,60.0,1,12%,17,17,58,25,0.0,9,99,1
7,OLB,Andrew Van Ginkel,Minnesota Vikings,21.0,1,4.2%,17,17,50,29,11.5,2,73,2
8,S,Xavier McKinney,Green Bay Packers,17.0,0,3.4%,17,17,60,28,1.0,8,128,0
9,OLB,Nik Bonitto,Denver Broncos,16.0,0,3.2%,17,15,33,15,13.5,1,71,1
10,S,Kyle Hamilton,Baltimore Ravens,16.0,0,3.2%,17,17,77,30,2.0,1,0,0
11,OLB,Jonathan Greenard,Minnesota Vikings,10.0,1,2%,17,17,41,18,12.0,0,0,0
12,DT,Jalen Carter,Philadelphia Eagles,7.0,0,1.4%,16,15,25,17,4.5,0,0,0
13,DT,Cameron Heyward,Pittsburgh Steelers,6.0,0,1.2%,17,17,35,36,8.0,0,0,0
14,DE,Leonard Williams,Seattle Seahawks,4.0,0,0.8%,16,16,37,27,11.0,1,92,1
15,DE,Will Anderson,Houston Texans,3.0,0,0.6%,14,14,27,10,11.0,0,0,0
16,DE,Zach Allen,Denver Broncos,3.0,0,0.6%,16,16,32,29,8.5,0,0,0
17,DT,Chris Jones,Kansas City Chiefs,2.0,0,0.4%,15,15,19,18,5.0,0,0,0
18,LB,Micah Parsons,Dallas Cowboys,2.0,0,0.4%,13,13,30,13,12.0,0,0,0
19,CB,Derek Stingley Jr.,Houston Texans,2.0,0,0.4%,17,17,37,17,0.0,5,48,0
20,LB,Zaire Franklin,Indianapolis Colts,2.0,0,0.4%,17,17,93,80,3.5,2,4,0
21,MLB,Bobby Wagner,Washington Commanders,2.0,0,0.4%,17,17,75,57,2.0,0,0,0
22,CB,Trent McDuffie,Kansas City Chiefs,1.0,0,0.2%,16,16,45,14,0.5,2,0,0
23,DE,Danielle Hunter,Houston Texans,1.0,0,0.2%,17,17,31,15,12.0,0,0,0
24,CB,Christian Benford,Buffalo Bills,1.0,0,0.2%,15,15,50,14,1.0,2,30,0
