Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15
,Games,Tackles,,Def Interceptions,,,,,,,,,,
Rk,Pos,Player,Tm,Vote Pts,1st Place,Share,G,GS,Solo,Ast,Sk,Int,Yds,TD
1,OLB,Jared Verse,Los Angeles Rams,427.0,37,85.4%,17,16,36,30,4.5,0,0,0
2,CB,Quinyon Mitchell,Philadelphia Eagles,239.0,9,47.8%,16,16,37,9,0.0,0,0,0
3,DE,Braden Fiske,Los Angeles Rams,96.0,1,19.2%,17,8,20,24,8.5,0,0,0
4,DB,Cooper DeJean,Philadelphia Eagles,91.0,0,18.2%,16,9,38,13,0.5,0,0,0
5,LB,Chop Robinson,Miami Dolphins,75.0,0,15%,17,1,16,10,6.0,0,0,0
6,LB,Edgerrin Cooper,Green Bay Packers,30.0,0,6%,14,4,57,30,3.5,1,22,0
7,CB,Tarheeb Still,Los Angeles Chargers,27.0,1,5.4%,14,12,45,17,0.5,4,85,1
8,S,Calen Bullock,Houston Texans,17.0,1,3.4%,17,13,37,17,0.0,5,96,0
9,CB,Mike Sainristil,Washington Commanders,14.0,1,2.8%,17,16,62,31,0.0,2,38,0
10,CB,Kamari Lassiter,Houston Texans,13.0,0,2.6%,14,14,42,16,0.0,3,9,0
11,CB,Nate Wiggins,Baltimore Ravens,7.0,0,1.4%,15,6,25,8,0.0,1,26,1
12,DE,Laiatu Latu,Indianapolis Colts,5.0,0,1%,17,1,16,16,4.0,0,0,0
13,NT,T'Vondre Sweat,Tennessee Titans,5.0,0,1%,17,16,22,29,1.0,0,0,0
14,S,Malik Mustapha,San Francisco 49ers,2.0,0,0.4%,16,12,32,40,0.0,1,1,0
15,CB,Terrion Arnold,Detroit Lions,1.0,0,0.2%,16,15,47,13,0.0,0,0,0
16,S,Tykee Smith,Tampa Bay Buccaneers,1.0,0,0.2%,13,6,38,16,0.0,2,0,0
