Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
,Games,Passing,Rushing,Receiving,,,,,,,,,,,,,,,
Rk,Pos,Player,Tm,Vote Pts,1st Place,Share,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD
1,QB,Jayden Daniels,Washington Commanders,495.0,49,99%,17,17,331,480,3568,25,9,148,891,6,0,0,0
2,TE,Brock Bowers,Las Vegas Raiders,214.0,1,42.8%,17,16,0,0,0,0,0,5,13,0,112,1194,5
3,QB,Bo Nix,Denver Broncos,153.0,0,30.6%,17,17,376,567,3775,29,12,92,430,4,1,2,1
4,WR,Brian Thomas,Jacksonville Jaguars,82.0,0,16.4%,17,16,0,0,0,0,0,6,48,0,87,1282,10
5,WR,Malik Nabers,New York Giants,51.0,0,10.2%,15,13,0,1,0,0,0,5,2,0,109,1204,7
6,RB,Bucky Irving,Tampa Bay Buccaneers,31.0,0,6.2%,17,3,0,0,0,0,0,207,1122,8,47,392,0
7,QB,Drake Maye,New England Patriots,9.0,0,1.8%,13,12,225,338,2276,15,10,54,421,2,0,0,0
8,OT,Joe Alt,Los Angeles Chargers,8.0,0,1.6%,16,16,0,0,0,0,0,0,0,0,0,0,0
9,WR,Ladd McConkey,Los Angeles Chargers,5.0,0,1%,16,14,0,0,0,0,0,0,0,0,82,1149,7
10,QB,Caleb Williams,Chicago Bears,2.0,0,0.4%,17,17,351,562,3541,20,6,81,489,0,0,0,0
