Year,Lg,Pos,Player,Tm
2024,NFL,RB,Saquon Barkley,Philadelphia Eagles
2023,NFL,QB,Lamar Jackson,Baltimore Ravens
2022,NFL,QB,Jalen Hurts,Philadelphia Eagles
2021,NFL,RB,Jonathan Taylor,Indianapolis Colts
2019,NFL,QB,Lamar Jackson,Baltimore Ravens
2018,NFL,QB,Patrick Mahomes,Kansas City Chiefs
2017,NFL,QB,Carson Wentz,Philadelphia Eagles
2016,NFL,QB,Matt Ryan,Atlanta Falcons
2015,NFL,QB,Cam Newton,Carolina Panthers
2014,NFL,DE,J.J. Watt,Houston Texans
2013,NFL,QB,Peyton Manning,Denver Broncos
2012,NFL,RB,Adrian Peterson,Minnesota Vikings
2011,NFL,QB,Aaron Rodgers,Green Bay Packers
2010,NFL,QB,Michael Vick,Philadelphia Eagles
2009,NFL,QB,Drew Brees,New Orleans Saints
2008,NFL,RB,Adrian Peterson,Minnesota Vikings
2007,NFL,QB,Tom Brady,New England Patriots
2006,NFL,RB,LaDainian Tomlinson,San Diego Chargers
2005,NFL,RB,Shaun Alexander,Seattle Seahawks
2004,NFL,QB,Peyton Manning,Indianapolis Colts
2003,NFL,QB,Peyton Manning,Indianapolis Colts
2002,NFL,QB,Rich Gannon,Oakland Raiders
2001,NFL,RB,Marshall Faulk,St. Louis Rams
2000,NFL,QB,Rich Gannon,Oakland Raiders
1999,NFL,QB,Kurt Warner,St. Louis Rams
Year,Lg,Pos,Player,Tm
1998,NFL,QB,Randall Cunningham,Minnesota Vikings
1997,NFL,RB,Barry Sanders,Detroit Lions
1996,NFL,QB,Brett Favre,Green Bay Packers
1995,NFL,QB,Brett Favre,Green Bay Packers
1994,NFL,QB,Steve Young,San Francisco 49ers
1993,NFL,RB,Emmitt Smith,Dallas Cowboys
1992,NFL,QB,Steve Young,San Francisco 49ers
1991,NFL,RB,Barry Sanders,Detroit Lions
1990,NFL,QB,Randall Cunningham,Philadelphia Eagles
1989,NFL,QB,Joe Montana,San Francisco 49ers
1988,NFL,QB,Randall Cunningham,Philadelphia Eagles
1987,NFL,WR,Jerry Rice,San Francisco 49ers
1986,NFL,ROLB,Lawrence Taylor,New York Giants
1985,NFL,RB,Walter Payton,Chicago Bears
1984,NFL,QB,Dan Marino,Miami Dolphins
1983,NFL,FB,John Riggins,Washington Redskins
1982,NFL,QB,Joe Theismann,Washington Redskins
1981,NFL,QB,Ken Anderson,Cincinnati Bengals
1980,NFL,QB,Ron Jaworski,Philadelphia Eagles
1979,NFL,RB,Earl Campbell,Houston Oilers
1978,NFL,QB,Terry Bradshaw,Pittsburgh Steelers
1977,NFL,QB,Bob Griese,Miami Dolphins
1976,NFL,QB,Ken Stabler,Oakland Raiders
1975,NFL,QB,Fran Tarkenton,Minnesota Vikings
1974,NFL,LDT,Merlin Olsen,Los Angeles Rams
Year,Lg,Pos,Player,Tm
1973,NFL,RB,O.J. Simpson,Buffalo Bills
1972,NFL,RB,Larry Brown,Washington Redskins
1971,NFL,QB,Roger Staubach,Dallas Cowboys
1970,NFL,QB,George Blanda,Oakland Raiders
1969,NFL,QB,Roman Gabriel,Los Angeles Rams
1968,NFL,RB,Leroy Kelly,Cleveland Browns
1967,NFL,QB,Johnny Unitas,Baltimore Colts
1966,NFL,QB,Don Meredith,Dallas Cowboys
1965,NFL,TE,Pete Retzlaff,Philadelphia Eagles
1964,NFL,QB,Johnny Unitas,Baltimore Colts
1963,NFL,FB,Jim Brown,Cleveland Browns
1962,NFL,RDE,Andy Robustelli,New York Giants
1961,NFL,HB,Paul Hornung,Green Bay Packers
1960,NFL,QB,Norm Van Brocklin,Philadelphia Eagles
1959,NFL,QB,Johnny Unitas,Baltimore Colts
