Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,2024 Season,w/ Team,Career,Playoffs,w/ Team,Career,,,,,,,,,,,,,,,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Jonathan Gannon,ARI,17,8,9,0,34,12,22,0,34,12,22,0,,,,,,,,,,
Raheem Morris,ATL,17,8,9,0,28,12,16,0,76,29,47,0,,,,,,,0,0,0,
John Harbaugh,BAL,17,12,5,0,276,172,104,0,276,172,104,0,2,1,1,24,13,11,24,13,11,
Sean McDermott,BUF,17,13,4,0,131,86,45,0,131,86,45,0,3,2,1,14,7,7,14,7,7,
Dave Canales,CAR,17,5,12,0,17,5,12,0,17,5,12,0,,,,,,,,,,
Thomas Brown,CHI,5,1,4,0,5,1,4,0,5,1,4,0,,,,,,,,,,interim HC after week 13
Matt Eberflus,CHI,12,4,8,0,46,14,32,0,46,14,32,0,,,,,,,,,,fired after week 13
Zac Taylor,CIN,17,9,8,0,99,46,52,1,99,46,52,1,,,,7,5,2,7,5,2,
Kevin Stefanski,CLE,17,3,14,0,84,40,44,0,84,40,44,0,,,,3,1,2,3,1,2,
Mike McCarthy,DAL,17,7,10,0,84,49,35,0,288,174,112,2,,,,4,1,3,22,11,11,
Sean Payton,DEN,17,10,7,0,34,18,16,0,275,170,105,0,1,0,1,1,0,1,18,9,9,
Dan Campbell,DET,17,15,2,0,68,39,28,1,80,44,35,1,1,0,1,4,2,2,4,2,2,
Matt LaFleur,GNB,17,11,6,0,100,67,33,0,100,67,33,0,1,0,1,8,3,5,8,3,5,
DeMeco Ryans,HOU,17,10,7,0,34,20,14,0,34,20,14,0,2,1,1,4,2,2,4,2,2,
Shane Steichen,IND,17,8,9,0,34,17,17,0,34,17,17,0,,,,,,,,,,
Doug Pederson,JAX,17,4,13,0,51,22,29,0,131,64,66,1,,,,2,1,1,8,5,3,
Andy Reid,KAN,17,15,2,0,196,143,53,0,420,273,146,1,3,2,1,26,18,8,45,28,17,AFC Champions
Jim Harbaugh,LAC,17,11,6,0,17,11,6,0,81,55,25,1,1,0,1,1,0,1,9,5,4,
Sean McVay,LAR,17,10,7,0,132,80,52,0,132,80,52,0,2,1,1,13,8,5,13,8,5,
Antonio Pierce,LVR,17,4,13,0,26,9,17,0,26,9,17,0,,,,,,,,,,
Mike McDaniel,MIA,17,8,9,0,51,28,23,0,51,28,23,0,,,,2,0,2,2,0,2,
Kevin O'Connell,MIN,17,14,3,0,51,34,17,0,51,34,17,0,1,0,1,2,0,2,2,0,2,
Darren Rizzi,NOR,8,3,5,0,8,3,5,0,8,3,5,0,,,,,,,,,,interim after week 9
Dennis Allen,NOR,9,2,7,0,43,18,25,0,79,26,53,0,,,,,,,0,0,0,fired after week 9
Jerod Mayo,NWE,17,4,13,0,17,4,13,0,17,4,13,0,,,,,,,,,,
,2024 Season,w/ Team,Career,Playoffs,w/ Team,Career,,,,,,,,,,,,,,,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Brian Daboll,NYG,17,3,14,0,51,18,32,1,51,18,32,1,,,,2,1,1,2,1,1,
Robert Saleh,NYJ,5,2,3,0,56,20,36,0,56,20,36,0,,,,,,,,,,fired after week 5
Jeff Ulbrich,NYJ,12,3,9,0,12,3,9,0,12,3,9,0,,,,,,,,,,interim as of week 5
Nick Sirianni,PHI,17,14,3,0,68,48,20,0,68,48,20,0,4,4,0,9,6,3,9,6,3,Super Bowl Champions
Mike Tomlin,PIT,17,10,7,0,292,183,107,2,292,183,107,2,1,0,1,19,8,11,19,8,11,
Mike Macdonald,SEA,17,10,7,0,17,10,7,0,17,10,7,0,,,,,,,,,,
Kyle Shanahan,SFO,17,6,11,0,132,70,62,0,132,70,62,0,,,,12,8,4,12,8,4,
Todd Bowles,TAM,17,10,7,0,51,27,24,0,118,53,65,0,1,0,1,4,1,3,4,1,3,
Brian Callahan,TEN,17,3,14,0,17,3,14,0,17,3,14,0,,,,,,,,,,
Dan Quinn,WAS,17,12,5,0,17,12,5,0,102,55,47,0,3,2,1,3,2,1,8,5,3,
