Tm,,Opp,,PF,PA,Deficit,
Atlanta Falcons,@,New York Jets,"Oct 23, 1983",27,21,21,All Falcons comebacks»
Buffalo Bills,,Houston Oilers,"Jan 3, 1993*",41,38,32,All Bills comebacks»
Carolina Panthers,,Jacksonville Jaguars,"Sep 7, 2003",24,23,17,All Panthers comebacks»
Chicago Bears,@,Tampa Bay Buccaneers,"Oct 25, 1987",27,26,20,All Bears comebacks»
Cincinnati Bengals,,Seattle Seahawks,"Sep 6, 1981",27,21,21,All Bengals comebacks»
Cleveland Browns,@,Tennessee Titans,"Oct 5, 2014",29,28,25,All Browns comebacks»
Indianapolis Colts,,Kansas City Chiefs,"Jan 4, 2014*",45,44,28,All Colts comebacks»
St. Louis Cardinals,,Tampa Bay Buccaneers,"Nov 8, 1987",31,28,25,All Cardinals comebacks»
Dallas Cowboys,,New Orleans Saints,"Oct 21, 1984",30,27,21,All Cowboys comebacks»
Denver Broncos,,Boston Patriots,"Oct 23, 1960",31,24,24,All Broncos comebacks»
Detroit Lions,,Baltimore Colts,"Oct 20, 1957",31,27,24,All Lions comebacks»
Green Bay Packers,,Los Angeles Rams,"Sep 12, 1982",35,23,23,All Packers comebacks»
Houston Texans,@,San Diego Chargers,"Sep 9, 2013",31,28,21,All Texans comebacks»
Jacksonville Jaguars,,Los Angeles Chargers,"Jan 14, 2023*",31,30,27,All Jaguars comebacks»
Kansas City Chiefs,,Houston Texans,"Jan 12, 2020*",51,31,24,All Chiefs comebacks»
Miami Dolphins,,New England Patriots,"Dec 15, 1974",34,27,24,All Dolphins comebacks»
Minnesota Vikings,,Indianapolis Colts,"Dec 17, 2022",39,36,33,All Vikings comebacks»
New Orleans Saints,,San Francisco 49ers,"Nov 23, 1969",43,38,21,All Saints comebacks»
New England Patriots,N,Atlanta Falcons,"Feb 5, 2017*",34,28,25,All Patriots comebacks»
New York Giants,,Philadelphia Eagles,"Dec 2, 1945",28,21,21,All Giants comebacks»
New York Jets,,Miami Dolphins,"Oct 23, 2000",40,37,23,All Jets comebacks»
Houston Oilers,@,Cincinnati Bengals,"Sep 23, 1979",30,27,24,All Titans comebacks»
Philadelphia Eagles,@,Washington Redskins,"Oct 27, 1946",28,24,24,All Eagles comebacks»
Pittsburgh Steelers,,Chicago Cardinals,"Oct 11, 1953",31,28,21,All Steelers comebacks»
Los Angeles Raiders,,San Diego Chargers,"Nov 22, 1982",28,24,24,All Raiders comebacks»
Tm,,Opp,,PF,PA,Deficit,
Los Angeles Rams,@,Tampa Bay Buccaneers,"Dec 6, 1992",31,27,24,All Rams comebacks»
Baltimore Ravens,,Arizona Cardinals,"Oct 30, 2011",30,27,21,All Ravens comebacks»
San Diego Chargers,,Seattle Seahawks,"Oct 9, 1983",28,21,21,All Chargers comebacks»
Seattle Seahawks,,Tampa Bay Buccaneers,"Nov 3, 2013",27,24,21,All Seahawks comebacks»
San Francisco 49ers,,New Orleans Saints,"Dec 7, 1980",38,35,28,All 49ers comebacks»
Tampa Bay Buccaneers,@,Kansas City Chiefs,"Nov 2, 2008",30,27,21,All Buccaneers comebacks»
Washington Redskins,,Tampa Bay Buccaneers,"Oct 25, 2015",31,30,24,All Washington comebacks»
