Player,Pos,Age,Date of Death,BirthDate,Yrs,From,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,Solo,Int,Sk
Larry Allen,G-T,52,6/2/2024,11/27/1971,14,1994,2007,6,11,13,101,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Marty Amsler,DE,81,1/4/2024,10/26/1942,3,1967,1970,0,0,2,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,3.0
Herbie Anderson,DB,55,3/10/2024,11/19/1968,1,1991,1991,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Bob Avellini,QB,70,5/4/2024,8/28/1953,9,1975,1984,0,0,3,28,73,560,1110,7111,33,75,69,110,961,104,225,5,21,0,0,0,0,,,
Norm Bass,DB,85,6/15/2024,1/21/1939,1,1964,1964,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,
Terry Beasley,WR,73,1/31/2024,2/5/1950,3,1972,1975,0,0,1,6,29,0,0,0,0,0,0,0,0,2,2,0,5,38,570,3,68,,,
Larry Beightol,Coach,81,4/4/2024,11/21/1942,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Bill Bergey,LB,79,12/25/2024,2/9/1945,12,1969,1980,2,5,11,87,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,18.5
Don Bosseler,FB,88,11/6/2024,1/24/1936,8,1957,1964,0,1,6,17,96,0,1,0,0,0,0,0,12,775,3112,22,41,136,1083,1,61,,,
Lee Bouggess,RB,76,7/4/2024,1/18/1948,3,1970,1973,0,0,2,12,32,0,1,0,0,0,0,0,0,271,697,5,26,78,589,3,34,,,
Jim Browner,DB,68,3/6/2024,12/4/1955,2,1979,1980,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
Bob Bruggers,OLB,80,5/10/2024,4/20/1944,6,1966,1971,0,0,0,14,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1.0
John Campbell,LLB,86,10/21/2024,10/7/1938,7,1963,1969,0,0,4,29,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,10.0
Rich Caster,TE-WR,75,2/2/2024,10/16/1948,13,1970,1982,0,3,8,55,161,0,0,0,0,0,0,0,0,23,119,0,60,322,5515,45,91,,,
Carmen Cavalli,DE,86,3/20/2024,6/11/1937,1,1960,1960,0,0,1,7,14,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,
Neil Clabo,P,71,7/10/2024,11/18/1952,3,1975,1977,0,0,0,7,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Ernie Clark,LB,86,3/10/2024,8/11/1937,6,1963,1968,0,0,4,29,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,11.5
Joe Collier,Coach,91,5/6/2024,6/7/1932,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Gene Cronin,DE-LB-G,90,9/17/2024,11/20/1933,7,1956,1962,0,0,3,9,87,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1,2.0
