Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
Kris Abrams-Draine,DB,2024,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,5,1,
Isaiah Adams,OL,2024,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,,,
Mitchell Agude,DL,2024,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,,
Rasheen Ali,RB,2024,0,0,0,0,6,0,0,0,0,0,10,31,0,0,0,0,,,
Erick All,TE,2024,0,0,1,1,9,0,0,0,0,0,0,0,0,20,158,0,,,
Braelon Allen,RB,2024,0,0,0,3,17,0,0,0,0,0,92,334,2,19,148,1,1,,
Joe Alt,OL,2024,0,0,1,8,16,0,0,0,0,0,0,0,0,0,0,0,,,
Kiran Amegadjie,OL,2024,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,,,
Alec Anderson,OL,2024,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,,,
Evan Anderson,DL,2024,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,13,,1.0
Joe Andreessen,LB,2024,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,12,,
Daijahn Anthony,S,2024,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,2,,
Chigozie Anusiem,CB,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Matt Araiza,P,2024,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,2,,
Terrion Arnold,DB,2024,0,0,1,5,16,0,0,0,0,0,0,0,0,0,0,0,47,,
Malaesala Aumavae-Laulu,OL,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
Kevin Austin,WR,2024,0,0,0,1,8,0,0,0,0,0,1,9,0,11,151,0,,,
Levelle Bailey,LB,2024,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,,
Javon Baker,WR,2024,0,0,0,0,11,0,0,0,0,0,0,0,0,1,12,0,,,
AJ Barner,TE,2024,0,0,0,2,17,0,0,0,0,0,0,0,0,30,245,4,2,,
Shemar Bartholomew,CB,2024,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,,
Graham Barton,OL,2024,0,0,1,8,16,0,0,0,0,0,0,0,0,0,0,0,,,
Brenden Bates,TE,2024,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,
Jake Bates,K,2024,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,2,,
Miles Battle,CB,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
Abraham Beauplan,LB,2024,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,
Cooper Beebe,OL,2024,0,0,1,5,16,0,0,0,0,0,0,0,0,0,0,0,,,
Jaheim Bell,TE,2024,0,0,0,0,15,0,0,0,0,0,0,0,0,2,20,0,1,,
Trey Benson,RB,2024,0,0,0,2,13,0,0,0,0,0,63,291,1,6,59,0,,,
