Rank,Player,Int,Years,Tm
1,Paul Krause+,81,1964-1979,2TM
2,Emlen Tunnell+,79,1948-1961,2TM
3,Rod Woodson+,71,1987-2003,4TM
4,Night Train Lane+,68,1952-1965,3TM
5,Ken Riley+,65,1969-1983,cin
,Charles Woodson+,65,1998-2015,2TM
7,Ed Reed+,64,2002-2013,3TM
8,Ronnie Lott+,63,1981-1994,3TM
,Darren Sharper,63,1997-2010,3TM
10,Dave Brown,62,1975-1989,3TM
,Dick LeBeau+,62,1959-1972,det
12,Emmitt Thomas+,58,1966-1978,kan
13,Mel Blount+,57,1970-1983,pit
,Bobby Boyd,57,1960-1968,clt
,Eugene Robinson,57,1985-2000,4TM
,Johnny Robinson+,57,1960-1971,kan
,Everson Walls,57,1981-1993,3TM
18,Lem Barney+,56,1967-1977,det
,Pat Fischer,56,1961-1977,2TM
20,Aeneas Williams+,55,1991-2004,2TM
21,Eric Allen+,54,1988-2001,3TM
,Willie Brown+,54,1963-1978,2TM
,Darrell Green+,54,1983-2002,was
24,Ty Law+,53,1995-2009,4TM
,Deion Sanders+,53,1989-2005,5TM
Rank,Player,Int,Years,Tm
26,Champ Bailey+,52,1999-2013,2TM
,Jack Butler+,52,1951-1959,pit
,Bobby Dillon+,52,1952-1959,gnb
,Jimmy Patton,52,1955-1966,nyg
,Mel Renfro+,52,1964-1977,dal
,Larry Wilson+,52,1960-1972,crd
32,Bobby Bryant,51,1968-1980,min
,Asante Samuel,51,2003-2013,3TM
,Donnie Shell+,51,1974-1987,pit
35,Terrell Buckley,50,1992-2005,6TM
,Don Burroughs,50,1955-1964,2TM
,Deron Cherry,50,1981-1991,kan
,John Harris,50,1978-1988,2TM
,Yale Lary+,50,1952-1964,det
40,Ken Houston+,49,1967-1980,2TM
,Jake Scott,49,1970-1978,2TM
42,Herb Adderley+,48,1961-1972,2TM
,Dave Grayson,48,1961-1970,2TM
,Richie Petitbon,48,1959-1972,3TM
,Dave Waymer,48,1980-1992,3TM
,Willie Wood+,48,1960-1971,gnb
47,Ronde Barber+,47,1997-2012,tam
,Ray Buchanan,47,1993-2004,3TM
,Jimmy Johnson+,47,1961-1976,sfo
,Lemar Parrish,47,1970-1982,3TM
Rank,Player,Int,Years,Tm
,Troy Vincent,47,1992-2006,4TM
52,Jack Christiansen+,46,1951-1958,det
,Goose Gonsoulin,46,1960-1967,2TM
,Mike Haynes+,46,1976-1989,2TM
,Eddie Meador,46,1959-1970,ram
,Dave Whitsell,46,1958-1969,3TM
57,Erich Barnes,45,1958-1971,3TM
,Thom Darden,45,1972-1981,cle
,James Hasty,45,1988-2001,3TM
,Jim Norton,45,1960-1968,oti
61,Steve Foley,44,1976-1986,den
,Warren Lahr,44,1949-1959,cle
63,Kermit Alexander,43,1963-1973,3TM
,Dre' Bly,43,1999-2009,4TM
,Cris Dishman,43,1988-2000,4TM
,DeAngelo Hall,43,2004-2017,3TM
67,Ashley Ambrose,42,1992-2004,4TM
,Gill Byrd,42,1983-1992,sdg
,Bobby Hunt,42,1962-1969,2TM
,Sammy Knight,42,1997-2008,5TM
,Albert Lewis,42,1983-1998,2TM
,Terence Newman,42,2003-2017,3TM
73,Don Doll,41,1949-1954,3TM
,Aaron Glenn,41,1994-2008,5TM
,Spider Lockhart,41,1965-1975,nyg
Rank,Player,Int,Years,Tm
,Johnny Sample,41,1958-1968,4TM
,Charlie Waters,41,1970-1981,dal
78,Butch Byrd,40,1964-1971,2TM
,W.K. Hicks,40,1964-1972,2TM
,Tom Keane,40,1948-1955,4TM
,Tim McDonald,40,1987-1999,2TM
,Ed Sharockman,40,1961-1972,min
,Bill Thompson,40,1969-1981,den
,Roger Wehrli+,40,1969-1982,crd
85,Gary Barbaro,39,1976-1982,kan
,Glen Edwards,39,1971-1981,2TM
,Lester Hayes,39,1977-1986,rai
,Tory James,39,1996-2006,3TM
,Rolland Lawrence,39,1973-1980,atl
,Clarence Scott,39,1971-1983,cle
91,Donnie Abraham,38,1996-2004,2TM
,Ray Brown,38,1971-1980,2TM
,LeRoy Butler+,38,1990-2001,gnb
,Lindon Crow,38,1955-1964,3TM
,Eugene Daniel,38,1984-1997,2TM
,Eric Davis,38,1990-2002,4TM
,Gary Fencik,38,1976-1987,chi
,Mike Harden,38,1980-1990,2TM
,Sam Madison,38,1997-2008,2TM
,Reggie Nelson,38,2007-2018,3TM
Rank,Player,Int,Years,Tm
,Kevin Ross,38,1984-1997,3TM
,Charles Tillman,38,2003-2015,2TM
,Rick Volk,38,1967-1978,3TM
104,Joey Browner,37,1983-1992,2TM
,Nolan Cromwell,37,1977-1987,ram
,Brian Dawkins+,37,1996-2011,2TM
,Tony Greene,37,1971-1979,buf
,Bob Howard,37,1967-1979,3TM
,Todd Lyght,37,1991-2002,2TM
,Dick Lynch,37,1958-1966,2TM
,Ken Reaves,37,1966-1977,3TM
,Richard Sherman,37,2011-2021,3TM
,Don Shinnick,37,1957-1969,clt
,Harrison Smith,37,2012-2024,min
,Patrick Surtain,37,1998-2008,2TM
,Jack Tatum,37,1971-1980,2TM
,Lionel Washington,37,1983-1997,3TM
,Dwayne Woodruff,37,1979-1990,pit
119,Tyrone Braxton,36,1987-1999,2TM
,Raymond Clayborn,36,1977-1991,2TM
,Nate Clements,36,2001-2012,3TM
,Ray Crockett,36,1989-2002,3TM
,Jim David,36,1952-1959,det
,Tyrann Mathieu,36,2013-2024,4TM
,Tom Myers,36,1972-1981,nor
Rank,Player,Int,Years,Tm
,Brig Owens,36,1966-1977,was
,Patrick Peterson,36,2011-2023,3TM
,Dennis Thurman,36,1978-1986,2TM
,Mike Wagner,36,1971-1980,pit
,Fred Williamson,36,1960-1967,3TM
,Donnell Woolford,36,1989-1997,2TM
132,Lyle Blackwood,35,1973-1986,4TM
,Ron Bolton,35,1972-1982,2TM
,Michael Downs,35,1981-1989,2TM
,Miller Farr,35,1965-1973,5TM
,Vencie Glenn,35,1986-1995,5TM
,Walt Harris,35,1996-2008,4TM
,LeRoy Irvin,35,1980-1990,2TM
,Devin McCourty,35,2010-2022,nwe
,Terry McDaniel,35,1988-1998,2TM
,Jerry Norton,35,1954-1964,4TM
,Darren Perry,35,1992-2000,2TM
,Mike Prior,35,1985-1998,3TM
,Ray Ramsey,35,1947-1953,3TM
,Frank Reagan,35,1941-1951,2TM
,Aqib Talib,35,2008-2019,4TM
,Willie Williams,35,1965-1973,2TM
148,Dick Anderson,34,1968-1977,mia
,Bill Baird,34,1963-1969,nyj
,Bill Bradley,34,1969-1977,2TM
Rank,Player,Int,Years,Tm
,Jim Cason,34,1948-1956,2TM
,Irv Comp,34,1943-1949,gnb
,Cornell Green,34,1962-1974,dal
,Rodney Harrison,34,1994-2008,2TM
,Tommy James,34,1947-1956,3TM
,Jerry Logan,34,1963-1972,clt
,Deltha O'Neal,34,2000-2008,3TM
,Don Paul,34,1950-1958,2TM
,Otto Schnellbacher,34,1948-1951,2TM
,Bill Simpson,34,1974-1982,2TM
,Stan White,34,1972-1982,2TM
,Tramon Williams,34,2007-2020,4TM
,Nate Wright,34,1969-1980,3TM
164,Louis Breeden,33,1978-1987,cin
,Herm Edwards,33,1977-1986,3TM
,Tashaun Gipson,33,2012-2024,5TM
,Gary Green,33,1977-1985,2TM
,Brent Grimes,33,2007-2018,3TM
,Merton Hanks,33,1991-1999,2TM
,Joe Lavender,33,1973-1982,2TM
,Tim McKyer,33,1986-1997,7TM
,Andy Nelson,33,1957-1964,2TM
,Marcus Peters,33,2015-2023,4TM
,Bob Smith,33,1948-1954,4TM
,Shawn Springs,33,1997-2009,3TM
Rank,Player,Int,Years,Tm
,Norm Thompson,33,1971-1979,2TM
177,Nick Buoniconti+,32,1962-1976,2TM
,Mark Carrier,32,1990-2000,3TM
,Kenny Easley+,32,1981-1987,sea
,Stephon Gilmore,32,2012-2024,6TM
,Jack Ham+,32,1971-1982,pit
,Dwight Hicks,32,1979-1986,2TM
,Greg Jackson,32,1989-2000,4TM
,Lee Roy Jordan,32,1963-1976,dal
,Johnathan Joseph,32,2006-2020,4TM
,Tom Landry+,32,1949-1955,2TM
,Mark Lee,32,1980-1991,3TM
,Darryll Lewis,32,1991-2000,2TM
,Rashean Mathis,32,2003-2015,2TM
,Troy Polamalu+,32,2003-2014,pit
,Justin Simmons,32,2016-2024,2TM
,Charlie Stukes,32,1967-1974,2TM
,Rosey Taylor,32,1961-1972,3TM
,Lowell Wagner,32,1946-1955,2TM
195,Jimmy Allen,31,1974-1981,2TM
,Sammy Baugh+,31,1937-1952,was
,Antonio Cromartie,31,2006-2016,4TM
,David Fulcher,31,1986-1993,2TM
,Anthony Henry,31,2001-2009,3TM
,Terry Kinard,31,1983-1990,2TM
Rank,Player,Int,Years,Tm
,Carl Lee,31,1983-1994,2TM
,Ray Lewis+,31,1996-2012,rav
,Keith Lyle,31,1994-2002,3TM
,Brock Marion,31,1993-2004,3TM
,Dexter McCleon,31,1997-2006,3TM
,Vann McElroy,31,1982-1990,2TM
,Ryan McNeil,31,1993-2003,6TM
,Bernie Parrish,31,1959-1966,2TM
,Bert Rechichar,31,1952-1961,4TM
,Samari Rolle,31,1998-2008,2TM
,Dewayne Washington,31,1994-2005,4TM
,Darryl Williams,31,1992-2001,2TM
213,Mike Adams,30,2004-2019,6TM
,Dick Alban,30,1952-1959,2TM
,George Atkinson,30,1968-1979,2TM
,Mike Bass,30,1967-1975,2TM
,Scott Case,30,1984-1995,2TM
,Fred Glick,30,1959-1966,2TM
,Deon Grant,30,2001-2011,4TM
,Ron Hall,30,1959-1967,2TM
,Wes Hopkins,30,1983-1993,phi
,Sam Huff+,30,1956-1969,2TM
,Don Hutson+,30,1935-1945,gnb
,Mark Kelso,30,1986-1993,buf
,Ken Konz,30,1953-1959,cle
Rank,Player,Int,Years,Tm
,Cliff Lewis,30,1946-1951,cle
,Burgess Owens,30,1973-1982,2TM
,Tony Parrish,30,1998-2006,3TM
,Rod Perry,30,1975-1984,2TM
,Dominique Rodgers-Cromartie,30,2008-2019,6TM
,Kurt Schulz,30,1992-2001,2TM
,Dennis Smith,30,1981-1994,den
,Earl Thomas,30,2010-2019,2TM
,Eric Turner,30,1991-1999,3TM
,Willie West,30,1960-1968,5TM
236,Glenn Blackwood,29,1979-1987,mia
,Cedric Brown,29,1976-1984,tam
,Kevin Byard,29,2016-2024,3TM
,Hank Gremminger,29,1956-1966,2TM
,Joe Haden,29,2010-2021,2TM
,Cliff Harris+,29,1970-1979,dal
,Dick Harris,29,1960-1965,sdg
,Xavien Howard,29,2016-2023,mia
,Roland James,29,1980-1990,nwe
,Howie Livingston,29,1944-1953,4TM
,Fred Marion,29,1982-1991,nwe
,Dainard Paulson,29,1961-1966,nyj
,Darrelle Revis+,29,2007-2017,4TM
,Herb Rich,29,1950-1956,3TM
,Will Sherman,29,1952-1961,3TM
,Otis Smith,29,1991-2003,4TM
,Eric Weddle,29,2007-2021,3TM
,Greg Wesley,29,2000-2007,kan
,Felix Wright,29,1985-1993,3TM
