Rank,Player,Int,Tm,Boxscore
1,DeAngelo Hall,4,WAS,"Washington Redskins vs. Chicago Bears, October 24, 2010"
,Deltha O'Neal,4,DEN,"Denver Broncos vs. Kansas City Chiefs, October 7, 2001"
,Kwamie Lassiter,4,ARI,"Arizona Cardinals vs. San Diego Chargers, December 27, 1998"
,Deron Cherry,4,KAN,"Kansas City Chiefs vs. Seattle Seahawks, September 29, 1985"
,Willie Buchanon,4,GNB,"Green Bay Packers vs. San Diego Chargers, September 24, 1978"
,Dick Anderson,4,MIA,"Miami Dolphins vs. Pittsburgh Steelers, December 3, 1973"
,Willie Brown+,4,DEN,"Denver Broncos vs. New York Jets, November 15, 1964"
,Bobby Hunt,4,KAN,"Kansas City Chiefs vs. Houston Oilers, October 4, 1964"
,Bobby Ply,4,DTX,"Dallas Texans vs. San Diego Chargers, December 16, 1962"
,Jerry Norton,4,STL,"St. Louis Cardinals vs. Pittsburgh Steelers, November 26, 1961"
,Dave Baker,4,SFO,"San Francisco 49ers vs. Los Angeles Rams, December 4, 1960"
,Jerry Norton,4,STL,"St. Louis Cardinals vs. Washington Redskins, November 20, 1960"
,Goose Gonsoulin,4,DEN,"Denver Broncos vs. Buffalo Bills, September 18, 1960"
,Jack Butler+,4,PIT,"Pittsburgh Steelers vs. Washington Redskins, December 13, 1953"
,Bobby Dillon+,4,GNB,"Green Bay Packers vs. Detroit Lions, November 26, 1953"
,Russ Craft,4,PHI,"Philadelphia Eagles vs. Chicago Cardinals, September 24, 1950"
,Bob Nussbaumer,4,CRD,"Chicago Cardinals vs. New York Bulldogs, November 13, 1949"
,Don Doll,4,DET,"Detroit Lions vs. Chicago Cardinals, October 23, 1949"
,Dan Sandifer,4,WAS,"Washington Redskins vs. Boston Yanks, October 31, 1948"
,Sammy Baugh+,4,WAS,"Washington Redskins vs. Detroit Lions, November 14, 1943"
21,Jordan Whitehead,3,NYJ,"New York Jets vs. Buffalo Bills, September 11, 2023"
,Andrew Adams,3,TAM,"Tampa Bay Buccaneers vs. Carolina Panthers, December 2, 2018"
,Kevin Byard,3,TEN,"Tennessee Titans vs. Cleveland Browns, October 22, 2017"
,Kurt Coleman,3,PHI,"Philadelphia Eagles vs. Washington Redskins, October 16, 2011"
,Glover Quin,3,HOU,"Houston Texans vs. Tennessee Titans, November 28, 2010"
Rank,Player,Int,Tm,Boxscore
,Leigh Bodden,3,NWE,"New England Patriots vs. New York Jets, November 22, 2009"
,Aqib Talib,3,TAM,"Tampa Bay Buccaneers vs. Washington Redskins, October 4, 2009"
,Leon Hall,3,CIN,"Cincinnati Bengals vs. Cleveland Browns, December 21, 2008"
,Marcus Trufant,3,SEA,"Seattle Seahawks vs. Arizona Cardinals, December 9, 2007"
,Lofa Tatupu,3,SEA,"Seattle Seahawks vs. Philadelphia Eagles, December 2, 2007"
,Antrel Rolle,3,ARI,"Arizona Cardinals vs. Cincinnati Bengals, November 18, 2007"
,Antonio Cromartie,3,SDG,"San Diego Chargers vs. Indianapolis Colts, November 11, 2007"
,Keith Bulluck,3,TEN,"Tennessee Titans vs. New Orleans Saints, September 24, 2007"
,Asante Samuel,3,NWE,"New England Patriots vs. Chicago Bears, November 26, 2006"
,Walt Harris,3,SFO,"San Francisco 49ers vs. Oakland Raiders, October 8, 2006"
,Ty Law+,3,NYJ,"New York Jets vs. Buffalo Bills, January 1, 2006"
,Ronde Barber+,3,TAM,"Tampa Bay Buccaneers vs. New Orleans Saints, December 4, 2005"
