Rank,Player,Int,Year,Tm
1,Night Train Lane+ (24),14,1952,RAM
2,Lester Hayes (25),13,1980,OAK
,Dan Sandifer (21),13,1948,WAS
,Spec Sanders (32),13,1950,NYY
5,Jack Christiansen+ (24),12,1953,DET
,Don Doll (24),12,1950,DET
,Fred Glick (26),12,1963,HOU
,Paul Krause+ (22),12,1964,WAS
,Woodley Lewis (25),12,1950,RAM
,Bob Nussbaumer (25),12,1949,CRD
,Dainard Paulson (27),12,1964,NYJ
,Mike Reinfeldt (26),12,1979,HOU
,Emmitt Thomas+ (31),12,1974,KAN
14,Sammy Baugh+ (29),11,1943,WAS
,Mel Blount+ (27),11,1975,PIT
,Bill Bradley (24),11,1971,PHI
,Lindon Crow (23),11,1956,CRD
,Trevon Diggs (22),11,2021,DAL
,Don Doll (23),11,1949,DET
,Goose Gonsoulin (22),11,1960,DEN
,Ron Hall (27),11,1964,BOS
,Tom Keane (27),11,1953,BAL
,Jimmy Patton (24),11,1958,NYG
,Lee Riley (30),11,1962,NYT
,Otto Schnellbacher (25),11,1948,NYY
Rank,Player,Int,Year,Tm
,Otto Schnellbacher (28),11,1951,NYG
,Will Sherman (27),11,1955,RAM
,Everson Walls (21),11,1981,DAL
29,Billy Atkins (26),10,1961,BUF
,Champ Bailey+ (28),10,2006,DEN
,Dave Baker (23),10,1960,SFO
,Gary Barbaro (26),10,1980,KAN
,Ronde Barber+ (26),10,2001,TAM
,Lem Barney+ (21),10,1967,DET
,Lyle Blackwood (26),10,1977,BAL
,Jack Butler+ (29),10,1957,PIT
,Mark Carrier (22),10,1990,CHI
,Scott Case (26),10,1988,ATL
,Jack Christiansen+ (28),10,1957,DET
,Tom Colella (28),10,1946,CLE
,Irv Comp (24),10,1943,GNB
,Antonio Cromartie (23),10,2007,SDG
,Thom Darden (28),10,1978,CLE
,Milt Davis (28),10,1957,BAL
,Don Doll (27),10,1953,WAS
,Bill Dudley+ (24),10,1946,PIT
,Kenny Easley+ (25),10,1984,SEA
