Year,Player,Int,Tm
2024,Kerby Joseph (23),9,DET
2023,DaRon Bland (24),9,DAL
2022,Minkah Fitzpatrick (25),6,PIT
2022,C.J. Gardner-Johnson (24),6,PHI
2022,Justin Simmons (28),6,DEN
2022,Riq Woolen (23),6,SEA
2021,Trevon Diggs (22),11,DAL
2020,Xavien Howard (27),10,MIA
2019,Stephon Gilmore (28),6,NWE
2019,Anthony Harris (27),6,MIN
2019,Tre'Davious White (24),6,BUF
2018,Kyle Fuller (26),7,CHI
2018,Xavien Howard (25),7,MIA
2018,Damontae Kazee (25),7,ATL
2017,Kevin Byard (24),8,TEN
2017,Darius Slay (26),8,DET
2016,Casey Hayward (26),7,SDG
2015,Reggie Nelson (31),8,CIN
2015,Marcus Peters (22),8,KAN
2014,Glover Quin (28),7,DET
2013,Richard Sherman (25),8,SEA
2012,Tim Jennings (28),9,CHI
2011,Kyle Arrington (25),7,NWE
2011,Eric Weddle (26),7,SDG
2011,Charles Woodson+ (34),7,GNB
Year,Player,Int,Tm
2010,Ed Reed+ (31),8,BAL
2009,Jairus Byrd (22),9,BUF
2009,Asante Samuel (28),9,PHI
2009,Darren Sharper (33),9,NOR
2009,Charles Woodson+ (32),9,GNB
2008,Ed Reed+ (29),9,BAL
2007,Antonio Cromartie (23),10,SDG
2006,Champ Bailey+ (28),10,DEN
2006,Asante Samuel (25),10,NWE
2005,Ty Law+ (31),10,NYJ
2005,Deltha O'Neal (28),10,CIN
2004,Ed Reed+ (25),9,BAL
2003,Tony Parrish (27),9,SFO
2003,Brian Russell (25),9,MIN
2002,Brian Kelly (26),8,TAM
2002,Rod Woodson+ (37),8,OAK
2001,Ronde Barber+ (26),10,TAM
2001,Anthony Henry (24),10,CLE
2000,Darren Sharper (24),9,GNB
1999,Donnie Abraham (25),7,TAM
1999,James Hasty (34),7,KAN
1999,Sam Madison (25),7,MIA
1999,Troy Vincent (29),7,PHI
1999,Rod Woodson+ (34),7,BAL
1998,Ty Law+ (24),9,NWE
Year,Player,Int,Tm
1997,Ryan McNeil (26),9,STL
1996,Tyrone Braxton (31),9,DEN
1996,Keith Lyle (24),9,STL
1995,Orlando Thomas (22),9,MIN
1994,Eric Turner (25),9,CLE
1994,Aeneas Williams+ (26),9,ARI
1993,Nate Odomes (28),9,BUF
1993,Eugene Robinson (30),9,SEA
1992,Henry Jones (24),8,BUF
1992,Audray McMillian (30),8,MIN
1991,Ronnie Lott+ (32),8,RAI
1990,Mark Carrier (22),10,CHI
