HS State,Schools,People,Active
California,785,3296,315
Texas,838,2911,340
Florida,440,2024,329
Ohio,480,1647,119
Pennsylvania,513,1517,83
Georgia,384,1214,267
Illinois,374,1126,92
Louisiana,273,947,113
Michigan,305,804,87
New Jersey,287,803,87
New York,369,801,42
Alabama,264,767,100
North Carolina,282,721,118
Virginia,244,669,70
Mississippi,234,642,62
Tennessee,191,469,64
Oklahoma,174,467,25
Massachusetts,188,465,26
South Carolina,183,463,61
Wisconsin,200,458,34
Indiana,172,447,42
Minnesota,187,434,30
Missouri,175,421,53
Washington,168,411,31
Maryland,140,407,84
HS State,Schools,People,Active
Arizona,97,302,45
Arkansas,115,290,10
Iowa,155,284,28
Colorado,118,264,23
Kansas,135,254,19
Kentucky,106,250,21
Connecticut,96,242,23
Nebraska,113,230,12
Oregon,97,225,31
Utah,60,194,40
West Virginia,93,182,8
Hawaii,32,137,17
District of Columbia,27,137,13
Canada,93,112,25
Nevada,33,100,25
Idaho,48,84,9
Montana,39,74,4
South Dakota,42,57,7
Delaware,27,51,9
New Hampshire,21,50,0
New Mexico,28,48,2
Rhode Island,23,41,2
North Dakota,24,32,5
Wyoming,21,31,4
Maine,17,25,0
HS State,Schools,People,Active
Australia,20,21,9
American Samoa,6,15,2
Alaska,11,14,3
Germany,9,10,0
England,8,8,1
Vermont,6,7,0
Nigeria,5,5,1
Japan,4,4,0
Panama,2,3,0
Mexico,2,2,0
New Zealand,2,2,0
Austria,2,2,1
Sweden,2,2,0
Spain,2,2,0
Norway,2,2,0
Bolivia,1,1,0
Italy,1,1,0
Kenya,1,1,0
Netherlands,1,1,1
Wales,1,1,0
Ghana,1,1,0
Northern Ireland,1,1,1
Virgin Islands,1,1,0
Bahamas,1,1,0
Barbados,1,1,0
HS State,Schools,People,Active
Belgium,1,1,0
Tonga,1,1,0
Denmark,1,1,0
France,1,1,0
South Korea,1,1,0
South Africa,1,1,0
Brazil,1,1,0
Croatia,1,1,0
Cyprus,1,1,0
Panama Canal Zone,1,1,0
Estonia,1,1,0
Czech Republic,1,1,0
