High School,HS City,HS State,People,Active
Fork Union Military Academy,Fork Union,VA,68,8
Long Beach Polytechnic,Long Beach,CA,61,5
St. Thomas Aquinas,Fort Lauderdale,FL,48,12
Miami Northwestern,Miami,FL,41,8
DeMatha Catholic,Hyattsville,MD,36,10
Susan Miller Dorsey,Los Angeles,CA,36,1
St. Augustine,New Orleans,LA,34,4
McKinley,Canton,OH,32,1
Hargrave Military Academy,Chatham,VA,31,3
Male,Louisville,KY,29,1
Glenville,Cleveland,OH,28,4
Miami Central,Miami,FL,28,4
Ball,Galveston,TX,27,3
Carol City,Miami Gardens,FL,26,3
Crenshaw,Los Angeles,CA,26,1
Junipero Serra,Gardena,CA,25,6
Evanston,Evanston,IL,25,1
William M. Raines,Jacksonville,FL,25,1
South Oak Cliff,Dallas,TX,25,1
Abraham Lincoln,San Diego,CA,25,0
Longview,Longview,TX,25,3
IMG Academy,Bradenton,FL,24,18
John Tyler,Tyler,TX,24,2
Washington,Massillon,OH,24,1
Dillard,Fort Lauderdale,FL,24,2
High School,HS City,HS State,People,Active
Yates,Houston,TX,23,0
Glades Central,Belle Glade,FL,23,0
Compton,Compton,CA,23,0
DeSoto,DeSoto,TX,23,8
Warren G. Harding,Warren,OH,23,2
Cass Tech,Detroit,MI,22,6
Miami Southridge,Miami,FL,22,3
Waco,Waco,TX,22,1
Temple,Temple,TX,21,4
Bakersfield,Bakersfield,CA,21,1
Kiski School,Saltsburg,PA,21,0
Booker T. Washington,Tulsa,OK,20,3
Griffin,Griffin,GA,20,0
Mater Dei,Santa Ana,CA,20,10
Everett,Everett,MA,20,3
John Muir,Pasadena,CA,20,2
Santa Monica,Santa Monica,CA,20,0
Saint Louis,Honolulu,HI,20,6
Carson,Carson,CA,19,0
Manual Arts,Los Angeles,CA,19,0
Coral Gables,Coral Gables,FL,19,1
Norland,Miami,FL,19,2
John C. Fremont,Los Angeles,CA,19,0
Pasadena,Pasadena,CA,19,0
St. Ignatius,Cleveland,OH,19,5
High School,HS City,HS State,People,Active
Miami Senior,Miami,FL,18,0
Moss Point,Moss Point,MS,18,0
Lane Tech,Chicago,IL,18,1
Lakewood,St. Petersburg,FL,18,5
Oak Park and River Forest,Oak Park,IL,18,1
Gardena,Gardena,CA,18,0
Lufkin,Lufkin,TX,18,2
Phillis Wheatley,Houston,TX,18,1
Little Rock Central,Little Rock,AR,18,0
Stephenson,Stone Mountain,GA,18,6
Ruston,Ruston,LA,18,1
Mount Carmel,Chicago,IL,18,0
Berkeley,Berkeley,CA,18,0
Blanche Ely,Pompano Beach,FL,17,1
San Diego,San Diego,CA,17,0
Benedictine,Cleveland,OH,17,2
Loyola,Los Angeles,CA,17,4
Clarksdale,Clarksdale,MS,17,2
Archbishop Moeller,Cincinnati,OH,17,3
East,Columbus,OH,17,0
Green Bay West,Green Bay,WI,17,0
Punahou School,Honolulu,HI,17,4
Hillsborough,Tampa,FL,17,4
Thornton Twp.,Harvey,IL,17,0
Inglewood,Inglewood,CA,17,0
High School,HS City,HS State,People,Active
Bishop Amat,La Puente,CA,17,0
East St. Louis,East St. Louis,IL,17,1
American Heritage-Plantation,Plantation,FL,16,14
Los Angeles,Los Angeles,CA,16,0
David W. Carter,Dallas,TX,16,0
De La Salle,Concord,CA,16,3
Central,Evansville,IN,16,0
Servite,Anaheim,CA,16,5
North Shore,Houston,TX,16,3
Woodrow Wilson,Dallas,TX,16,1
Phineas Banning,Los Angeles,CA,16,0
Bishop Gorman,Las Vegas,NV,16,10
Northwestern,Detroit,MI,16,0
La Salle,Cincinnati,OH,16,2
Vigor,Prichard,AL,16,0
Pine Bluff,Pine Bluff,AR,16,0
St. Rita of Cascia,Chicago,IL,16,1
Christopher Columbus,Miami,FL,16,4
McKeesport,McKeesport,PA,15,1
Northeast,Philadelphia,PA,15,1
Central,Duluth,MN,15,0
Martin Luther King,Detroit,MI,15,3
Kashmere,Houston,TX,15,0
Murphy,Mobile,AL,15,1
Edison,Stockton,CA,15,0
