Tm,W,L,T,Position,Reason
Detroit Lions (1),15,2,0,North Champion,
Philadelphia Eagles (2),14,3,0,East Champion,
Tampa Bay Buccaneers (3),10,7,0,South Champion,conference win percentage
Los Angeles Rams (4),10,7,0,West Champion,strength of victory
Minnesota Vikings (5),14,3,0,Wild Card #1,
Washington Commanders (6),12,5,0,Wild Card #2,
Green Bay Packers (7),11,6,0,Wild Card #3,
Seattle Seahawks,10,7,0,,
Atlanta Falcons,8,9,0,,conference win percentage
Arizona Cardinals,8,9,0,,
Dallas Cowboys,7,10,0,,
San Francisco 49ers,6,11,0,,
Chicago Bears,5,12,0,,head-to-head record
Carolina Panthers,5,12,0,,strength of victory
New Orleans Saints,5,12,0,,
New York Giants,3,14,0,,
