Tm,W,L,T,Position,Reason
Kansas City Chiefs (1),15,2,0,West Champion,
Buffalo Bills (2),13,4,0,East Champion,
Baltimore Ravens (3),12,5,0,North Champion,
Houston Texans (4),10,7,0,South Champion,
Los Angeles Chargers (5),11,6,0,Wild Card #1,
Pittsburgh Steelers (6),10,7,0,Wild Card #2,head-to-head record
Denver Broncos (7),10,7,0,Wild Card #3,
Cincinnati Bengals,9,8,0,,
Indianapolis Colts,8,9,0,,head-to-head record
Miami Dolphins,8,9,0,,
New York Jets,5,12,0,,
Jacksonville Jaguars,4,13,0,,conference win percentage
New England Patriots,4,13,0,,strength of victory
Las Vegas Raiders,4,13,0,,
Cleveland Browns,3,14,0,,strength of victory
Tennessee Titans,3,14,0,,
