Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12
,,Downs,Red Zone,,,,,,,,
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Kansas City Chiefs,17,229,111,48.5%,17,12,70.6%,65,35,53.8%
2,Tampa Bay Buccaneers,17,216,110,50.9%,14,9,64.3%,69,46,66.7%
3,Cincinnati Bengals,17,214,100,46.7%,19,10,52.6%,61,39,63.9%
4,Washington Commanders,17,217,99,45.6%,23,20,87.0%,71,45,63.4%
5,Philadelphia Eagles,17,235,98,41.7%,27,19,70.4%,68,39,57.4%
6,Detroit Lions,17,206,98,47.6%,33,22,66.7%,72,50,69.4%
7,Baltimore Ravens,17,191,92,48.2%,15,8,53.3%,66,49,74.2%
8,Denver Broncos,17,230,91,39.6%,22,15,68.2%,56,35,62.5%
9,Pittsburgh Steelers,17,228,90,39.5%,18,7,38.9%,56,27,48.2%
10,Buffalo Bills,17,202,89,44.1%,22,16,72.7%,67,48,71.6%
11,Los Angeles Chargers,17,221,89,40.3%,16,10,62.5%,50,28,56.0%
12,Houston Texans,17,231,87,37.7%,18,11,61.1%,57,28,49.1%
13,San Francisco 49ers,17,197,84,42.6%,16,8,50.0%,63,36,57.1%
14,Dallas Cowboys,17,228,84,36.8%,28,10,35.7%,50,23,46.0%
15,Indianapolis Colts,17,219,83,37.9%,28,17,60.7%,52,28,53.8%
16,Arizona Cardinals,17,193,83,43.0%,18,8,44.4%,57,32,56.1%
17,New York Jets,17,210,83,39.5%,24,10,41.7%,55,30,54.5%
18,Atlanta Falcons,17,209,82,39.2%,31,21,67.7%,53,29,54.7%
19,New York Giants,17,232,82,35.3%,37,20,54.1%,44,19,43.2%
20,Tennessee Titans,17,215,81,37.7%,23,9,39.1%,45,24,53.3%
,,Downs,Red Zone,,,,,,,,
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
21,Minnesota Vikings,17,200,80,40.0%,13,6,46.2%,61,34,55.7%
22,Seattle Seahawks,17,210,79,37.6%,19,10,52.6%,42,24,57.1%
23,Las Vegas Raiders,17,224,78,34.8%,25,14,56.0%,45,22,48.9%
24,Miami Dolphins,17,212,77,36.3%,31,15,48.4%,53,30,56.6%
25,New Orleans Saints,17,216,76,35.2%,27,15,55.6%,43,25,58.1%
26,Chicago Bears,17,231,76,32.9%,38,23,60.5%,37,23,62.2%
27,Jacksonville Jaguars,17,204,76,37.3%,26,14,53.8%,50,29,58.0%
28,Carolina Panthers,17,211,76,36.0%,30,14,46.7%,50,31,62.0%
29,New England Patriots,17,215,75,34.9%,24,14,58.3%,47,22,46.8%
30,Green Bay Packers,17,190,75,39.5%,16,8,50.0%,69,41,59.4%
31,Los Angeles Rams,17,201,74,36.8%,24,16,66.7%,63,33,52.4%
32,Cleveland Browns,17,237,70,29.5%,44,24,54.5%,37,18,48.6%
,League Total,,,,,,,,,,
