Year,Lg,Pos,Player,Tm
2024,NFL,WR,Darius Slayton,New York Giants
2023,NFL,LDE,Calais Campbell,Atlanta Falcons
2022,NFL,S,Damar Hamlin,Buffalo Bills
2021,NFL,S,Rodney McLeod,Philadelphia Eagles
2020,NFL,TE,Hayden Hurst,Atlanta Falcons
2019,NFL,OLB,Brandon Copeland,New York Jets
2018,NFL,LT,Andrew Whitworth,Los Angeles Rams
2017,NFL,DE,Chris Long,Philadelphia Eagles
2016,NFL,RCB,Malcolm Jenkins,Philadelphia Eagles
2015,NFL,OLB,Thomas Davis,Carolina Panthers
2014,NFL,LLB,Chad Greenway,Minnesota Vikings
2013,NFL,WR,Anquan Boldin,San Francisco 49ers
2012,NFL,QB,Charlie Batch,Pittsburgh Steelers
2011,NFL,QB,Drew Brees,New Orleans Saints
2010,NFL,FB,Tony Richardson,New York Jets
2009,NFL,RCB,Nnamdi Asomugha,Oakland Raiders
2008,NFL,FS,Brian Dawkins,Philadelphia Eagles
2007,NFL,RB,Warrick Dunn,Atlanta Falcons
2006,NFL,SS,John Lynch,Denver Broncos
2005,NFL,QB,Steve McNair,Tennessee Titans
2004,NFL,QB,Peyton Manning,Indianapolis Colts
2003,NFL,RLB,Derrick Brooks,Tampa Bay Buccaneers
2002,NFL,LCB,Troy Vincent,Philadelphia Eagles
2001,NFL,QB,Mark Brunell,Jacksonville Jaguars
2000,NFL,RDE,Michael McCrary,Baltimore Ravens
Year,Lg,Pos,Player,Tm
1999,NFL,K,Doug Pelfrey,Cincinnati Bengals
1998,NFL,WR,Cris Carter,Minnesota Vikings
1997,NFL,MLB,Hardy Nickerson,Tampa Bay Buccaneers
1995,NFL,WR,Bill Brooks,Buffalo Bills
1994,NFL,ROLB,Derrick Thomas,Kansas City Chiefs
1993,NFL,FS,Mark Kelso,Buffalo Bills
1992,NFL,K,Nick Lowery,Kansas City Chiefs
1991,NFL,LDE,Reggie White,Philadelphia Eagles
1990,NFL,LT,Mike Kenn,Atlanta Falcons
1989,NFL,TE,Ozzie Newsome,Cleveland Browns
1988,NFL,MLB,Mike Singletary,Chicago Bears
1987,NFL,FS,Deron Cherry,Kansas City Chiefs
1986,NFL,LDE,George Martin,New York Giants
1985,NFL,WR,Nat Moore,Miami Dolphins
1984,NFL,ROLB,Reggie Williams,Cincinnati Bengals
1983,NFL,K,Rolf Benirschke,San Diego Chargers
1982,NFL,LT,Doug Dieken,Cleveland Browns
1981,NFL,FB,Franco Harris,Pittsburgh Steelers
1980,NFL,SS,Ken Houston,Washington Redskins
1979,NFL,LG,Gene Upshaw,Oakland Raiders
1978,NFL,QB,Roger Staubach,Dallas Cowboys
1977,NFL,QB,Archie Manning,New Orleans Saints
1976,NFL,RDE,Lyle Alzado,Denver Broncos
1975,NFL,QB,Jim Hart,St. Louis Cardinals
1974,NFL,RB,Rocky Bleier,Pittsburgh Steelers
Year,Lg,Pos,Player,Tm
1973,NFL,RB,Floyd Little,Denver Broncos
1972,NFL,RLB,Andy Russell,Pittsburgh Steelers
1971,NFL,MLB,Ray May,Baltimore Colts
1970,NFL,RCB,Kermit Alexander,Los Angeles Rams
1969,NFL,HB,Gale Sayers,Chicago Bears
1968,NFL,RS,Eddie Meador,Los Angeles Rams
1967,NFL,LDE,Willie Davis,Green Bay Packers
1966,NFL,QB,Bart Starr,Green Bay Packers
