Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
Tyler Guyton,OT,DAL,15,11,5,5,14,2
Laremy Tunsil,T,HOU,17,17,2,9,13,1
Spencer Brown,T,BUF,15,15,3,5,11,1
Taliese Fuaga,OT,NOR,17,17,2,4,11,0
Demontrey Jacobs,OT,NWE,15,13,4,7,11,0
Trevor Penning,OT,NOR,17,17,5,1,11,2
Jackson Powers-Johnson,OG,LVR,15,14,3,5,11,0
Cam Robinson,OT,2TM,17,17,2,6,11,1
Garett Bolles,T,DEN,17,17,4,3,10,1
Dion Dawkins,T,BUF,16,16,2,6,10,0
JC Latham,OT,TEN,17,17,1,8,10,0
Patrick Mekari,OL,BAL,17,17,6,1,10,1
Anthony Bradford,G,SEA,11,11,4,4,9,0
Broderick Jones,OT,PIT,17,16,5,2,9,0
Ronnie Stanley,T,BAL,17,17,4,3,9,0
Jawaan Taylor,T,KAN,16,16,3,5,9,0
Joe Alt,OT,LAC,16,16,5,3,8,0
Orlando Brown,OT,CIN,11,11,2,6,8,0
Ikem Ekwonu,T,CAR,15,15,3,3,8,1
Delmar Glaze,OT,LVR,17,14,6,2,8,1
Dawand Jones,T,CLE,10,8,1,6,8,0
Quenton Nelson,G,IND,17,17,1,6,8,0
Rasheed Walker,T,GNB,17,17,4,2,7,1
Leroy Watson,T,TEN,4,4,1,5,7,1
Blake Brandel,G,MIN,17,17,0,6,6,0
Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
Liam Eichenberg,OL,MIA,17,14,1,4,6,0
Ryan Neuzil,OL,ATL,17,8,2,3,6,0
Braden Smith,T,IND,12,12,1,4,6,4
Graham Barton,C,TAM,16,16,2,3,5,0
Matthew Bergeron,OL,ATL,17,17,2,2,5,1
Jake Brendel,OL,SFO,17,17,4,0,5,1
Samuel Cosmi,G,WAS,17,17,1,2,5,1
Jermaine Eluemunor,OL,NYG,15,15,1,3,5,2
Daniel Faalele,T,BAL,17,17,4,1,5,1
Luke Goedeke,T,TAM,13,13,1,4,5,0
Kenyon Green,G,HOU,12,9,1,2,5,1
Alaric Jackson,OL,LAR,14,14,0,4,5,0
Elgton Jenkins,OL,GNB,17,17,2,1,5,0
Vederian Lowe,T,NWE,14,13,2,1,5,1
Jake Matthews,T,ATL,17,17,2,2,5,2
Wanya Morris,OL,KAN,17,11,4,0,5,1
Roger Rosengarten,OT,BAL,17,14,1,3,5,1
Peter Skoronski,OL,TEN,17,17,4,1,5,0
O'Cyrus Torrence,G,BUF,17,16,3,1,5,0
Tristan Wirfs,T,TAM,16,16,1,3,5,0
Darnell Wright,OL,CHI,16,16,0,3,5,1
Nick Allegretti,G,WAS,17,17,1,1,4,0
Joel Bitonio,G,CLE,17,17,2,0,4,0
Garrett Bradbury,C,MIN,17,17,1,3,4,0
Brandon Coleman,OT,WAS,16,12,1,2,4,1
Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
Charles Cross,T,SEA,17,17,1,3,4,1
Christian Darrisaw,T,MIN,7,7,1,2,4,0
Germain Ifedi,OG,CLE,15,7,0,2,4,1
Austin Jackson,OL,MIA,8,8,1,3,4,2
Michael Jerrell,OT,SEA,10,3,2,2,4,1
Lane Johnson,T,PHI,15,15,0,2,4,0
Braxton Jones,OL,CHI,12,12,1,2,4,2
Cam Jurgens,OL,PHI,16,16,1,1,4,2
Beaux Limmer,OL,LAR,16,14,2,2,4,0
Chris Lindstrom,G,ATL,17,17,2,0,4,0
