Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12
,,Downs,Red Zone,,,,,,,,
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Detroit Lions,17,185,60,32.4%,29,12,41.4%,55,28,50.9%
2,Pittsburgh Steelers,17,204,72,35.3%,22,15,68.2%,61,33,54.1%
3,Philadelphia Eagles,17,211,75,35.5%,30,19,63.3%,48,24,50.0%
4,Miami Dolphins,17,209,75,35.9%,20,10,50.0%,55,27,49.1%
5,Dallas Cowboys,17,205,75,36.6%,25,17,68.0%,56,42,75.0%
6,Minnesota Vikings,17,219,78,35.6%,35,13,37.1%,49,29,59.2%
7,Green Bay Packers,17,208,78,37.5%,30,18,60.0%,50,30,60.0%
8,Washington Commanders,17,207,79,38.2%,24,16,66.7%,53,32,60.4%
9,Houston Texans,17,220,79,35.9%,26,17,65.4%,44,28,63.6%
10,Tampa Bay Buccaneers,17,210,80,38.1%,30,19,63.3%,57,31,54.4%
11,Los Angeles Chargers,17,224,80,35.7%,29,18,62.1%,40,18,45.0%
12,Chicago Bears,17,213,80,37.6%,19,9,47.4%,63,29,46.0%
13,Cleveland Browns,17,224,81,36.2%,18,8,44.4%,53,33,62.3%
14,Seattle Seahawks,17,224,83,37.1%,20,10,50.0%,57,30,52.6%
15,Los Angeles Rams,17,204,83,40.7%,17,9,52.9%,56,28,50.0%
16,New York Jets,17,215,83,38.6%,21,16,76.2%,63,37,58.7%
17,Cincinnati Bengals,17,207,87,42.0%,27,16,59.3%,53,36,67.9%
18,New York Giants,17,216,87,40.3%,21,12,57.1%,54,29,53.7%
19,Denver Broncos,17,236,88,37.3%,30,16,53.3%,49,23,46.9%
20,Tennessee Titans,17,213,88,41.3%,13,10,76.9%,57,36,63.2%
,,Downs,Red Zone,,,,,,,,
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
21,Las Vegas Raiders,17,221,88,39.8%,13,10,76.9%,58,35,60.3%
22,Buffalo Bills,17,201,88,43.8%,32,17,53.1%,61,35,57.4%
23,Baltimore Ravens,17,226,90,39.8%,28,12,42.9%,50,27,54.0%
24,Arizona Cardinals,17,208,91,43.8%,24,14,58.3%,57,30,52.6%
25,New Orleans Saints,17,224,92,41.1%,27,14,51.9%,54,30,55.6%
26,New England Patriots,17,215,93,43.3%,21,11,52.4%,57,36,63.2%
27,Kansas City Chiefs,17,215,93,43.3%,23,12,52.2%,54,28,51.9%
28,San Francisco 49ers,17,216,93,43.1%,26,17,65.4%,57,39,68.4%
29,Atlanta Falcons,17,212,96,45.3%,26,14,53.8%,57,37,64.9%
30,Jacksonville Jaguars,17,225,97,43.1%,24,14,58.3%,59,35,59.3%
31,Indianapolis Colts,17,234,104,44.4%,21,11,52.4%,61,37,60.7%
32,Carolina Panthers,17,223,112,50.2%,15,9,60.0%,76,50,65.8%
,League Total,,,,,,,,,,
