Rank,Player,Yds,Years,Tm
1,Aaron Rodgers,"62,952",2005-2024,2TM
2,Matthew Stafford,"59,809",2009-2024,2TM
3,Russell Wilson,"46,135",2012-2024,3TM
4,Joe Flacco,"45,697",2008-2024,5TM
5,Kirk Cousins,"42,979",2012-2024,3TM
6,Derek Carr,"41,245",2014-2024,2TM
7,Andy Dalton,"39,500",2011-2024,5TM
8,Jared Goff,"35,058",2016-2024,2TM
9,Ryan Tannehill,"34,881",2012-2023,2TM
10,Patrick Mahomes,"32,352",2017-2024,kan
11,Dak Prescott,"31,437",2016-2024,dal
12,Josh Allen,"26,434",2018-2024,buf
13,Baker Mayfield,"24,832",2018-2024,4TM
14,Jameis Winston,"24,225",2015-2024,3TM
15,Carson Wentz,"22,410",2016-2024,5TM
16,Justin Herbert,"21,093",2020-2024,sdg
17,Lamar Jackson,"20,059",2018-2024,rav
18,Kyler Murray,"19,498",2019-2024,crd
19,Geno Smith,"19,143",2013-2024,4TM
20,Joe Burrow,"19,001",2020-2024,cin
21,Deshaun Watson,"17,904",2017-2024,2TM
22,Sam Darnold,"16,383",2018-2024,4TM
23,Marcus Mariota,"16,184",2015-2024,5TM
24,Jimmy Garoppolo,"15,828",2014-2024,4TM
25,Tua Tagovailoa,"15,506",2020-2024,mia
Rank,Player,Yds,Years,Tm
26,Case Keenum,"15,175",2013-2023,7TM
27,Teddy Bridgewater,"15,120",2014-2024,6TM
28,Jalen Hurts,"14,667",2020-2024,phi
29,Daniel Jones,"14,582",2019-2024,nyg
30,Trevor Lawrence,"13,815",2021-2024,jax
31,Mitchell Trubisky,"12,715",2017-2024,3TM
32,Tyrod Taylor,"12,254",2011-2024,7TM
33,Gardner Minshew II,"11,950",2019-2024,4TM
34,Jacoby Brissett,"11,400",2016-2024,5TM
35,Brian Hoyer,"10,899",2009-2023,8TM
36,Mac Jones,"10,590",2021-2024,2TM
37,Brock Purdy,"9,518",2022-2024,sfo
38,Blaine Gabbert,"9,487",2011-2023,6TM
39,Jordan Love,"8,154",2021-2024,gnb
40,C.J. Stroud,"7,835",2023-2024,htx
41,Justin Fields,"7,780",2021-2024,2TM
42,Trevor Siemian,"7,751",2015-2023,4TM
43,Taylor Heinicke,"6,663",2017-2024,5TM
44,Nick Mullens,"6,429",2018-2024,3TM
45,Drew Lock,"6,354",2019-2024,3TM
46,Zach Wilson,"6,293",2021-2023,nyj
47,Davis Mills,"6,167",2021-2024,htx
48,Bryce Young,"5,280",2023-2024,car
49,Kenny Pickett,"4,765",2022-2024,2TM
50,Kyle Allen,"4,753",2018-2024,5TM
