Rank,Player,Yds,Tm,Boxscore
1,Norm Van Brocklin+,554,RAM,"Los Angeles Rams vs. New York Yanks, September 28, 1951"
2,Matt Schaub,527,HOU,"Houston Texans vs. Jacksonville Jaguars, November 18, 2012"
,Warren Moon+,527,HOU,"Houston Oilers vs. Kansas City Chiefs, December 16, 1990"
4,Joe Burrow,525,CIN,"Cincinnati Bengals vs. Baltimore Ravens, December 26, 2021"
5,Ben Roethlisberger,522,PIT,"Pittsburgh Steelers vs. Indianapolis Colts, October 26, 2014"
,Boomer Esiason,522,ARI,"Arizona Cardinals vs. Washington Redskins, November 10, 1996"
7,Dan Marino+,521,MIA,"Miami Dolphins vs. New York Jets, October 23, 1988"
8,Matthew Stafford,520,DET,"Detroit Lions vs. Green Bay Packers, January 1, 2012"
9,Jared Goff,517,LAR,"Los Angeles Rams vs. Tampa Bay Buccaneers, September 29, 2019"
,Tom Brady,517,NWE,"New England Patriots vs. Miami Dolphins, September 12, 2011"
11,Derek Carr,513,OAK,"Oakland Raiders vs. Tampa Bay Buccaneers, October 30, 2016"
,Phil Simms,513,NYG,"New York Giants vs. Cincinnati Bengals, October 13, 1985"
13,Eli Manning,510,NYG,"New York Giants vs. Tampa Bay Buccaneers, September 16, 2012"
,Drew Brees,510,NOR,"New Orleans Saints vs. Cincinnati Bengals, November 19, 2006"
15,Kirk Cousins,509,ATL,"Atlanta Falcons vs. Tampa Bay Buccaneers, October 3, 2024"
,Vince Ferragamo,509,RAM,"Los Angeles Rams vs. Chicago Bears, December 26, 1982"
17,Ben Roethlisberger,506,PIT,"Pittsburgh Steelers vs. Baltimore Ravens, December 10, 2017"
,Tony Romo,506,DAL,"Dallas Cowboys vs. Denver Broncos, October 6, 2013"
19,Drew Brees,505,NOR,"New Orleans Saints vs. New York Giants, November 1, 2015"
,Y.A. Tittle+,505,NYG,"New York Giants vs. Washington Redskins, October 28, 1962"
21,Elvis Grbac,504,KAN,"Kansas City Chiefs vs. Oakland Raiders, November 5, 2000"
22,Matt Ryan,503,ATL,"Atlanta Falcons vs. Carolina Panthers, October 2, 2016"
,Philip Rivers,503,SDG,"San Diego Chargers vs. Green Bay Packers, October 18, 2015"
,Ben Roethlisberger,503,PIT,"Pittsburgh Steelers vs. Green Bay Packers, December 20, 2009"
25,Dak Prescott,502,DAL,"Dallas Cowboys vs. Cleveland Browns, October 4, 2020"
Rank,Player,Yds,Tm,Boxscore
26,Jake Plummer,499,DEN,"Denver Broncos vs. Atlanta Falcons, October 31, 2004"
27,Jameis Winston,497,CLE,"Cleveland Browns vs. Denver Broncos, December 2, 2024"
,Matt Schaub,497,HOU,"Houston Texans vs. Washington Redskins, September 19, 2010"
29,Joe Namath+,496,NYJ,"New York Jets vs. Baltimore Colts, September 24, 1972"
30,Jared Goff,494,DET,"Detroit Lions vs. Buffalo Bills, December 15, 2024"
31,Billy Volek,492,TEN,"Tennessee Titans vs. Oakland Raiders, December 19, 2004"
32,Boomer Esiason,490,CIN,"Cincinnati Bengals vs. Los Angeles Rams, October 7, 1990"
,Tommy Kramer,490,MIN,"Minnesota Vikings vs. Washington Redskins, November 2, 1986"
34,Matthew Stafford,488,DET,"Detroit Lions vs. Dallas Cowboys, October 27, 2013"
35,Doug Williams,486,TAM,"Tampa Bay Buccaneers vs. Minnesota Vikings, November 16, 1980"
36,Kurt Warner+,484,ARI,"Arizona Cardinals vs. San Francisco 49ers, November 25, 2007"
37,Joe Burrow,481,CIN,"Cincinnati Bengals vs. Atlanta Falcons, October 23, 2022"
,Vinny Testaverde,481,NYJ,"New York Jets vs. Baltimore Ravens, December 24, 2000"
39,Aaron Rodgers,480,GNB,"Green Bay Packers vs. Washington Redskins, September 15, 2013"
,Matt Flynn,480,GNB,"Green Bay Packers vs. Detroit Lions, January 1, 2012"
41,Peyton Manning+,479,DEN,"Denver Broncos vs. Arizona Cardinals, October 5, 2014"
,Ken O'Brien,479,NYJ,"New York Jets vs. Miami Dolphins, September 21, 1986"
43,Patrick Mahomes,478,KAN,"Kansas City Chiefs vs. Los Angeles Rams, November 19, 2018"
44,Kyle Orton,476,DEN,"Denver Broncos vs. Indianapolis Colts, September 26, 2010"
,Joe Montana+,476,SFO,"San Francisco 49ers vs. Atlanta Falcons, October 14, 1990"
46,Tommy Maddox,473,PIT,"Pittsburgh Steelers vs. Atlanta Falcons, November 10, 2002"
,Dan Marino+,473,MIA,"Miami Dolphins vs. New England Patriots, September 4, 1994"
48,Dak Prescott,472,DAL,"Dallas Cowboys vs. Seattle Seahawks, September 27, 2020"
,Kurt Warner+,472,ARI,"Arizona Cardinals vs. New York Jets, September 28, 2008"
,Peyton Manning+,472,IND,"Indianapolis Colts vs. Kansas City Chiefs, October 31, 2004"
51,Nick Foles,471,PHI,"Philadelphia Eagles vs. Houston Texans, December 23, 2018"
,Brad Johnson,471,WAS,"Washington Redskins vs. San Francisco 49ers, December 26, 1999"
