Year,Coach,Tm
2024,Ben Johnson,Detroit Lions
2023,Mike Macdonald,Baltimore Ravens
2022,DeMeco Ryans,San Francisco 49ers
2021,Dan Quinn,Dallas Cowboys
2020,Brian Daboll,Buffalo Bills
2019,Greg Roman,Baltimore Ravens
2018,Vic Fangio,Chicago Bears
2017,Pat Shurmur,Minnesota Vikings
2016,Kyle Shanahan,Atlanta Falcons
2015,Wade Phillips,Denver Broncos
2015,Hue Jackson,Cincinnati Bengals
2014,Todd Bowles,Arizona Cardinals
2013,Ken Whisenhunt,San Diego Chargers
2012,Bruce Arians,Indianapolis Colts
2011,Wade Phillips,Houston Texans
2010,Marty Mornhinweg,Philadelphia Eagles
2009,Mike Zimmer,Cincinnati Bengals
2008,Dick LeBeau,Pittsburgh Steelers
2007,Jason Garrett,Dallas Cowboys
2006,Rex Ryan,Baltimore Ravens
2005,Ron Rivera,Chicago Bears
2004,Dick LeBeau,Pittsburgh Steelers
2003,Romeo Crennel,New England Patriots
2002,Monte Kiffin,Tampa Bay Buccaneers
2001,Mike Mularkey,Pittsburgh Steelers
Year,Coach,Tm
2000,Marvin Lewis,Baltimore Ravens
1999,Dom Capers,Jacksonville Jaguars
1998,Brian Billick,Minnesota Vikings
1997,John Fox,New York Giants
1996,Dave Campo,Dallas Cowboys
1995,Pete Carroll,San Francisco 49ers
1994,Dom Capers,Pittsburgh Steelers
1993,Ray Rhodes,Green Bay Packers
