Year,Lg,Pos,Player,Tm
2024,NFL,QB,Joe Burrow,Cincinnati Bengals
2023,NFL,S,Damar Hamlin,Buffalo Bills
2022,NFL,QB,Geno Smith,Seattle Seahawks
2021,NFL,QB,Joe Burrow,Cincinnati Bengals
2020,NFL,QB,Alex Smith,Washington Football Team
2019,NFL,QB,Ryan Tannehill,Tennessee Titans
2018,NFL,QB,Andrew Luck,Indianapolis Colts
2017,NFL,WR,Keenan Allen,Los Angeles Chargers
2016,NFL,WR,Jordy Nelson,Green Bay Packers
2015,NFL,SS,Eric Berry,Kansas City Chiefs
2014,NFL,TE,Rob Gronkowski,New England Patriots
2013,NFL,QB,Philip Rivers,San Diego Chargers
2012,NFL,RB,Adrian Peterson,Minnesota Vikings
2011,NFL,QB,Matthew Stafford,Detroit Lions
2010,NFL,QB,Michael Vick,Philadelphia Eagles
2009,NFL,QB,Tom Brady,New England Patriots
2008,NFL,QB,Chad Pennington,Miami Dolphins
2007,NFL,WR,Randy Moss,New England Patriots
2006,NFL,QB,Chad Pennington,New York Jets
2005,NFL,WR,Steve Smith Sr.,Carolina Panthers
2004,NFL,RB,Willis McGahee,Buffalo Bills
2003,NFL,QB,Jon Kitna,Cincinnati Bengals
2002,NFL,QB,Tommy Maddox,Pittsburgh Steelers
2001,NFL,RB,Garrison Hearst,San Francisco 49ers
2000,NFL,RDE,Joe Johnson,New Orleans Saints
Year,Lg,Pos,Player,Tm
1999,NFL,LDT,Bryant Young,San Francisco 49ers
1998,NFL,QB,Doug Flutie,Buffalo Bills
1997,NFL,WR,Robert Brooks,Green Bay Packers
1996,NFL,RB,Jerome Bettis,Pittsburgh Steelers
1995,NFL,QB,Jim Harbaugh,Indianapolis Colts
1994,NFL,QB,Dan Marino,Miami Dolphins
1993,NFL,RB,Marcus Allen,Kansas City Chiefs
1992,NFL,QB,Randall Cunningham,Philadelphia Eagles
1991,NFL,QB,Jim McMahon,Philadelphia Eagles
1990,NFL,RB,Barry Word,Kansas City Chiefs
1989,NFL,RB,Ottis Anderson,New York Giants
1988,NFL,RB,Greg Bell,Los Angeles Rams
1987,NFL,RB,Charles White,Los Angeles Rams
1986,NFL,QB,Tommy Kramer,Minnesota Vikings
1986,NFL,QB,Joe Montana,San Francisco 49ers
1984,NFL,WR,John Stallworth,Pittsburgh Steelers
1983,NFL,WR,Billy Johnson,Atlanta Falcons
1982,NFL,RDE,Lyle Alzado,Los Angeles Raiders
1981,NFL,QB,Ken Anderson,Cincinnati Bengals
1980,NFL,QB,Jim Plunkett,Oakland Raiders
1979,NFL,FB,Larry Csonka,Miami Dolphins
1978,NFL,FB,John Riggins,Washington Redskins
1977,NFL,QB,Craig Morton,Denver Broncos
1976,NFL,QB,Greg Landry,Detroit Lions
1975,NFL,FB,Dave Hampton,Atlanta Falcons
1974,NFL,QB,Joe Namath,New York Jets
1973,NFL,QB,Roman Gabriel,Philadelphia Eagles
1972,NFL,QB,Earl Morrall,Miami Dolphins
