Year,Lg,Pos,Player,Tm
2024,NFL,CB,Patrick Surtain II,Denver Broncos
2023,NFL,DE,Myles Garrett,Cleveland Browns
2022,NFL,DE,Nick Bosa,San Francisco 49ers
2021,NFL,OLB,T.J. Watt,Pittsburgh Steelers
2020,NFL,DT,Aaron Donald,Los Angeles Rams
2019,NFL,CB,Stephon Gilmore,New England Patriots
2018,NFL,DT,Aaron Donald,Los Angeles Rams
2017,NFL,LDE,Calais Campbell,Jacksonville Jaguars
2016,NFL,OLB,Khalil Mack,Oakland Raiders
2015,NFL,DE,J.J. Watt,Houston Texans
2014,NFL,DE,J.J. Watt,Houston Texans
2013,NFL,DE,Robert Quinn,St. Louis Rams
2012,NFL,DE,J.J. Watt,Houston Texans
2011,NFL,LOLB,Terrell Suggs,Baltimore Ravens
2010,NFL,ROLB,Clay Matthews,Green Bay Packers
2009,NFL,LCB,Charles Woodson,Green Bay Packers
2008,NFL,ROLB,James Harrison,Pittsburgh Steelers
2007,NFL,DB,Bob Sanders,Indianapolis Colts
2006,NFL,RDE,Jason Taylor,Miami Dolphins
2005,NFL,MLB,Brian Urlacher,Chicago Bears
2004,NFL,FS,Ed Reed,Baltimore Ravens
2003,NFL,MLB,Ray Lewis,Baltimore Ravens
2002,NFL,RLB,Derrick Brooks,Tampa Bay Buccaneers
2001,NFL,LDE,Michael Strahan,New York Giants
2000,NFL,MLB,Ray Lewis,Baltimore Ravens
Year,Lg,Pos,Player,Tm
1999,NFL,RDT,Warren Sapp,Tampa Bay Buccaneers
1998,NFL,LDE,Reggie White,Green Bay Packers
1997,NFL,RDT,Dana Stubblefield,San Francisco 49ers
1996,NFL,RDE,Bruce Smith,Buffalo Bills
1995,NFL,LOLB,Bryce Paup,Buffalo Bills
1994,NFL,RCB,Deion Sanders,San Francisco 49ers
1993,NFL,RDE,Bruce Smith,Buffalo Bills
1992,NFL,RDT,Cortez Kennedy,Seattle Seahawks
