Year,Executive,Tm
2024,Brad Holmes,Detroit Lions
2023,Brad Holmes,Detroit Lions
2022,Howie Roseman,Philadelphia Eagles
2021,Bill Belichick,New England Patriots
2020,Brandon Beane,Buffalo Bills
2019,John Lynch,San Francisco 49ers
2018,Chris Ballard,Indianapolis Colts
2017,Howie Roseman,Philadelphia Eagles
2016,,
2015,Mike Maccagnan,New York Jets
2014,Jerry Jones,Dallas Cowboys
2013,John Dorsey,Kansas City Chiefs
2012,Ryan Grigson,Indianapolis Colts
2011,Trent Baalke,San Francisco 49ers
2010,Scott Pioli,Kansas City Chiefs
2009,Bill Polian,Indianapolis Colts
2008,Bill Parcells,Miami Dolphins
2007,Scott Pioli,New England Patriots
2006,Mickey Loomis,New Orleans Saints
2005,Bill Polian,Indianapolis Colts
2004,A.J. Smith,San Diego Chargers
2003,Scott Pioli,New England Patriots
2002,Al Davis,Oakland Raiders
2001,Charley Armey,St. Louis Rams
2000,Randy Mueller,New Orleans Saints
Year,Executive,Tm
1999,Bill Polian,Indianapolis Colts
1998,,
1997,George Young,New York Giants
1996,Bill Polian,Carolina Panthers
1995,Bill Polian,Carolina Panthers
1994,Carmen Policy,San Francisco 49ers
1993,George Young,New York Giants
