Year,Lg,Pos,Player,Tm
2024,NFL,QB,Sam Darnold,Minnesota Vikings
2023,NFL,QB,Baker Mayfield,Tampa Bay Buccaneers
2022,NFL,QB,Geno Smith,Seattle Seahawks
2021,NFL,WR,Cordarrelle Patterson,Atlanta Falcons
2021,NFL,CB,Trevon Diggs,Dallas Cowboys
2020,NFL,QB,Josh Allen,Buffalo Bills
2019,NFL,QB,Ryan Tannehill,Tennessee Titans
2018,NFL,TE,George Kittle,San Francisco 49ers
2017,NFL,QB,Jared Goff,Los Angeles Rams
2016,NFL,OLB,Vic Beasley,Atlanta Falcons
2015,NFL,CB,Josh Norman,Carolina Panthers
2015,NFL,QB,Kirk Cousins,Washington Redskins
2014,NFL,RB,Le'Veon Bell,Pittsburgh Steelers
2013,NFL,WR,Alshon Jeffery,Chicago Bears
2012,NFL,WR,Dez Bryant,Dallas Cowboys
2011,NFL,WR,Victor Cruz,New York Giants
2010,NFL,RB,Arian Foster,Houston Texans
2009,NFL,WR,Miles Austin,Dallas Cowboys
2008,NFL,RB,DeAngelo Williams,Carolina Panthers
2007,NFL,QB,Derek Anderson,Cleveland Browns
2006,NFL,RB,Frank Gore,San Francisco 49ers
2005,NFL,RDE,Osi Umenyiora,New York Giants
2004,NFL,QB,Drew Brees,San Diego Chargers
2003,NFL,QB,Jon Kitna,Cincinnati Bengals
2002,NFL,QB,Chad Pennington,New York Jets
2001,NFL,QB,Kordell Stewart,Pittsburgh Steelers
2000,NFL,QB,Jeff Garcia,San Francisco 49ers
