Year,Lg,Pos,Player,Tm
2024,NFL,RB,Saquon Barkley,Philadelphia Eagles
2023,NFL,RB,Christian McCaffrey,San Francisco 49ers
2022,NFL,WR,Justin Jefferson,Minnesota Vikings
2021,NFL,WR,Cooper Kupp,Los Angeles Rams
2020,NFL,RB,Derrick Henry,Tennessee Titans
2019,NFL,QB,Lamar Jackson,Baltimore Ravens
2018,NFL,QB,Patrick Mahomes,Kansas City Chiefs
2017,NFL,RB,Todd Gurley,Los Angeles Rams
2016,NFL,QB,Matt Ryan,Atlanta Falcons
2015,NFL,QB,Cam Newton,Carolina Panthers
2014,NFL,RB,DeMarco Murray,Dallas Cowboys
2013,NFL,QB,Peyton Manning,Denver Broncos
2012,NFL,RB,Adrian Peterson,Minnesota Vikings
2011,NFL,QB,Aaron Rodgers,Green Bay Packers
2010,NFL,QB,Tom Brady,New England Patriots
2009,NFL,QB,Peyton Manning,Indianapolis Colts
2008,NFL,QB,Peyton Manning,Indianapolis Colts
2007,NFL,QB,Tom Brady,New England Patriots
2006,NFL,RB,LaDainian Tomlinson,San Diego Chargers
2005,NFL,RB,Shaun Alexander,Seattle Seahawks
2004,NFL,QB,Peyton Manning,Indianapolis Colts
2003,NFL,RB,Jamal Lewis,Baltimore Ravens
2002,NFL,QB,Rich Gannon,Oakland Raiders
2001,NFL,RB,Marshall Faulk,St. Louis Rams
2000,NFL,RB,Marshall Faulk,St. Louis Rams
Year,Lg,Pos,Player,Tm
1999,NFL,QB,Kurt Warner,St. Louis Rams
1998,NFL,RB,Barry Sanders,Detroit Lions
1997,NFL,RB,Barry Sanders,Detroit Lions
1996,NFL,QB,Brett Favre,Green Bay Packers
1995,NFL,QB,Brett Favre,Green Bay Packers
1994,NFL,QB,Steve Young,San Francisco 49ers
1993,NFL,RB,Emmitt Smith,Dallas Cowboys
1992,NFL,QB,Steve Young,San Francisco 49ers
