Year,Lg,Pos,Player,Tm
2024,NFL,QB,Jayden Daniels,Washington Commanders
2023,NFL,QB,C.J. Stroud,Houston Texans
2022,NFL,CB,Sauce Gardner,New York Jets
2021,NFL,OLB,Micah Parsons,Dallas Cowboys
2020,NFL,QB,Justin Herbert,Los Angeles Chargers
2019,NFL,DE,Nick Bosa,San Francisco 49ers
2018,NFL,QB,Baker Mayfield,Cleveland Browns
2017,NFL,RB,Kareem Hunt,Kansas City Chiefs
2016,NFL,RB,Ezekiel Elliott,Dallas Cowboys
2015,NFL,RB,Todd Gurley,St. Louis Rams
2014,NFL,WR,Odell Beckham Jr.,New York Giants
2013,NFL,RB,Eddie Lacy,Green Bay Packers
1991,NFL,LOLB,Mike Croel,Denver Broncos
1990,NFL,FS,Mark Carrier,Chicago Bears
1989,NFL,RB,Barry Sanders,Detroit Lions
1988,NFL,RB,John Stephens,New England Patriots
1987,NFL,LILB,Shane Conlan,Buffalo Bills
1986,NFL,RB,Rueben Mayes,New Orleans Saints
1985,NFL,WR,Eddie Brown,Cincinnati Bengals
1984,NFL,WR,Louis Lipps,Pittsburgh Steelers
1983,NFL,RB,Eric Dickerson,Los Angeles Rams
1982,NFL,RB,Marcus Allen,Los Angeles Raiders
1981,NFL,RB,George Rogers,New Orleans Saints
1980,NFL,RB,Billy Sims,Detroit Lions
1979,NFL,RB,Ottis Anderson,St. Louis Cardinals
1978,NFL,RB,Earl Campbell,Houston Oilers
1977,NFL,RB,Tony Dorsett,Dallas Cowboys
1976,NFL,WR,Sammy White,Minnesota Vikings
1975,NFL,RB,Mike Thomas,Washington Redskins
1966,NFL,MLB,Tommy Nobis,Atlanta Falcons
