Tm,Super Bowl Odds,W/L O-U,Record
Arizona Cardinals,+12500,7.0,8-9
Atlanta Falcons,+3000,9.5,8-9
Baltimore Ravens,+1000,10.5,12-5
Buffalo Bills,+1600,10.0,13-4
Carolina Panthers,+25000,5.5,5-12
Chicago Bears,+3500,8.5,5-12
Cincinnati Bengals,+1300,10.5,9-8
Cleveland Browns,+4000,8.5,3-14
Dallas Cowboys,+2000,10.0,7-10
Denver Broncos,+15000,5.5,10-7
Detroit Lions,+1200,10.5,15-2
Green Bay Packers,+1600,10.0,11-6
Houston Texans,+1600,9.5,10-7
Indianapolis Colts,+8000,8.5,8-9
Jacksonville Jaguars,+5000,8.5,4-13
Kansas City Chiefs,+500,11.5,15-2
Las Vegas Raiders,+15000,6.5,4-13
Los Angeles Chargers,+4000,9.0,11-6
Los Angeles Rams,+3000,8.5,10-7
Miami Dolphins,+2500,10.0,8-9
Minnesota Vikings,+10000,6.5,14-3
New England Patriots,+30000,4.5,4-13
New Orleans Saints,+10000,7.5,5-12
New York Giants,+20000,6.5,3-14
New York Jets,+2000,9.5,5-12
Tm,Super Bowl Odds,W/L O-U,Record
Philadelphia Eagles,+1200,10.5,14-3
Pittsburgh Steelers,+5000,8.0,10-7
San Francisco 49ers,+600,11.5,6-11
Seattle Seahawks,+6600,7.5,10-7
Tampa Bay Buccaneers,+8000,7.5,10-7
Tennessee Titans,+15000,6.5,3-14
Washington Commanders,+15000,6.5,12-5
