Rank,Player,Rec,Years,Tm
1,Travis Kelce,"1,004",2013-2024,kan
2,DeAndre Hopkins,984,2013-2024,4TM
3,Keenan Allen,974,2013-2024,2TM
4,Davante Adams,957,2014-2024,3TM
5,Julio Jones,914,2011-2023,4TM
6,Stefon Diggs,857,2015-2024,3TM
7,Mike Evans,836,2014-2024,tam
8,Tyreek Hill,798,2016-2024,2TM
9,Zach Ertz,775,2013-2024,3TM
10,Jimmy Graham,719,2010-2023,4TM
11,Amari Cooper,711,2015-2024,4TM
12,Brandin Cooks,710,2014-2024,5TM
13,Adam Thielen,685,2014-2024,2TM
14,Robert Woods,683,2013-2024,4TM
15,Tyler Lockett,661,2015-2024,sea
16,Cooper Kupp,634,2017-2024,ram
17,Randall Cobb,630,2011-2023,4TM
18,Chris Godwin,579,2017-2024,tam
19,Odell Beckham Jr.,575,2014-2024,5TM
20,Alvin Kamara,573,2017-2024,nor
21,Allen Robinson,565,2014-2024,5TM
,Michael Thomas,565,2016-2023,nor
23,D.J. Moore,558,2018-2024,2TM
24,Cole Beasley,556,2012-2022,3TM
25,Tyler Boyd,552,2016-2024,2TM
Rank,Player,Rec,Years,Tm
26,Marvin Jones,547,2012-2023,3TM
27,George Kittle,538,2017-2024,sfo
28,Christian McCaffrey,524,2017-2024,2TM
29,Evan Engram,496,2017-2024,2TM
,CeeDee Lamb,496,2020-2024,dal
31,Justin Jefferson,495,2020-2024,min
32,Austin Ekeler,475,2017-2024,2TM
33,Terry McLaurin,460,2019-2024,was
34,JuJu Smith-Schuster,448,2017-2024,3TM
35,A.J. Brown,446,2019-2024,2TM
36,Jamison Crowder,440,2015-2024,3TM
37,D.K. Metcalf,438,2019-2024,sea
38,Marcedes Lewis,437,2006-2024,3TM
39,Mark Andrews,436,2018-2024,rav
40,Amon-Ra St. Brown,430,2021-2024,det
41,Diontae Johnson,424,2019-2024,4TM
42,Austin Hooper,409,2016-2024,5TM
43,Michael Pittman Jr.,405,2020-2024,clt
44,Christian Kirk,404,2018-2024,2TM
,Sterling Shepard,404,2016-2024,2TM
46,DeVante Parker,402,2015-2023,2TM
47,Ja'Marr Chase,395,2021-2024,cin
,Hunter Henry,395,2016-2024,2TM
49,Jakobi Meyers,393,2019-2024,2TM
50,Nelson Agholor,389,2015-2024,4TM
