Rank,Player,Rec,Years,Tm
1,Jerry Rice+,"1,549",1985-2004,3TM
2,Larry Fitzgerald,"1,432",2004-2020,crd
3,Tony Gonzalez+,"1,325",1997-2013,2TM
4,Jason Witten,"1,228",2003-2020,2TM
5,Marvin Harrison+,"1,102",1996-2008,clt
6,Cris Carter+,"1,101",1987-2002,3TM
7,Tim Brown+,"1,094",1988-2004,2TM
8,Terrell Owens+,"1,078",1996-2010,5TM
9,Anquan Boldin,"1,076",2003-2016,4TM
10,Reggie Wayne,"1,070",2001-2014,clt
11,Andre Johnson+,"1,062",2003-2016,3TM
12,Steve Smith Sr.,"1,031",2001-2016,2TM
13,Isaac Bruce+,"1,024",1994-2009,2TM
14,Travis Kelce,"1,004",2013-2024,kan
15,Hines Ward,"1,000",1998-2011,pit
16,DeAndre Hopkins,984,2013-2024,4TM
17,Randy Moss+,982,1998-2012,5TM
18,Keenan Allen,974,2013-2024,2TM
19,Brandon Marshall,970,2006-2018,6TM
20,Davante Adams,957,2014-2024,3TM
21,Antonio Gates+,955,2003-2018,sdg
22,Andre Reed+,951,1985-2000,2TM
23,Derrick Mason,943,1997-2011,4TM
24,Art Monk+,940,1980-1995,3TM
25,Antonio Brown,928,2010-2021,3TM
Rank,Player,Rec,Years,Tm
26,Torry Holt,920,1999-2009,2TM
27,Julio Jones,914,2011-2023,4TM
28,Wes Welker,903,2004-2015,5TM
29,Keenan McCardell,883,1992-2007,5TM
30,Jimmy Smith,862,1992-2005,2TM
31,Muhsin Muhammad,860,1996-2009,2TM
32,Stefon Diggs,857,2015-2024,3TM
33,Irving Fryar,851,1984-2000,4TM
34,Rod Smith,849,1995-2006,den
35,Mike Evans,836,2014-2024,tam
36,Larry Centers,827,1990-2003,4TM
37,Steve Largent+,819,1976-1989,sea
38,Shannon Sharpe+,815,1990-2003,2TM
39,Henry Ellard,814,1983-1998,3TM
,Keyshawn Johnson,814,1996-2006,4TM
41,Roddy White,808,2005-2015,atl
42,Tyreek Hill,798,2016-2024,2TM
43,Zach Ertz,775,2013-2024,3TM
44,Marshall Faulk+,767,1994-2005,2TM
45,Chad Johnson,766,2001-2011,2TM
46,James Lofton+,764,1978-1993,5TM
,Eric Moulds,764,1996-2007,3TM
48,Michael Irvin+,750,1988-1999,dal
,Charlie Joiner+,750,1969-1986,3TM
50,Donald Driver,743,1999-2012,gnb
Rank,Player,Rec,Years,Tm
,Andre Rison,743,1989-2000,7TM
