Rank,Player,Rec,Tm,Boxscore
1,Brandon Marshall,21,DEN,"Denver Broncos vs. Indianapolis Colts, December 13, 2009"
2,Terrell Owens+,20,SFO,"San Francisco 49ers vs. Chicago Bears, December 17, 2000"
3,Keenan Allen,18,LAC,"Los Angeles Chargers vs. Minnesota Vikings, September 24, 2023"
,Jason Witten,18,DAL,"Dallas Cowboys vs. New York Giants, October 28, 2012"
,Brandon Marshall,18,DEN,"Denver Broncos vs. San Diego Chargers, September 14, 2008"
,Tom Fears+,18,RAM,"Los Angeles Rams vs. Green Bay Packers, December 3, 1950"
7,Antonio Brown,17,PIT,"Pittsburgh Steelers vs. Oakland Raiders, November 8, 2015"
,Clark Gaines,17,NYJ,"New York Jets vs. San Francisco 49ers, September 21, 1980"
9,Keenan Allen,16,LAC,"Los Angeles Chargers vs. New York Jets, November 22, 2020"
,Michael Thomas,16,NOR,"New Orleans Saints vs. Tampa Bay Buccaneers, September 9, 2018"
,Antonio Brown,16,PIT,"Pittsburgh Steelers vs. Denver Broncos, December 20, 2015"
,Wes Welker,16,NWE,"New England Patriots vs. Buffalo Bills, September 25, 2011"
,Troy Brown,16,NWE,"New England Patriots vs. Kansas City Chiefs, September 22, 2002"
,Keenan McCardell,16,JAX,"Jacksonville Jaguars vs. St. Louis Rams, October 20, 1996"
,Jerry Rice+,16,SFO,"San Francisco 49ers vs. Los Angeles Rams, November 20, 1994"
,Sonny Randle,16,STL,"St. Louis Cardinals vs. New York Giants, November 4, 1962"
17,Ja'Marr Chase,15,CIN,"Cincinnati Bengals vs. Arizona Cardinals, October 8, 2023"
,Puka Nacua,15,LAR,"Los Angeles Rams vs. San Francisco 49ers, September 17, 2023"
,Chris Godwin,15,TAM,"Tampa Bay Buccaneers vs. Atlanta Falcons, December 5, 2021"
,Tyler Lockett,15,SEA,"Seattle Seahawks vs. Arizona Cardinals, October 25, 2020"
,George Kittle,15,SFO,"San Francisco 49ers vs. Philadelphia Eagles, October 4, 2020"
,Christian McCaffrey,15,CAR,"Carolina Panthers vs. Indianapolis Colts, December 22, 2019"
,Austin Ekeler,15,LAC,"Los Angeles Chargers vs. Denver Broncos, October 6, 2019"
,Alvin Kamara,15,NOR,"New Orleans Saints vs. Atlanta Falcons, September 23, 2018"
,Keenan Allen,15,SDG,"San Diego Chargers vs. Detroit Lions, September 13, 2015"
Rank,Player,Rec,Tm,Boxscore
,Zach Ertz,15,PHI,"Philadelphia Eagles vs. Washington Redskins, December 20, 2014"
,Danny Amendola,15,STL,"St. Louis Rams vs. Washington Redskins, September 16, 2012"
,Reggie Wayne,15,IND,"Indianapolis Colts vs. Jacksonville Jaguars, October 3, 2010"
,Wes Welker,15,NWE,"New England Patriots vs. New York Jets, November 22, 2009"
,Jason Witten,15,DAL,"Dallas Cowboys vs. Detroit Lions, December 9, 2007"
,Chris Chambers,15,MIA,"Miami Dolphins vs. Buffalo Bills, December 4, 2005"
,Jimmy Smith,15,JAX,"Jacksonville Jaguars vs. Baltimore Ravens, September 10, 2000"
,Isaac Bruce+,15,STL,"St. Louis Rams vs. Miami Dolphins, December 24, 1995"
,Andre Reed+,15,BUF,"Buffalo Bills vs. Green Bay Packers, November 20, 1994"
,Flipper Anderson,15,RAM,"Los Angeles Rams vs. New Orleans Saints, November 26, 1989"
,Steve Largent+,15,SEA,"Seattle Seahawks vs. Detroit Lions, October 18, 1987"
,Kellen Winslow+,15,SDG,"San Diego Chargers vs. Green Bay Packers, October 7, 1984"
,William Andrews,15,ATL,"Atlanta Falcons vs. Pittsburgh Steelers, November 15, 1981"
,Rickey Young,15,MIN,"Minnesota Vikings vs. New England Patriots, December 16, 1979"
40,Amon-Ra St. Brown,14,DET,"Detroit Lions vs. Buffalo Bills, December 15, 2024"
,Ja'Marr Chase,14,CIN,"Cincinnati Bengals vs. Dallas Cowboys, December 9, 2024"
,Travis Kelce,14,KAN,"Kansas City Chiefs vs. Tampa Bay Buccaneers, November 4, 2024"
,Cooper Kupp,14,LAR,"Los Angeles Rams vs. Detroit Lions, September 8, 2024"
