Rank,Player,Yds,Years,Tm
1,Julio Jones,"13,703",2011-2023,4TM
2,DeAndre Hopkins,"12,965",2013-2024,4TM
3,Mike Evans,"12,684",2014-2024,tam
4,Travis Kelce,"12,151",2013-2024,kan
5,Davante Adams,"11,844",2014-2024,3TM
6,Keenan Allen,"11,274",2013-2024,2TM
7,Tyreek Hill,"11,098",2016-2024,2TM
8,Stefon Diggs,"10,491",2015-2024,3TM
9,Amari Cooper,"10,033",2015-2024,4TM
10,Brandin Cooks,"9,532",2014-2024,5TM
11,Tyler Lockett,"8,594",2015-2024,sea
12,Jimmy Graham,"8,545",2010-2023,4TM
13,Adam Thielen,"8,311",2014-2024,2TM
14,Robert Woods,"8,233",2013-2024,4TM
15,Zach Ertz,"8,088",2013-2024,3TM
16,Odell Beckham Jr.,"7,987",2014-2024,5TM
17,Cooper Kupp,"7,776",2017-2024,ram
18,Randall Cobb,"7,624",2011-2023,4TM
19,D.J. Moore,"7,531",2018-2024,2TM
20,Justin Jefferson,"7,432",2020-2024,min
21,Marvin Jones,"7,421",2012-2023,3TM
22,George Kittle,"7,380",2017-2024,sfo
23,Chris Godwin,"7,266",2017-2024,tam
24,Allen Robinson,"7,058",2014-2024,5TM
25,A.J. Brown,"7,026",2019-2024,2TM
Rank,Player,Yds,Years,Tm
26,Michael Thomas,"6,569",2016-2023,nor
27,Tyler Boyd,"6,390",2016-2024,2TM
28,Terry McLaurin,"6,379",2019-2024,was
29,CeeDee Lamb,"6,339",2020-2024,dal
30,D.K. Metcalf,"6,324",2019-2024,sea
31,Cole Beasley,"5,744",2012-2022,3TM
32,DeVante Parker,"5,660",2015-2023,2TM
33,Mark Andrews,"5,530",2018-2024,rav
34,Ja'Marr Chase,"5,425",2021-2024,cin
35,Calvin Ridley,"5,375",2018-2024,3TM
36,Courtland Sutton,"5,340",2018-2024,den
37,JuJu Smith-Schuster,"5,279",2017-2024,3TM
38,Christian Kirk,"5,176",2018-2024,2TM
39,Marcedes Lewis,"5,115",2006-2024,3TM
40,Mike Williams,"5,104",2017-2024,3TM
41,Robbie Chosen,"5,087",2016-2024,4TM
42,Evan Engram,"4,922",2017-2024,2TM
43,Jamison Crowder,"4,898",2015-2024,3TM
44,Nelson Agholor,"4,858",2015-2024,4TM
45,Amon-Ra St. Brown,"4,851",2021-2024,det
46,Deebo Samuel,"4,792",2019-2024,sfo
47,Alvin Kamara,"4,762",2017-2024,nor
48,Diontae Johnson,"4,738",2019-2024,4TM
49,Tee Higgins,"4,595",2020-2024,cin
50,Jakobi Meyers,"4,592",2019-2024,2TM
