Rank,Player,Yds,Years,Tm
1,Jerry Rice+,"22,895",1985-2004,3TM
2,Larry Fitzgerald,"17,492",2004-2020,crd
3,Terrell Owens+,"15,934",1996-2010,5TM
4,Randy Moss+,"15,292",1998-2012,5TM
5,Isaac Bruce+,"15,208",1994-2009,2TM
6,Tony Gonzalez+,"15,127",1997-2013,2TM
7,Tim Brown+,"14,934",1988-2004,2TM
8,Steve Smith Sr.,"14,731",2001-2016,2TM
9,Marvin Harrison+,"14,580",1996-2008,clt
10,Reggie Wayne,"14,345",2001-2014,clt
11,Andre Johnson+,"14,185",2003-2016,3TM
12,James Lofton+,"14,004",1978-1993,5TM
13,Cris Carter+,"13,899",1987-2002,3TM
14,Anquan Boldin,"13,779",2003-2016,4TM
15,Henry Ellard,"13,777",1983-1998,3TM
16,Julio Jones,"13,703",2011-2023,4TM
17,Torry Holt,"13,382",1999-2009,2TM
18,Andre Reed+,"13,198",1985-2000,2TM
19,Steve Largent+,"13,089",1976-1989,sea
20,Jason Witten,"13,046",2003-2020,2TM
21,DeAndre Hopkins,"12,965",2013-2024,4TM
22,Irving Fryar,"12,785",1984-2000,4TM
23,Art Monk+,"12,721",1980-1995,3TM
24,Mike Evans,"12,684",2014-2024,tam
25,Brandon Marshall,"12,351",2006-2018,6TM
Rank,Player,Yds,Years,Tm
26,Antonio Brown,"12,291",2010-2021,3TM
27,Jimmy Smith,"12,287",1992-2005,2TM
28,Travis Kelce,"12,151",2013-2024,kan
29,Charlie Joiner+,"12,146",1969-1986,3TM
30,Hines Ward,"12,083",1998-2011,pit
31,Derrick Mason,"12,061",1997-2011,4TM
32,Michael Irvin+,"11,904",1988-1999,dal
33,Davante Adams,"11,844",2014-2024,3TM
34,Antonio Gates+,"11,841",2003-2018,sdg
35,Don Maynard+,"11,834",1958-1973,3TM
36,Calvin Johnson+,"11,619",2007-2015,det
37,Muhsin Muhammad,"11,438",1996-2009,2TM
38,Rod Smith,"11,389",1995-2006,den
39,Keenan McCardell,"11,373",1992-2007,5TM
40,Keenan Allen,"11,274",2013-2024,2TM
41,DeSean Jackson,"11,263",2008-2022,6TM
42,Tyreek Hill,"11,098",2016-2024,2TM
43,Chad Johnson,"11,059",2001-2011,2TM
44,Joey Galloway,"10,950",1995-2010,5TM
45,Roddy White,"10,863",2005-2015,atl
46,Gary Clark,"10,856",1985-1995,3TM
47,Stanley Morgan,"10,716",1977-1990,2TM
48,Keyshawn Johnson,"10,571",1996-2006,4TM
49,A.J. Green,"10,514",2011-2022,2TM
