Rank,Player,Yds,Year,Tm
1,Calvin Johnson+ (26),"1,964",2012,DET
2,Cooper Kupp (28),"1,947",2021,LAR
3,Julio Jones (26),"1,871",2015,ATL
4,Jerry Rice+ (32),"1,848",1995,SFO
5,Antonio Brown (27),"1,834",2015,PIT
6,Justin Jefferson (23),"1,809",2022,MIN
7,Tyreek Hill (29),"1,799",2023,MIA
8,Isaac Bruce+ (22),"1,781",1995,STL
9,CeeDee Lamb (24),"1,749",2023,DAL
10,Charley Hennigan (26),"1,746",1961,HOU
11,Michael Thomas (26),"1,725",2019,NOR
12,Marvin Harrison+ (30),"1,722",2002,IND
13,Tyreek Hill (28),"1,710",2022,MIA
14,Ja'Marr Chase (24),"1,708",2024,CIN
15,Antonio Brown (26),"1,698",2014,PIT
16,Torry Holt (27),"1,696",2003,STL
17,Herman Moore (25),"1,686",1995,DET
18,Calvin Johnson+ (25),"1,681",2011,DET
19,Julio Jones (29),"1,677",2018,ATL
20,Marvin Harrison+ (27),"1,663",1999,IND
21,Josh Gordon (22),"1,646",2013,CLE
22,Jimmy Smith (30),"1,636",1999,JAX
23,Torry Holt (24),"1,635",2000,STL
24,Randy Moss+ (26),"1,632",2003,MIN
25,Demaryius Thomas (26),"1,619",2014,DEN
Rank,Player,Yds,Year,Tm
26,Justin Jefferson (22),"1,616",2021,MIN
27,Michael Irvin+ (29),"1,603",1995,DAL
28,Lance Alworth+ (25),"1,602",1965,SDG
,Rod Smith (30),"1,602",2000,DEN
30,David Boston (23),"1,598",2001,ARI
,Andre Johnson+ (31),"1,598",2012,HOU
32,Julio Jones (25),"1,593",2014,ATL
33,Rob Moore (28),"1,584",1997,ARI
34,Andre Johnson+ (27),"1,575",2008,HOU
35,DeAndre Hopkins (26),"1,572",2018,HOU
36,Jerry Rice+ (23),"1,570",1986,SFO
37,Andre Johnson+ (28),"1,569",2009,HOU
,Wes Welker (30),"1,569",2011,NWE
39,Steve Smith Sr. (26),"1,563",2005,CAR
40,Roy Green (27),"1,555",1984,STL
41,Davante Adams (28),"1,553",2021,GNB
42,Charley Hennigan (29),"1,546",1964,HOU
43,Victor Cruz (24),"1,536",2011,NYG
44,Stefon Diggs (26),"1,535",2020,BUF
45,Antonio Brown (29),"1,533",2017,PIT
,Justin Jefferson (25),"1,533",2024,MIN
47,Mike Evans (25),"1,524",2018,TAM
,Marvin Harrison+ (29),"1,524",2001,IND
49,Michael Irvin+ (25),"1,523",1991,DAL
50,DeAndre Hopkins (23),"1,521",2015,HOU
Rank,Player,Yds,Year,Tm
51,Jordy Nelson (29),"1,519",2014,GNB
52,Davante Adams (29),"1,516",2022,LVR
53,Amon-Ra St. Brown (23),"1,515",2023,DET
54,Reggie Wayne (28),"1,510",2007,IND
55,Brandon Marshall (28),"1,508",2012,CHI
56,Jerry Rice+ (30),"1,503",1993,SFO
57,Brandon Marshall (31),"1,502",2015,NYJ
,Jerry Rice+ (27),"1,502",1990,SFO
59,Antonio Brown (25),"1,499",2013,PIT
,Jerry Rice+ (31),"1,499",1994,SFO
61,Robert Brooks (25),"1,497",1995,GNB
62,A.J. Brown (25),"1,496",2022,PHI
63,Elroy Hirsch+ (28),"1,495",1951,RAM
64,Randy Moss+ (30),"1,493",2007,NWE
