Year,Player,Yds,Tm
2024,Ja'Marr Chase (24),"1,708",CIN
2023,Tyreek Hill (29),"1,799",MIA
2022,Justin Jefferson (23),"1,809",MIN
2021,Cooper Kupp (28),"1,947",LAR
2020,Stefon Diggs (26),"1,535",BUF
2019,Michael Thomas (26),"1,725",NOR
2018,Julio Jones (29),"1,677",ATL
2017,Antonio Brown (29),"1,533",PIT
2016,T.Y. Hilton (26),"1,448",IND
2015,Julio Jones (26),"1,871",ATL
2014,Antonio Brown (26),"1,698",PIT
2013,Josh Gordon (22),"1,646",CLE
2012,Calvin Johnson+ (26),"1,964",DET
2011,Calvin Johnson+ (25),"1,681",DET
2010,Brandon Lloyd (29),"1,448",DEN
2009,Andre Johnson+ (28),"1,569",HOU
2008,Andre Johnson+ (27),"1,575",HOU
2007,Reggie Wayne (28),"1,510",IND
2006,Chad Johnson (28),"1,369",CIN
2005,Steve Smith Sr. (26),"1,563",CAR
2004,Muhsin Muhammad (31),"1,405",CAR
2003,Torry Holt (27),"1,696",STL
2002,Marvin Harrison+ (30),"1,722",IND
2001,David Boston (23),"1,598",ARI
2000,Torry Holt (24),"1,635",STL
Year,Player,Yds,Tm
1999,Marvin Harrison+ (27),"1,663",IND
1998,Antonio Freeman (26),"1,424",GNB
1997,Rob Moore (28),"1,584",ARI
1996,Isaac Bruce+ (23),"1,338",STL
1995,Jerry Rice+ (32),"1,848",SFO
1994,Jerry Rice+ (31),"1,499",SFO
1993,Jerry Rice+ (30),"1,503",SFO
1992,Sterling Sharpe+ (27),"1,461",GNB
1991,Michael Irvin+ (25),"1,523",DAL
1990,Jerry Rice+ (27),"1,502",SFO
1989,Jerry Rice+ (26),"1,483",SFO
1988,Henry Ellard (27),"1,414",RAM
1987,J.T. Smith (31),"1,117",STL
1986,Jerry Rice+ (23),"1,570",SFO
1985,Steve Largent+ (30),"1,287",SEA
1984,Roy Green (27),"1,555",STL
1983,Mike Quick (24),"1,409",PHI
1982,Wes Chandler (26),"1,032",SDG
1981,Alfred Jenkins (29),"1,358",ATL
1980,John Jefferson (24),"1,340",SDG
1979,Steve Largent+ (24),"1,237",SEA
1978,Wesley Walker (23),"1,169",NYJ
1977,Drew Pearson+ (26),870,DAL
1976,Roger Carr (24),"1,112",BAL
1975,Ken Burrough (27),"1,063",HOU
Year,Player,Yds,Tm
1974,Cliff Branch+ (26),"1,092",OAK
1973,Harold Carmichael+ (23),"1,116",PHI
1972,Harold Jackson (26),"1,048",PHI
1971,Otis Taylor (29),"1,110",KAN
1970,Gene Washington (23),"1,100",SFO
1969,Warren Wells (26),"1,260",OAK
1969,Harold Jackson (23),"1,116",PHI
1968,Lance Alworth+ (28),"1,312",SDG
1968,Roy Jefferson (24),"1,074",PIT
1967,Don Maynard+ (32),"1,434",NYJ
1967,Ben Hawkins (23),"1,265",PHI
1966,Lance Alworth+ (26),"1,383",SDG
1966,Pat Studstill (28),"1,266",DET
1965,Lance Alworth+ (25),"1,602",SDG
1965,Dave Parks (23),"1,344",SFO
1964,Charley Hennigan (29),"1,546",HOU
1964,Johnny Morris (28),"1,200",CHI
1963,Bobby Mitchell+ (28),"1,436",WAS
1963,Art Powell (26),"1,304",OAK
1962,Bobby Mitchell+ (27),"1,384",WAS
1962,Art Powell (25),"1,130",NYT
1961,Charley Hennigan (26),"1,746",HOU
1961,Tommy McDonald+ (27),"1,144",PHI
1960,Bill Groman (24),"1,473",HOU
1960,Raymond Berry+ (27),"1,298",BAL
Year,Player,Yds,Tm
1959,Raymond Berry+ (26),959,BAL
1958,Del Shofner (23),"1,097",RAM
1957,Raymond Berry+ (24),800,BAL
1956,Billy Howton (26),"1,188",GNB
1955,Pete Pihos+ (31),864,PHI
1954,Bob Boyd (26),"1,212",RAM
1953,Pete Pihos+ (29),"1,049",PHI
1952,Billy Howton (22),"1,231",GNB
1951,Elroy Hirsch+ (28),"1,495",RAM
1950,Tom Fears+ (27),"1,116",RAM
1949,Mac Speedie+ (29),"1,028",CLE
1949,Bob Mann (25),"1,014",DET
1948,Billy Hillenbrand (26),970,BCL
1948,Mal Kutner (27),943,CRD
1947,Mac Speedie+ (27),"1,146",CLE
1947,Mal Kutner (26),944,CRD
1946,Jim Benton (29),981,RAM
1946,Dante Lavelli+ (23),843,CLE
1945,Jim Benton (28),"1,067",RAM
1944,Don Hutson+ (31),866,GNB
1943,Don Hutson+ (30),776,GNB
1942,Don Hutson+ (29),"1,211",GNB
1941,Don Hutson+ (28),738,GNB
1940,Don Looney (24),707,PHI
1939,Don Hutson+ (26),846,GNB
Year,Player,Yds,Tm
1938,Don Hutson+ (25),548,GNB
1937,Gaynell Tinsley (22),675,CRD
1936,Don Hutson+ (23),536,GNB
1935,Charley Malone (25),433,BOS
1934,Harry Ebding (27),264,DET
1933,Paul Moss (24),283,PIT
1932,Ray Flaherty+ (29),350,NYG
