Year,Player,Rec,Tm
2024,Ja'Marr Chase (24),127,CIN
2023,CeeDee Lamb (24),135,DAL
2022,Justin Jefferson (23),128,MIN
2021,Cooper Kupp (28),145,LAR
2020,Stefon Diggs (26),127,BUF
2019,Michael Thomas (26),149,NOR
2018,Michael Thomas (25),125,NOR
2017,Jarvis Landry (24),112,MIA
2016,Larry Fitzgerald (33),107,ARI
2015,Antonio Brown (27),136,PIT
2015,Julio Jones (26),136,ATL
2014,Antonio Brown (26),129,PIT
2013,Pierre Garcon (27),113,WAS
2012,Calvin Johnson+ (26),122,DET
2011,Wes Welker (30),122,NWE
2010,Roddy White (28),115,ATL
2009,Wes Welker (28),123,NWE
2008,Andre Johnson+ (27),115,HOU
2007,T.J. Houshmandzadeh (29),112,CIN
2007,Wes Welker (26),112,NWE
2006,Andre Johnson+ (25),103,HOU
2005,Larry Fitzgerald (22),103,ARI
2005,Steve Smith Sr. (26),103,CAR
2004,Tony Gonzalez+ (28),102,KAN
2003,Torry Holt (27),117,STL
Year,Player,Rec,Tm
2002,Marvin Harrison+ (30),143,IND
2001,Rod Smith (31),113,DEN
2000,Marvin Harrison+ (28),102,IND
2000,Muhsin Muhammad (27),102,CAR
1999,Jimmy Smith (30),116,JAX
1998,O.J. McDuffie (28),90,MIA
1997,Tim Brown+ (31),104,OAK
1997,Herman Moore (27),104,DET
1996,Jerry Rice+ (33),108,SFO
1995,Herman Moore (25),123,DET
1994,Cris Carter+ (28),122,MIN
1993,Sterling Sharpe+ (28),112,GNB
1992,Sterling Sharpe+ (27),108,GNB
1991,Haywood Jeffires (26),100,HOU
1990,Jerry Rice+ (27),100,SFO
1989,Sterling Sharpe+ (24),90,GNB
1988,Al Toon (25),93,NYJ
1987,J.T. Smith (31),91,STL
1986,Todd Christensen (30),95,RAI
1985,Roger Craig (25),92,SFO
1984,Art Monk+ (26),106,WAS
1983,Todd Christensen (27),92,RAI
1982,Dwight Clark (25),60,SFO
1981,Kellen Winslow+ (23),88,SDG
1980,Kellen Winslow+ (22),89,SDG
Year,Player,Rec,Tm
1979,Joe Washington (25),82,BAL
1978,Rickey Young (24),88,MIN
1977,Lydell Mitchell (28),71,BAL
1976,MacArthur Lane (34),66,KAN
1975,Chuck Foreman (24),73,MIN
1974,Lydell Mitchell (25),72,BAL
1973,Harold Carmichael+ (23),67,PHI
1972,Harold Jackson (26),62,PHI
1971,Fred Biletnikoff+ (28),61,OAK
1970,Dick Gordon (26),71,CHI
1969,Danny Abramowicz (24),73,NOR
1969,Lance Alworth+ (29),64,SDG
1968,Clifton McNeil (28),71,SFO
1968,Lance Alworth+ (28),68,SDG
1967,George Sauer (23),75,NYJ
1967,Charley Taylor+ (25),70,WAS
1966,Lance Alworth+ (26),73,SDG
1966,Charley Taylor+ (24),72,WAS
1965,Lionel Taylor (30),85,DEN
1965,Dave Parks (23),80,SFO
1964,Charley Hennigan (29),101,HOU
1964,Johnny Morris (28),93,CHI
1963,Lionel Taylor (28),78,DEN
1963,Bobby Joe Conrad (27),73,STL
1962,Lionel Taylor (27),77,DEN
Year,Player,Rec,Tm
1962,Bobby Mitchell+ (27),72,WAS
1961,Lionel Taylor (26),100,DEN
1961,Red Phillips (25),78,RAM
1960,Lionel Taylor (25),92,DEN
1960,Raymond Berry+ (27),74,BAL
1959,Raymond Berry+ (26),66,BAL
1958,Raymond Berry+ (25),56,BAL
1958,Pete Retzlaff (27),56,PHI
1957,Billy Wilson (30),52,SFO
1956,Billy Wilson (29),60,SFO
1955,Pete Pihos+ (31),62,PHI
1954,Pete Pihos+ (30),60,PHI
1954,Billy Wilson (27),60,SFO
1953,Pete Pihos+ (29),63,PHI
1952,Mac Speedie+ (32),62,CLE
1951,Elroy Hirsch+ (28),66,RAM
1950,Tom Fears+ (27),84,RAM
1949,Tom Fears+ (26),77,RAM
1949,Mac Speedie+ (29),62,CLE
1948,Mac Speedie+ (28),58,CLE
1948,Tom Fears+ (25),51,RAM
1947,Mac Speedie+ (27),67,CLE
1947,Jim Keane (23),64,CHI
1946,Jim Benton (29),63,RAM
1946,Alyn Beals (25),40,SFO
Year,Player,Rec,Tm
1946,Dante Lavelli+ (23),40,CLE
1945,Don Hutson+ (32),47,GNB
1944,Don Hutson+ (31),58,GNB
1943,Don Hutson+ (30),47,GNB
1942,Don Hutson+ (29),74,GNB
1941,Don Hutson+ (28),58,GNB
1940,Don Looney (24),58,PHI
1939,Don Hutson+ (26),34,GNB
1938,Gaynell Tinsley (23),41,CRD
1937,Don Hutson+ (24),41,GNB
1936,Don Hutson+ (23),34,GNB
1935,Tod Goodwin (23),26,NYG
1934,Red Badgro+ (31),16,NYG
1934,Joe Carter (25),16,PHI
1933,Shipwreck Kelly (23),22,BKN
1932,Ray Flaherty+ (29),21,NYG
