Rank,Player,TD,Year,Tm
1,LaDainian Tomlinson+ (27),28,2006,SDG
2,Shaun Alexander (28),27,2005,SEA
,Priest Holmes (29),27,2003,KAN
4,Emmitt Smith+ (26),25,1995,DAL
5,John Riggins+ (34),24,1983,WAS
6,Terry Allen (28),21,1996,WAS
,Terrell Davis+ (25),21,1998,DEN
,Priest Holmes (28),21,2002,KAN
,Joe Morris (24),21,1985,NYG
,Emmitt Smith+ (25),21,1994,DAL
11,Larry Johnson (25),20,2005,KAN
12,Earl Campbell+ (24),19,1979,HOU
,Chuck Muncie (28),19,1981,SDG
,Jim Taylor+ (26),19,1962,GNB
15,LeGarrette Blount (29),18,2016,NWE
,Eric Dickerson+ (23),18,1983,RAM
,Marshall Faulk+ (27),18,2000,STL
,Raheem Mostert (31),18,2023,MIA
,Adrian Peterson (24),18,2009,MIN
,George Rogers (27),18,1986,WAS
,Spec Sanders (29),18,1947,NYY
,Emmitt Smith+ (23),18,1992,DAL
,Jonathan Taylor (22),18,2021,IND
,LaDainian Tomlinson+ (26),18,2005,SDG
,DeAngelo Williams (25),18,2008,CAR
Rank,Player,TD,Year,Tm
26,Jim Brown+ (22),17,1958,CLE
,Jim Brown+ (29),17,1965,CLE
,Stephen Davis (25),17,1999,WAS
,Todd Gurley (24),17,2018,LAR
,Derrick Henry (26),17,2020,TEN
,Larry Johnson (26),17,2006,KAN
,LeSean McCoy (23),17,2011,PHI
,LaDainian Tomlinson+ (25),17,2004,SDG
,Michael Turner (26),17,2008,ATL
,Jamaal Williams (27),17,2022,DET
36,Shaun Alexander (25),16,2002,SEA
,Shaun Alexander (27),16,2004,SEA
,Pete Banaszak (31),16,1975,OAK
,Greg Bell (26),16,1988,RAM
,Dalvin Cook (25),16,2020,MIN
,James Cook (24),16,2024,BUF
,Arian Foster (24),16,2010,HOU
,Jahmyr Gibbs (22),16,2024,DET
,Derrick Henry (25),16,2019,TEN
,Derrick Henry (30),16,2024,BAL
,David Johnson (24),16,2016,ARI
,Aaron Jones (24),16,2019,GNB
,Alvin Kamara (25),16,2020,NOR
,Leroy Kelly+ (26),16,1968,CLE
,Lenny Moore+ (30),16,1964,BAL
Rank,Player,TD,Year,Tm
,Barry Sanders+ (23),16,1991,DET
,O.J. Simpson+ (28),16,1975,BUF
,Ricky Williams (25),16,2002,MIA
54,Karim Abdul-Jabbar (23),15,1997,MIA
,Josh Allen (27),15,2023,BUF
,Mike Anderson (26),15,2000,DEN
,Greg Bell (27),15,1989,RAM
,James Conner (26),15,2021,ARI
,Terrell Davis+ (24),15,1997,DEN
,Maurice Jones-Drew (24),15,2009,JAX
,Ezekiel Elliott (21),15,2016,DAL
,Arian Foster (26),15,2012,HOU
,Ahman Green (26),15,2003,GNB
,Damien Harris (24),15,2021,NWE
,Jalen Hurts (25),15,2023,PHI
,Brandon Jacobs (26),15,2008,NYG
,Josh Jacobs (26),15,2024,GNB
,Leroy Kelly+ (24),15,1966,CLE
,Christian McCaffrey (23),15,2019,CAR
,Clinton Portis (21),15,2002,DEN
,Jim Taylor+ (25),15,1961,GNB
,LaDainian Tomlinson+ (28),15,2007,SDG
,Steve Van Buren+ (24),15,1945,PHI
,Chris Warren (27),15,1995,SEA
,LenDale White (23),15,2008,TEN
