Rank,Player,Yds,Years,Tm
1,Derrick Henry,"11,423",2016-2024,2TM
2,Ezekiel Elliott,"9,130",2016-2024,2TM
3,Joe Mixon,"7,428",2017-2024,2TM
4,Saquon Barkley,"7,216",2018-2024,2TM
5,Aaron Jones,"7,078",2017-2024,2TM
6,Josh Jacobs,"6,874",2019-2024,2TM
7,Nick Chubb,"6,843",2018-2024,cle
8,Alvin Kamara,"6,779",2017-2024,nor
9,Latavius Murray,"6,552",2014-2023,6TM
10,Melvin Gordon,"6,543",2015-2023,3TM
11,Christian McCaffrey,"6,387",2017-2024,2TM
12,Dalvin Cook,"6,227",2017-2024,4TM
13,Lamar Jackson,"6,173",2018-2024,rav
14,Jonathan Taylor,"6,013",2020-2024,clt
15,James Conner,"5,970",2017-2024,2TM
16,Russell Wilson,"5,462",2012-2024,3TM
17,David Montgomery,"5,399",2019-2024,2TM
18,Kareem Hunt,"5,164",2017-2024,2TM
19,Austin Ekeler,"4,722",2017-2024,2TM
20,Tony Pollard,"4,700",2019-2024,2TM
21,Leonard Fournette,"4,518",2017-2023,3TM
22,Devin Singletary,"4,486",2019-2024,3TM
23,Miles Sanders,"4,345",2019-2024,2TM
24,Najee Harris,"4,312",2021-2024,pit
25,Josh Allen,"4,142",2018-2024,buf
Rank,Player,Yds,Years,Tm
26,Jamaal Williams,"4,122",2017-2024,3TM
27,Kenyan Drake,"3,866",2016-2023,5TM
28,Raheem Mostert,"3,791",2015-2024,5TM
29,Gus Edwards,"3,760",2018-2024,2TM
30,D'Andre Swift,"3,688",2020-2024,3TM
31,Aaron Rodgers,"3,573",2005-2024,2TM
32,Antonio Gibson,"3,181",2020-2024,2TM
33,Chuba Hubbard,"3,175",2021-2024,car
34,Jalen Hurts,"3,133",2020-2024,phi
35,Rhamondre Stevenson,"3,066",2021-2024,nwe
36,Kyler Murray,"3,020",2019-2024,crd
37,Alexander Mattison,"2,790",2019-2024,2TM
38,Travis Etienne,"2,691",2022-2024,jax
39,Matt Breida,"2,652",2017-2023,4TM
40,Jerick McKinnon,"2,650",2014-2023,3TM
41,Cordarrelle Patterson,"2,646",2013-2024,6TM
42,James Cook,"2,638",2022-2024,buf
43,Kyren Williams,"2,582",2022-2024,ram
44,Marlon Mack,"2,568",2017-2022,3TM
45,D'Onta Foreman,"2,558",2017-2024,5TM
46,Kenneth Walker III,"2,528",2022-2024,sea
47,Justin Fields,"2,509",2021-2024,2TM
48,Taysom Hill,"2,437",2017-2024,nor
49,Bijan Robinson,"2,432",2023-2024,atl
50,AJ Dillon,"2,428",2020-2023,gnb
