Rank,Player,Yds,Year,Tm
1,Eric Dickerson+ (24),"2,105",1984,RAM
2,Adrian Peterson (27),"2,097",2012,MIN
3,Jamal Lewis (24),"2,066",2003,BAL
4,Barry Sanders+ (29),"2,053",1997,DET
5,Derrick Henry (26),"2,027",2020,TEN
6,Terrell Davis+ (25),"2,008",1998,DEN
7,Chris Johnson (23),"2,006",2009,TEN
8,Saquon Barkley (27),"2,005",2024,PHI
9,O.J. Simpson+ (26),"2,003",1973,BUF
10,Earl Campbell+ (25),"1,934",1980,HOU
11,Derrick Henry (30),"1,921",2024,BAL
12,Ahman Green (26),"1,883",2003,GNB
,Barry Sanders+ (26),"1,883",1994,DET
14,Shaun Alexander (28),"1,880",2005,SEA
15,Jim Brown+ (27),"1,863",1963,CLE
16,Tiki Barber (30),"1,860",2005,NYG
17,Ricky Williams (25),"1,853",2002,MIA
18,Walter Payton+ (24),"1,852",1977,CHI
19,Jamal Anderson (25),"1,846",1998,ATL
20,DeMarco Murray (26),"1,845",2014,DAL
21,Eric Dickerson+ (26),"1,821",1986,RAM
22,O.J. Simpson+ (28),"1,817",1975,BUF
23,LaDainian Tomlinson+ (27),"1,815",2006,SDG
24,Jonathan Taylor (22),"1,811",2021,IND
25,Eric Dickerson+ (23),"1,808",1983,RAM
Rank,Player,Yds,Year,Tm
26,Larry Johnson (26),"1,789",2006,KAN
27,Emmitt Smith+ (26),"1,773",1995,DAL
28,Adrian Peterson (23),"1,760",2008,MIN
29,Marcus Allen+ (25),"1,759",1985,RAI
30,Terrell Davis+ (24),"1,750",1997,DEN
,Larry Johnson (25),"1,750",2005,KAN
32,Gerald Riggs (24),"1,719",1985,ATL
33,Emmitt Smith+ (23),"1,713",1992,DAL
34,Edgerrin James+ (22),"1,709",2000,IND
35,Michael Turner (26),"1,699",2008,ATL
36,Earl Campbell+ (24),"1,697",1979,HOU
,Curtis Martin+ (31),"1,697",2004,NYJ
38,Shaun Alexander (27),"1,696",2004,SEA
39,Frank Gore (23),"1,695",2006,SFO
40,Barry Foster (23),"1,690",1992,PIT
41,Walter Payton+ (31),"1,684",1984,CHI
42,LaDainian Tomlinson+ (23),"1,683",2002,SDG
43,George Rogers (22),"1,674",1981,NOR
44,Jerome Bettis+ (25),"1,665",1997,PIT
45,Tiki Barber (31),"1,662",2006,NYG
46,Eric Dickerson+ (28),"1,659",1988,IND
47,Josh Jacobs (24),"1,653",2022,LVR
